,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z
0,05/04/2023 16:26:47.569790,183,True,True,True,True,Eyes,0.02571416,0.1282101,0.2677574,-0.495611,-0.1843835,0.8487476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1623428,-0.1606255,-0.1860423,0.03121396,0.1298778,0.2625356,0.08619273,-0.2511944,0.04678443,0.9629557,10.92381,331.0208,2.731985,0.09032897,0.4305908,0.8980114,0.0,0.0,0.0,-1.0462,-0.2665279,2.15502,-0.02447695,0.02462256,2.213199,0.8694252,0.04680039,0.491843,-0.1334049,0.9807641,0.1424955,-0.4757131,-0.1895035,0.8589444,moving,-30.28203,-12.2566,-29.65337584906867,-11.830314622344156,-1.07741396,-0.3964056999999999,1.8924844
1,05/04/2023 16:26:47.589883,184,True,True,True,True,Eyes,0.02548702,0.1281873,0.2677512,-0.4959034,-0.1845343,0.848544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1619815,-0.1609412,-0.1861126,0.0306051,0.1300065,0.2625636,0.0865927,-0.2514035,0.04707774,0.9628508,10.97745,330.9976,2.751054,0.08992551,0.4305579,0.8980672,0.0,0.0,0.0,-1.039009,-0.2674392,2.172681,-0.0080778,0.02711639,2.224811,0.86916,0.04711828,0.4922812,-0.1341971,0.9805708,0.1430807,-0.4759748,-0.1904227,0.858596,moving,-30.30274,-12.26917,-29.24764703651574,-11.754045620147004,-1.0696141,-0.3974457,1.9101174
2,05/04/2023 16:26:47.599848,185,True,True,True,True,Eyes,0.02523697,0.128157,0.2677401,-0.4962024,-0.1846898,0.8483354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1616471,-0.1609718,-0.1862928,0.02997739,0.1300595,0.2625502,0.08653379,-0.251709,0.04737869,0.9627615,10.98045,330.9641,2.783092,0.08948718,0.4305256,0.8981259,0.0,0.0,0.0,-1.032091,-0.268316,2.189673,0.008114278,0.02767497,2.235992,0.8687956,0.04766607,0.4928713,-0.1347914,0.9805343,0.1427715,-0.4764719,-0.1904741,0.8583089,moving,-30.32392,-12.28212,-28.85986654980773,-11.679687645452104,-1.06206839,-0.3983755,1.9271228
3,05/04/2023 16:26:47.620210,186,True,True,True,True,Eyes,0.02496796,0.1281327,0.2677287,-0.4965193,-0.1848399,0.8481172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1613001,-0.1607358,-0.1866889,0.02935956,0.1299117,0.2626166,0.08617999,-0.252011,0.04744809,0.9627108,10.9439,330.9295,2.797639,0.08901033,0.4304933,0.8981893,0.0,0.0,0.0,-1.025141,-0.2691967,2.206741,0.02430552,0.02685812,2.247124,0.8684782,0.04792096,0.4934056,-0.1347942,0.9806434,0.1420179,-0.4770494,-0.1898477,0.8581269,moving,-30.34629,-12.29487,-28.475574657448863,-11.60104557737548,-1.05450056,-0.3991084,1.9441244
4,05/04/2023 16:26:47.639646,187,True,True,True,True,Eyes,0.02467653,0.1281089,0.2677151,-0.4968557,-0.184971,0.8478916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1607695,-0.1609909,-0.1868841,0.02863706,0.130019,0.2626129,0.08624779,-0.2523631,0.04727329,0.9626212,10.94741,330.8853,2.771969,0.088493,0.4304625,0.8982557,0.0,0.0,0.0,-1.018018,-0.2700995,2.224236,0.04141194,0.02736273,2.258557,0.8681562,0.04748103,0.4940145,-0.1345441,0.9806531,0.1421878,-0.4777057,-0.189908,0.8577484,moving,-30.36986,-12.3065,-28.082857072791978,-11.52865505661476,-1.0466550600000002,-0.4001185,1.9616231
5,05/04/2023 16:26:47.650022,188,True,True,True,True,Eyes,0.02436527,0.1280841,0.2677016,-0.4972129,-0.1851046,0.847653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1602868,-0.1611978,-0.1870424,0.02797929,0.1300647,0.2626057,0.08635928,-0.2527195,0.04708696,0.9625269,10.95546,330.8403,2.74368,0.08793069,0.4304335,0.8983252,0.0,0.0,0.0,-1.011068,-0.2709803,2.241306,0.05816197,0.02811253,2.2697,0.8678313,0.04699559,0.4946313,-0.1342943,0.9806498,0.1424467,-0.4783657,-0.1900458,0.8573499,moving,-30.39487,-12.31847,-27.704685141621862,-11.457559181012591,-1.03904729,-0.401045,1.9787003
6,05/04/2023 16:26:47.669768,189,True,True,True,True,Eyes,0.02402011,0.128055,0.2676813,-0.4975495,-0.1852248,0.8474292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1597477,-0.1611937,-0.1872635,0.0271917,0.1299295,0.2625819,0.08642127,-0.2531715,0.04700654,0.9624064,10.96132,330.785,2.727633,0.08732188,0.4304063,0.898398,0.0,0.0,0.0,-1.004057,-0.2718688,2.258523,0.07558811,0.02891964,2.280822,0.8673891,0.04671997,0.4954325,-0.1342376,0.9806435,0.1425433,-0.4791831,-0.1901462,0.8568711,moving,-30.41839,-12.32939,-27.32417372984464,-11.381957920573386,-1.0312487,-0.4017983,1.9959411
7,05/04/2023 16:26:47.689957,190,True,True,True,True,Eyes,0.02365516,0.1280223,0.2676607,-0.4979102,-0.1853564,0.8471886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1592219,-0.1613823,-0.1874822,0.02635317,0.1298648,0.262652,0.08671049,-0.2536869,0.04690077,0.9622498,10.99192,330.7213,2.701382,0.08665908,0.4303805,0.8984748,0.0,0.0,0.0,-0.9970618,-0.2727554,2.275704,0.09337401,0.03062794,2.291769,0.8668866,0.04626589,0.4963539,-0.1342551,0.9805632,0.1430781,-0.4800867,-0.1906705,0.8562485,moving,-30.44363,-12.34128,-26.94831630549378,-11.310200674758326,-1.02341497,-0.4026202,2.013052
8,05/04/2023 16:26:47.699999,191,True,True,True,True,Eyes,0.02326277,0.1279883,0.2676369,-0.4982165,-0.1855161,0.8469735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1586429,-0.1615018,-0.1876516,0.02551788,0.1297425,0.262639,0.08696485,-0.2542182,0.04671973,0.9620955,11.01646,330.6549,2.667463,0.08594151,0.4303555,0.898556,0.0,0.0,0.0,-0.9900158,-0.2736483,2.29301,0.1114174,0.03219557,2.302822,0.8663808,0.0456816,0.4972903,-0.1341138,0.9805087,0.143583,-0.4810384,-0.191091,0.8556204,moving,-30.46538,-12.35463,-26.572910972582925,-11.237102615363748,-1.01553368,-0.4033908,2.030371
9,05/04/2023 16:26:47.719986,192,True,True,True,True,Eyes,0.02284976,0.1279466,0.2676165,-0.498537,-0.1857026,0.8467439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1580746,-0.1617536,-0.1878244,0.02468977,0.129696,0.262677,0.08735253,-0.2546735,0.04658854,0.9619462,11.05707,330.5977,2.636098,0.08516536,0.4303314,0.8986418,0.0,0.0,0.0,-0.9829856,-0.2745393,2.310276,0.1290818,0.03436613,2.313792,0.8659418,0.04513858,0.4981037,-0.1341241,0.9803981,0.1443271,-0.4818252,-0.1917866,0.8550218,moving,-30.48828,-12.36991,-26.20296800084041,-11.1676789631656,-1.00767537,-0.4042352999999999,2.047599
