Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/05/2023 11:39:47.461991,0,True,True,True,True,Eyes,1.051849,0.03936552,-1.92879,-0.9905591,0.01411082,-0.1363582,0,0,0,0,0,0,0,1.994846,-0.08487578,0.919884,1.071485,0.03582012,-1.919228,-0.01878978,-0.7330433,-0.02166994,0.679577,356.7147,265.668,359.8907,0.5522469,0.01019391,-0.8336179,-0.2368987,-0.0049712,-0.001301024,-0.7682179,0.5468104,-2.639081,-0.5795999,0.4008001,1.915,-0.07564404,-0.001905356,0.997133,0.05700023,0.9983547,0.006231812,-0.9955043,0.05730821,-0.07541101,start,82.16205,-5.908134,-16.83912,11.82109
05/05/2023 11:39:47.482322,1,True,True,True,True,Eyes,1.05146,0.03934427,-1.929004,-0.9905455,0.01414104,-0.136454,0,0,0,0,0,0,0,2.000805,-0.105126,0.9040468,1.060094,0.03921514,-1.925159,-0.02514836,-0.7331722,-0.02806012,0.6789984,355.6817,265.6088,359.9294,0.5428374,0.01119111,-0.839763,-0.6015857,0.04801346,-0.1793638,-0.7693818,0.5837838,-2.646456,-0.5795999,0.4008001,1.915001,-0.07665767,-0.00122941,0.9970567,0.0749817,0.9971604,0.006994417,-0.994234,0.07529718,-0.07634778,start,82.1565,-5.916569,-16.83912,11.82109
05/05/2023 11:39:47.492237,2,True,True,True,True,Eyes,1.05067,0.03932603,-1.929308,-0.9904475,0.01181254,-0.1373833,0,0,0,0,0,0,0,2.007306,-0.112316,0.8885651,1.050354,0.03868701,-1.930466,-0.02691196,-0.7340097,-0.0271074,0.6780641,355.6246,265.4563,0.1578042,0.5350856,0.01200861,-0.8447122,-0.5654906,0.04513266,-0.168602,-0.776702,0.5828217,-2.658194,-0.5796002,0.4008001,1.915001,-0.07900995,0.002746173,0.9968702,0.07626837,0.9970819,0.003298112,-0.9939521,0.07629023,-0.07898878,start,82.10299,-4.914339,-16.83913,11.82109
05/05/2023 11:39:47.511823,3,True,True,True,True,Eyes,1.049487,0.03934675,-1.929786,-0.9903373,0.009654522,-0.1383431,0,0,0,0,0,0,0,2.013813,-0.1163518,0.8724763,1.039982,0.03947492,-1.935735,-0.02525897,-0.7352183,-0.01938794,0.6770822,356.4044,265.266,0.625036,0.5286778,0.01268034,-0.8487276,-0.5315611,0.0424247,-0.1584859,-0.7918834,0.5532485,-2.673374,-0.5796005,0.4008001,1.915001,-0.08184357,0.01088725,0.9965858,0.06339617,0.9979722,-0.005696055,-0.9946269,0.06271353,-0.08236787,start,82.04765,-3.992018,-16.83914,11.82109
05/05/2023 11:39:47.532291,4,True,True,True,True,Eyes,1.047993,0.03928893,-1.930657,-0.9902129,0.007204029,-0.139379,0,0,0,0,0,0,0,2.01862,-0.1418388,0.8552468,1.029389,0.04040839,-1.940392,-0.03040144,-0.7360211,-0.01659588,0.6760719,356.2423,265.096,1.281255,0.523351,0.01323534,-0.8520141,-0.4996675,0.03987921,-0.1489767,-0.7988802,0.5528179,-2.687837,-0.5795997,0.4008,1.915001,-0.08400497,0.02231218,0.9962155,0.0671922,0.9976007,-0.01667729,-0.9941974,0.06553695,-0.08530261,start,81.98788,-2.958791,-16.83912,11.82108
05/05/2023 11:39:47.542521,5,True,True,True,True,Eyes,1.046164,0.03920823,-1.93165,-0.9900712,0.004378704,-0.1404984,0,0,0,0,0,0,0,2.023825,-0.1640082,0.8375511,1.019979,0.03883013,-1.944837,-0.03361963,-0.7373431,-0.009060321,0.6746205,356.6335,264.8499,2.144418,0.5187805,0.01370195,-0.8547973,-0.4696874,0.03748646,-0.1400381,-0.8085054,0.529461,-2.706237,-0.5796003,0.4008001,1.915001,-0.08751401,0.03735385,0.9954628,0.06180296,0.9975753,-0.03199986,-0.9942444,0.05872211,-0.08961036,start,81.92323,-1.785075,-16.83913,11.82109
05/05/2023 11:39:47.562361,6,True,True,True,True,Eyes,1.044027,0.03919157,-1.932731,-0.9898964,0.00128239,-0.1417866,0,0,0,0,0,0,0,2.028602,-0.1857365,0.8183808,1.010109,0.0383835,-1.948762,-0.03579558,-0.7389028,9.478541E-05,0.6728607,357.247,264.5702,3.043133,0.5145732,0.01411795,-0.8573299,-0.4415061,0.03523727,-0.1316358,-0.8196509,0.4994013,-2.725452,-0.5796003,0.4008001,1.915001,-0.09195471,0.05302646,0.9943505,0.05277135,0.9974374,-0.04831095,-0.9943641,0.0480308,-0.0945173,start,81.84875,-0.5181978,-16.83913,11.82108
05/05/2023 11:39:47.582175,7,True,True,True,True,Eyes,1.041575,0.03924297,-1.933904,-0.9896861,-0.001734212,-0.1432421,0,0,0,0,0,0,0,2.033506,-0.2104445,0.797116,1.000567,0.04003228,-1.952458,-0.03896893,-0.740697,0.006915019,0.6706724,357.5913,264.2384,3.845314,0.5106822,0.01449143,-0.8596472,-0.4150158,0.03312303,-0.1237377,-0.8272264,0.4812229,-2.745129,-0.5796001,0.4008001,1.915001,-0.09735981,0.06700376,0.9929911,0.04845291,0.9968672,-0.06251464,-0.994069,0.0420269,-0.1003014,start,81.76449,0.6936379,-16.83913,11.82109
05/05/2023 11:39:47.592092,8,True,True,True,True,Eyes,1.038816,0.03931845,-1.93516,-0.9894441,-0.004380285,-0.1448485,0,0,0,0,0,0,0,2.038864,-0.231452,0.7730036,0.9905127,0.04177283,-1.955814,-0.04251781,-0.7427513,0.01021466,0.6681381,357.6134,263.8537,4.409054,0.5070647,0.01482981,-0.86178,-0.3901148,0.03113565,-0.1163134,-0.831957,0.4762649,-2.764285,-0.5795999,0.4008001,1.915001,-0.1035676,0.07680991,0.9916522,0.0495107,0.9961758,-0.07198944,-0.9933895,0.04164163,-0.1069743,start,81.67142,1.732123,-16.83912,11.82109
05/05/2023 11:39:47.612442,9,True,True,True,True,Eyes,1.035761,0.03937017,-1.936473,-0.9891737,-0.00687034,-0.1465886,0,0,0,0,0,0,0,2.044209,-0.2447054,0.7491093,0.980382,0.04238826,-1.958797,-0.04568049,-0.7447037,0.01033451,0.66575,357.3961,263.4854,4.696739,0.5036824,0.0151378,-0.863756,-0.366708,0.02926751,-0.1093346,-0.8351378,0.4810213,-2.78056,-0.5795999,0.4008001,1.915001,-0.1093806,0.08179725,0.9906288,0.05427645,0.995613,-0.07621586,-0.9925171,0.04543127,-0.1133403,start,81.57052,2.683385,-16.83912,11.82109
05/05/2023 11:39:47.632196,10,True,True,True,True,Eyes,1.032429,0.03942271,-1.937829,-0.9888716,-0.009185161,-0.1484875,0,0,0,0,0,0,0,2.049308,-0.2458176,0.728081,0.9701834,0.04186042,-1.961424,-0.04636077,-0.7463617,0.009924157,0.6638497,357.3211,263.1921,4.730569,0.5005009,0.01541748,-0.8655984,-0.3447055,0.02751146,-0.1027745,-0.840528,0.4826167,-2.792606,-0.5796006,0.4008001,1.915001,-0.1143086,0.08238011,0.9900239,0.05602751,0.9955044,-0.07636718,-0.9918642,0.04673914,-0.1184103,start,81.46036,3.5397,-16.83914,11.82109
05/05/2023 11:39:47.642268,11,True,True,True,True,Eyes,1.028838,0.03949302,-1.939222,-0.9885482,-0.01150805,-0.1504661,0,0,0,0,0,0,0,2.054399,-0.23777,0.7093616,0.9602013,0.041882,-1.963808,-0.04448076,-0.747885,0.009892804,0.6622625,357.4714,262.9497,4.572119,0.4974905,0.01567178,-0.8673275,-0.3240231,0.02586077,-0.09660807,-0.8481635,0.4793474,-2.801809,-0.5796,0.4008,1.915001,-0.1188596,0.07963625,0.9897123,0.05342972,0.9958472,-0.07371323,-0.9914725,0.04411852,-0.1226209,start,81.34548,4.373621,-16.83912,11.82109
05/05/2023 11:39:47.662736,12,True,True,True,True,Eyes,1.02501,0.03955009,-1.940661,-0.9882104,-0.01374124,-0.1524843,0,0,0,0,0,0,0,2.058963,-0.2284278,0.6921041,0.9503694,0.04238235,-1.966092,-0.04222723,-0.7492069,0.009663168,0.6609179,357.6308,262.7444,4.36512,0.4946247,0.01590414,-0.8689609,-0.3045817,0.02430913,-0.09081159,-0.8562526,0.4767638,-2.809439,-0.5796003,0.4008001,1.915001,-0.1228086,0.076047,0.9895124,0.05050075,0.9962469,-0.0702969,-0.9911446,0.04133805,-0.1261882,start,81.22824,5.149343,-16.83913,11.82109
05/05/2023 11:39:47.682206,13,True,True,True,True,Eyes,1.020953,0.03958886,-1.942132,-0.9878488,-0.0161261,-0.1545792,0,0,0,0,0,0,0,2.063355,-0.2181474,0.6750789,0.940792,0.0421007,-1.96822,-0.04046256,-0.7504678,0.008167689,0.6596167,357.6433,262.5427,4.104013,0.4918798,0.01611624,-0.8705137,-0.2863068,0.02285058,-0.08536289,-0.8630416,0.4788351,-2.816308,-0.5796002,0.4008001,1.915001,-0.1265374,0.07150678,0.9893813,0.0499566,0.9965922,-0.06563873,-0.9907032,0.04112038,-0.1296783,start,81.10644,5.955701,-16.83913,11.82108
05/05/2023 11:39:47.692454,14,True,True,True,True,Eyes,1.016661,0.03965363,-1.943612,-0.9874525,-0.01856425,-0.1568215,0,0,0,0,0,0,0,2.068116,-0.2013543,0.6586678,0.9312124,0.04172164,-1.97043,-0.03622523,-0.7518204,0.008662938,0.6583152,358.0132,262.347,3.779405,0.4892353,0.01630933,-0.8719991,-0.2691284,0.02147954,-0.08024111,-0.8726241,0.4696198,-2.823004,-0.5796,0.4008001,1.915,-0.1306178,0.06587561,0.9892418,0.04306383,0.9972253,-0.06072118,-0.9904971,0.03466928,-0.1330922,start,80.97598,6.751155,-16.83913,11.82109
05/05/2023 11:39:47.711924,15,True,True,True,True,Eyes,1.012141,0.03974599,-1.945121,-0.9870275,-0.0209741,-0.1591749,0,0,0,0,0,0,0,2.073057,-0.1828217,0.6409321,0.9212987,0.04236511,-1.972612,-0.03172592,-0.753287,0.008114118,0.6568763,358.3121,262.1283,3.352729,0.4866729,0.01648657,-0.8734285,-0.2529807,0.02019077,-0.07542665,-0.8816956,0.464831,-2.829665,-0.5796005,0.4008001,1.915001,-0.1350141,0.0584574,0.9891179,0.0371375,0.9978552,-0.05390453,-0.9901476,0.0294555,-0.1368955,start,80.83897,7.506486,-16.83913,11.82108
05/05/2023 11:39:47.732285,16,True,True,True,True,Eyes,0.8934748,0.04272079,-1.983369,-0.972342,-0.07937155,-0.2196614,0,0,0,0,0,0,0,2.078032,-0.1645814,0.6219666,0.9112878,0.04309501,-1.974802,-0.02785721,-0.7548422,0.006230573,0.6552851,358.4469,261.884,2.879732,0.4841753,0.01665088,-0.8748123,-0.2378019,0.01897932,-0.07090104,-0.8893117,0.4660353,-2.836641,-0.5796,0.4008002,1.915001,-0.139651,0.05022119,0.9889265,0.03388998,0.9983703,-0.04591502,-0.9896207,0.02710263,-0.1411255,start,77.27003,19.86661,-16.83912,11.82109
