,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/08/2023 17:10:01.194534,212,True,True,True,True,Eyes,1.131385,-0.3396459,-3.189927,0.2490285,0.1783776,0.9519277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.137671,0.3651894,3.189909,1.12245,-0.3402864,-3.198045,0.005903316,0.001756756,-0.005666969,0.999965,0.6776031,0.1974831,359.3518,0.3319687,-0.1001187,-0.9379618,0,0,0,1.71316,0.03125595,-1.280541,0.5796,0.4008,1.915,0.9999296,-0.0113128,-0.003580297,0.01135429,0.9998661,0.01178631,0.003446482,-0.01182613,0.9999241,static,14.66029,10.61332,16.83913,11.82109
1,05/08/2023 17:10:01.214535,213,True,True,True,True,Eyes,1.131323,-0.3396465,-3.189926,0.2494439,0.1784503,0.9518052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.139222,0.363221,3.189549,1.122381,-0.3402686,-3.19804,0.005583064,0.002017435,-0.005620184,0.9999667,0.6410632,0.2275925,359.3572,0.332032,-0.1000917,-0.9379422,0,0,0,1.71406,0.03255363,-1.281083,0.5796002,0.4008,1.915,0.9999287,-0.01121747,-0.004097491,0.01126252,0.9998745,0.01114308,0.003971979,-0.01118843,0.9999295,static,14.68549,10.61889,16.83914,11.82109
2,05/08/2023 17:10:01.230051,214,True,True,True,True,Eyes,1.131231,-0.3396471,-3.189926,0.249947,0.1784906,0.9516657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.139183,0.3640002,3.189474,1.12234,-0.3403072,-3.19805,0.005673122,0.002025136,-0.005547169,0.9999666,0.6513713,0.2284649,359.3656,0.3320873,-0.1000674,-0.9379252,0,0,0,1.713991,0.03225517,-1.281035,0.5795999,0.4008,1.915,0.9999303,-0.01107099,-0.004113076,0.01111694,0.9998741,0.0113234,0.003987197,-0.01136833,0.9999274,static,14.7159,10.62276,16.83913,11.82109
3,05/08/2023 17:10:01.244064,215,True,True,True,True,Eyes,1.131145,-0.339649,-3.189926,0.2504145,0.1785272,0.9515359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.137844,0.3630821,3.190058,1.122292,-0.3403061,-3.198068,0.005562007,0.001812979,-0.0056437,0.999967,0.6385238,0.2041613,359.3544,0.3321348,-0.1000457,-0.9379107,0,0,0,1.713207,0.03257235,-1.280886,0.5795999,0.4008,1.915,0.9999297,-0.01126686,-0.003688619,0.01130719,0.9998744,0.01110318,0.003563058,-0.01114411,0.9999316,static,14.74414,10.6263,16.83913,11.82109
4,05/08/2023 17:10:01.264056,216,True,True,True,True,Eyes,1.131049,-0.3396514,-3.189918,0.2509619,0.1785325,0.9513907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13647,0.362471,3.190642,1.122334,-0.3403359,-3.198075,0.005532721,0.001569108,-0.00584941,0.9999664,0.6350466,0.176103,359.3307,0.3321752,-0.1000263,-0.9378985,0,0,0,1.712472,0.03241701,-1.28063,0.5795999,0.4008,1.915,0.9999266,-0.01168106,-0.003202836,0.01171579,0.9998704,0.01104671,0.003073383,-0.01108343,0.9999338,static,14.77712,10.62819,16.83913,11.82109
5,05/08/2023 17:10:01.273808,217,True,True,True,True,Eyes,1.130959,-0.3396527,-3.189912,0.251492,0.1785134,0.9512542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13645,0.361784,3.190591,1.122434,-0.340347,-3.197903,0.005526428,0.001519012,-0.006139893,0.9999647,0.6343414,0.1701822,359.2973,0.3322091,-0.100009,-0.9378883,0,0,0,1.712604,0.03208975,-1.280406,0.5795999,0.4008,1.915,0.99992,-0.01226257,-0.003105779,0.01229614,0.9998635,0.01103381,0.002970052,-0.01107112,0.9999343,static,14.80899,10.62857,16.83913,11.82109
6,05/08/2023 17:10:01.294130,218,True,True,True,True,Eyes,1.130852,-0.3396525,-3.189906,0.2522899,0.1786203,0.9510229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.136804,0.3629399,3.190378,1.122483,-0.340312,-3.197933,0.00578644,0.001543009,-0.006346502,0.999962,0.664189,0.1726128,359.2737,0.3322374,-0.09999356,-0.93788,0,0,0,1.712897,0.03088386,-1.280272,0.5796,0.4008,1.915,0.9999146,-0.01267466,-0.003159349,0.01271038,0.9998525,0.01155285,0.003012454,-0.01159202,0.9999283,static,14.85736,10.63732,16.83913,11.82109
7,05/08/2023 17:10:01.314504,219,True,True,True,True,Eyes,1.13075,-0.3396554,-3.189903,0.2530728,0.1787278,0.9507947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.137885,0.3614819,3.190149,1.122477,-0.3402845,-3.19793,0.005639666,0.001691133,-0.006560929,0.9999613,0.6475181,0.1895544,359.2492,0.3322601,-0.0999798,-0.9378734,0,0,0,1.713626,0.03121981,-1.280554,0.5796,0.4008,1.915,0.9999081,-0.01310227,-0.003456138,0.01314042,0.9998503,0.0112567,0.003308132,-0.01130108,0.9999307,static,14.90484,10.64607,16.83913,11.82109
8,05/08/2023 17:10:01.324733,220,True,True,True,True,Eyes,1.130621,-0.3396568,-3.189896,0.2540758,0.1789051,0.9504938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.13935,0.3612842,3.189728,1.122479,-0.3403619,-3.198,0.005585061,0.001924581,-0.006523184,0.9999613,0.6414281,0.2163715,359.2537,0.3322778,-0.0999676,-0.9378684,0,0,0,1.714494,0.03139202,-1.28094,0.5796,0.4008,1.915,0.9999074,-0.01302437,-0.003921879,0.01306736,0.9998525,0.01114458,0.003776149,-0.0111948,0.9999302,static,14.96579,10.65968,16.83913,11.82109
9,05/08/2023 17:10:01.344185,221,True,True,True,True,Eyes,1.130498,-0.3396563,-3.18989,0.2550506,0.1790872,0.9501984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.140537,0.362643,3.18905,1.122509,-0.3403305,-3.197894,0.005801401,0.002105537,-0.006514051,0.9999597,0.6663516,0.2369533,359.2549,0.3322905,-0.0999568,-0.9378651,0,0,0,1.715205,0.03060091,-1.280885,0.5796002,0.4008,1.915,0.9999062,-0.01300315,-0.004286485,0.01305201,0.9998478,0.01157491,0.004135323,-0.01162977,0.9999238,static,15.02507,10.67353,16.83914,11.82109
