Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/08/2023 17:24:50.147310,213,True,True,True,True,Eyes,1.130787,-0.3416076,-3.191601,-0.04539562,0.03180484,0.9984627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.089851,0.2710055,3.221637,1.130584,-0.3423694,-3.200738,-0.008872687,-0.006959946,-0.006473564,0.9999155,358.9781,359.209,359.2652,0.33231,-0.100345,-0.9378169,0,0,0,1.099558,-0.3022858,-0.9537101,1.173466e-07,-1.117587e-08,2.2476,0.9998193,-0.01282253,0.01403359,0.01306954,0.9997587,-0.01765376,-0.01380384,0.01783398,0.9997457,static,-1.8215189288352749,0.7783359104165413,2.9913974551565495e-06,-2.8489508070246995e-07,-0.031025999999999998,0.0400836,2.2470279,-0.03178321896794492,0.013577244130700862,0.9994026010010938,-1.2343122934430997,0.5438840993281076,1.9806396503338912,1.9808456120607945,1.348830769886592
05/08/2023 17:24:50.167173,214,True,True,True,True,Eyes,1.13075,-0.3416207,-3.191601,-0.04483164,0.03142485,0.9985002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.090548,0.2704737,3.221338,1.1306,-0.3423063,-3.200631,-0.008966065,-0.006848184,-0.006414139,0.9999159,358.9676,359.2218,359.2719,0.3323062,-0.1003484,-0.9378179,0,0,0,1.100077,-0.301808,-0.9536033,1.527369e-07,1.490116e-08,2.2476,0.9998239,-0.01270439,0.01381023,0.01295,0.9997569,-0.01784277,-0.0135802,0.01801847,0.9997454,static,-1.8014540513722874,0.7464173848492179,3.893566357853574e-06,3.798601076032932e-07,-0.030523000000000078,0.04049829999999999,2.2470277,-0.03143346035583578,0.01302063540488755,0.999421055995101,-1.2137476624755594,0.5127714596381017,1.9497833553091022,1.9499715569001206,1.3176217287411685
05/08/2023 17:24:50.177136,215,True,True,True,True,Eyes,1.130706,-0.3416298,-3.191599,-0.0442178,0.03101926,0.9985402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.090894,0.2699747,3.221308,1.130591,-0.342348,-3.200675,-0.009063334,-0.006788812,-0.006375268,0.9999156,358.9565,359.2286,359.2764,0.3323019,-0.1003518,-0.937819,0,0,0,1.100337,-0.3014154,-0.953652,1.341105e-07,2.235174e-08,2.2476,0.9998266,-0.0126264,0.01369204,0.01287252,0.9997544,-0.01803858,-0.01346091,0.0182117,0.9997435,static,-1.772563266615557,0.7125575872451119,3.418742497948575e-06,5.697901614049399e-07,-0.030254000000000003,0.040932599999999986,2.247023,-0.030929739758437335,0.01243020510949495,0.9994442358347155,-1.1845849946069813,0.4795520919604253,1.9102571977856522,1.9104266950515365,1.2779747147176481
05/08/2023 17:24:50.197149,216,True,True,True,True,Eyes,1.130663,-0.3416441,-3.191595,-0.04361839,0.03063641,0.9985784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.091548,0.271419,3.220897,1.130606,-0.3422513,-3.200612,-0.008795596,-0.006698835,-0.006455666,0.9999182,358.9872,359.2388,359.2669,0.3322968,-0.1003552,-0.9378204,0,0,0,1.100752,-0.3025221,-0.9535617,9.49949e-08,3.72529e-08,2.2476,0.9998269,-0.01279243,0.01351014,0.01302812,0.9997619,-0.01750326,-0.01328301,0.01767624,0.9997555,static,-1.7486087817314262,0.721277700413947,2.421608313430905e-06,9.496502690082328e-07,-0.029854000000000047,0.039729199999999965,2.2470503,-0.030511827213853333,0.012582476980959238,0.9994551936848071,-1.1617666178580892,0.48722196603314166,1.8913581246143838,1.8915288238981347,1.2597982456996228
05/08/2023 17:24:50.217080,217,True,True,True,True,Eyes,1.130633,-0.3416605,-3.191594,-0.0430123,0.03022357,0.9986173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.092296,0.2711598,3.22059,1.130579,-0.3423905,-3.200531,-0.008879598,-0.006572201,-0.006391675,0.9999185,358.9777,359.2533,359.2742,0.3322912,-0.1003588,-0.937822,0,0,0,1.101293,-0.3022893,-0.9534797,8.195639e-08,-1.490116e-08,2.2476,0.9998319,-0.01266559,0.01325684,0.01289902,0.9997606,-0.01767373,-0.01302982,0.01784176,0.9997559,static,-1.7278173580196698,0.6885790598176295,2.0892308467379352e-06,-3.798601076032932e-07,-0.029285999999999923,0.040101200000000004,2.2470513,-0.030149356466728602,0.012012219484172876,0.9994732397027101,-1.1404712450907,0.45534224879480495,1.8598190969452337,1.85997357159826,1.2280131659590918
05/08/2023 17:24:50.237077,218,True,True,True,True,Eyes,1.130603,-0.341673,-3.191596,-0.04243373,0.02980179,0.9986547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.092386,0.2710009,3.220672,1.130574,-0.3424442,-3.200627,-0.008908142,-0.006558314,-0.006403909,0.9999183,358.9744,359.2549,359.2728,0.3322854,-0.1003625,-0.9378237,0,0,0,1.101352,-0.3022148,-0.9535776,2.551824e-07,2.980232e-08,2.2476,0.999832,-0.01268993,0.01322965,0.01292362,0.9997593,-0.01773083,-0.01300146,0.01789883,0.9997553,static,-1.6959104878160387,0.6614541865023199,6.50510523492575e-06,7.597202152065864e-07,-0.02922199999999986,0.04022939999999997,2.2470494,-0.029592929239818273,0.011539240826386805,0.9994954139070198,-1.1086441273770156,0.4284833219829746,1.8202044499212175,1.8203447702786757,1.1885720554794115
05/08/2023 17:24:50.247168,219,True,True,True,True,Eyes,1.130559,-0.3416733,-3.191588,-0.04178534,0.02937654,0.9986946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.092053,0.2733012,3.22066,1.130568,-0.3423573,-3.200708,-0.008593351,-0.006595666,-0.00624021,0.9999219,359.0106,359.2503,359.2914,0.3322793,-0.1003662,-0.9378254,0,0,0,1.101162,-0.3035465,-0.9536356,1.974404e-07,7.450581e-09,2.2476,0.9998351,-0.01236609,0.01329755,0.0125928,0.9997745,-0.01710304,-0.01308305,0.01726768,0.9997653,static,-1.6539882149557816,0.674266953251081,5.033147190503092e-06,1.8993007929362898e-07,-0.029406000000000043,0.03881079999999998,2.2470724,-0.028861532505860564,0.011763003870537653,0.9995141537225986,-1.068619545038156,0.4395632941901568,1.7860079555889885,1.7861493030790005,1.1554973871578271
05/08/2023 17:24:50.267148,220,True,True,True,True,Eyes,1.130514,-0.3416853,-3.191581,-0.04116542,0.02902838,0.9987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.091897,0.2710216,3.220596,1.130514,-0.3420622,-3.200447,-0.008918506,-0.006605251,-0.006195392,0.9999192,358.9734,359.2494,359.2968,0.3322727,-0.1003696,-0.9378274,0,0,0,1.101073,-0.301791,-0.9534009,1.527369e-07,1.862645e-08,2.2476,0.999836,-0.01227196,0.01331994,0.0125076,0.9997641,-0.01775373,-0.01309893,0.01791742,0.9997537,static,-1.6167296111186626,0.6176464705319082,3.893566357853574e-06,4.7482513450411653e-07,-0.02944100000000005,0.04027120000000001,2.2470461,-0.028211870380542757,0.010775464222695527,0.9995438109557119,-1.030530977296257,0.3843254154944851,1.7305805343221972,1.730697489795291,1.0998671647450549
05/08/2023 17:24:50.279065,221,True,True,True,True,Eyes,1.130502,-0.3417087,-3.191581,-0.04060202,0.02861445,0.9987656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.091667,0.2661756,3.221078,1.130471,-0.3423713,-3.20043,-0.009666773,-0.006644045,-0.006351372,0.999911,358.8875,359.2456,359.2794,0.3322657,-0.1003731,-0.9378295,0,0,0,1.100883,-0.2987313,-0.9534481,8.009374e-08,2.980232e-08,2.2476,0.999831,-0.01257316,0.0134097,0.01283007,0.9997324,-0.01924743,-0.01316411,0.01941622,0.9997248,static,-1.5794359123840769,0.507966104851894,2.041748205827612e-06,7.597202152065864e-07,-0.029587999999999948,0.04364000000000001,2.2469818999999998,-0.027561783911266357,0.00886219701937099,0.9995808341759367,-0.9904450933900472,0.27830690790549845,1.6590333666979213,1.6591121248451886,1.0288050542358846
05/08/2023 17:24:50.296905,222,True,True,True,True,Eyes,1.130492,-0.3417051,-3.191581,-0.04007673,0.02826294,0.9987968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.089978,0.276751,3.221002,1.130494,-0.3426284,-3.200638,-0.008234412,-0.006873165,-0.005851898,0.9999253,359.0518,359.2178,359.3358,0.332259,-0.1003769,-0.9378315,0,0,0,1.099817,-0.305435,-0.9535558,1.378357e-07,-3.72529e-09,2.2476,0.999837,-0.01158973,0.01384168,0.01181611,0.9997959,-0.01638715,-0.01364893,0.01654804,0.9997699,static,-1.522784031874226,0.6543444394789525,3.5137052305709875e-06,-9.49650269008233e-08,-0.030677000000000065,0.03719339999999999,2.2470822000000004,-0.026572734372975283,0.011416183897269692,0.9995816856507246,-0.9411335050063477,0.4167971191849969,1.6573006918896835,1.6574222994543708,1.0293001533627295
