Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/15/2023 14:09:26.308008,182,True,True,True,True,Eyes,1.015944,0.02190085,-1.846126,0.1696496,0.09884651,-0.9805347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5311056,0.2625632,-2.074436,1.103788,0.01202152,-1.853592,-0.0296574,0.9877787,0.05670589,0.1421205,353.0816,163.7733,357.5479,0.4590097,0.01193195,-0.8883507,0.2467707,0.0002571706,0.04689693,0.8324268,0.1654898,-2.619414,0.470997,0.09314817,0.6731697,-0.9578446,-0.04247177,-0.2841307,-0.07470804,0.9918098,0.1035959,0.2774037,0.1204556,-0.9531726,moving,6.425926216176857,-0.9350575361548867,34.97934890403182,7.878133332560751,-0.27136119999999997,0.15346827999999998,-0.765822,0.11190387692517233,-0.01621660786929079,0.9935866651589883,7.271338208065345,4.333954390999017,29.443762131246597,29.882608327917485,27.933762029085923
05/15/2023 14:09:26.328194,183,True,True,True,True,Eyes,1.020732,0.02156582,-1.846771,0.1683834,0.09898082,-0.9807394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405784,0.2800873,-2.076594,1.113543,0.01071533,-1.855483,-0.033057,0.987597,0.05913299,0.1416438,352.752,163.854,357.1952,0.4613332,0.01177839,-0.8871483,0.2319644,0.0002417403,0.04408311,0.8350421,0.1631262,-2.619406,0.4760315,0.09179007,0.6703274,-0.9576888,-0.04854234,-0.2836834,-0.08204562,0.9908211,0.1074345,0.2758644,0.1261638,-0.9528809,moving,6.441049892375301,-1.2171725206562485,35.38037999303856,7.797200922314813,-0.27850089999999994,0.15241087,-0.7639230000000001,0.11215589723903241,-0.021108045396401976,0.9934663798890444,7.263631273119399,4.051291415101719,29.865920870265604,30.31078612052971,28.365179298134272
05/15/2023 14:09:26.343068,184,True,True,True,True,Eyes,1.025719,0.02135248,-1.847474,0.1669489,0.09913738,-0.9809688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5497279,0.2588803,-2.082825,1.122934,0.0119638,-1.856409,-0.03510853,0.9878871,0.05301506,0.141549,353.4146,163.8723,356.8633,0.4635849,0.01162287,-0.8859758,0.2180466,0.0002272359,0.04143813,0.837586,0.1608273,-2.619399,0.4813429,0.09939935,0.6664587,-0.9574628,-0.05435806,-0.2833913,-0.08437496,0.9919136,0.09480665,0.2759461,0.1146849,-0.9543068,moving,6.474797505534548,-0.5047309716781255,35.83830928905481,8.482880573264053,-0.28534800000000005,0.1488635,-0.7629900000000001,0.11276184077858752,-0.008752919030087639,0.9935834618040857,7.352769119604453,4.765735393748596,30.215220807112615,30.708190854293445,28.727045915495125
05/15/2023 14:09:26.358056,185,True,True,True,True,Eyes,1.030863,0.02119996,-1.848207,0.165524,0.09959529,-0.9811639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5682811,0.2657206,-2.084075,1.132713,0.01457296,-1.858405,-0.0389094,0.988085,0.05346107,0.1389823,353.312,164.1961,356.4192,0.4657775,0.01147131,-0.8848271,0.2049638,0.0002136017,0.03895184,0.8401413,0.1585179,-2.619392,0.4836276,0.09736384,0.6648645,-0.95834,-0.06203129,-0.2788129,-0.09175187,0.9912559,0.09483273,0.2704924,0.1164636,-0.9556517,moving,6.243827677998765,-0.5480936551037561,36.03243353787601,8.331268947738373,-0.2925717000000001,0.14394494,-0.7609869999999999,0.10875487063215741,-0.009509153913198879,0.9940231230384087,7.125636051526577,4.720282576846251,30.60646420181962,31.08382407793263,29.131463462853812
05/15/2023 14:09:26.378397,186,True,True,True,True,Eyes,1.036182,0.02114536,-1.848958,0.1638975,0.09987548,-0.9814084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5890738,0.2754326,-2.083341,1.142254,0.01580171,-1.85962,-0.04002987,0.9883437,0.05542402,0.1360244,353.0822,164.551,356.3008,0.4679212,0.01132621,-0.8836973,0.1926659,0.0002007856,0.03661473,0.8428469,0.1560728,-2.619384,0.4860383,0.09220246,0.6647009,-0.9597901,-0.06404851,-0.2733149,-0.09420456,0.9906516,0.09866588,0.2644404,0.120446,-0.9568511,moving,6.000595453331997,-0.7679601600057736,36.17477698112808,7.89725892506505,-0.29940710000000015,0.14027109000000001,-0.7597640000000001,0.10452950875983776,-0.013329606970134567,0.9944324275577949,6.872640786839124,4.497796299996211,30.954859612212505,31.39374543861669,29.49866999862704
05/15/2023 14:09:26.388468,187,True,True,True,True,Eyes,1.041667,0.02120347,-1.84972,0.1622589,0.100012,-0.9816667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6127479,0.2658394,-2.083989,1.15178,0.01813766,-1.860702,-0.03944545,0.9889281,0.05354799,0.1326576,353.317,164.9347,356.3164,0.4700264,0.01119149,-0.8825811,0.181106,0.0001887385,0.03441785,0.8453013,0.1538547,-2.619378,0.488342,0.09036964,0.6642981,-0.9616924,-0.06381033,-0.2666021,-0.09222453,0.9911534,0.09544476,0.2581532,0.1163757,-0.9590695,moving,5.698517062414876,-0.548860139183902,36.32052821712576,7.746835963372751,-0.3064787,0.13571704,-0.7586760000000001,0.09928947770330201,-0.009531934291348762,0.9950128654988191,6.597435394539215,4.714825579667679,31.312457257840958,31.725796144229566,29.877338132889136
05/15/2023 14:09:26.408508,188,True,True,True,True,Eyes,1.047322,0.0212876,-1.85051,0.1604636,0.1004093,-0.9819213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635088,0.2631252,-2.08382,1.161297,0.02090071,-1.861674,-0.03923891,0.9893596,0.05335593,0.1295416,353.3535,165.2948,356.3162,0.472102,0.01107138,-0.881474,0.1702396,0.0001774142,0.03235278,0.8478706,0.1515327,-2.61937,0.4909955,0.08586195,0.6640451,-0.9633586,-0.06381916,-0.2605137,-0.09146641,0.9912269,0.09541028,0.2521392,0.1157426,-0.9607443,moving,5.440708806251421,-0.5084478839954564,36.47925219278344,7.367546057444348,-0.3134264,0.13063199,-0.7576959999999999,0.09481194082190211,-0.008833997867642135,0.9954560212306713,6.350947193325569,4.753118282472495,31.648808385647772,32.022218163694205,30.241527652069806
05/15/2023 14:09:26.427965,189,True,True,True,True,Eyes,1.053066,0.0213454,-1.851291,0.1680434,0.09724732,-0.9809712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6548465,0.2775778,-2.08256,1.171079,0.02155068,-1.863073,-0.03937548,0.9895041,0.05679499,0.1269082,352.9698,165.6084,356.3311,0.4741559,0.01096561,-0.8803722,0.1600253,0.0001667693,0.03041161,0.8504718,0.1491819,-2.619363,0.4945071,0.07857006,0.6635842,-0.9646879,-0.0635089,-0.255625,-0.0923399,0.9904478,0.1024036,0.2466796,0.1223919,-0.9613374,moving,4.731774407074506,-1.1299961139944374,36.69370971428163,6.752528450764401,-0.3206072,0.12763122000000002,-0.7562899999999999,0.08247527083475244,-0.019653688589890056,0.9963993591857274,5.6150850441243065,4.123980705499695,32.58628511601279,32.91959146308046,31.18958439347417
05/15/2023 14:09:26.438286,190,True,True,True,True,Eyes,1.05898,0.0214379,-1.852061,0.1752427,0.09393497,-0.9800338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715409,0.2672343,-2.084361,1.180793,0.02183207,-1.863382,-0.03882914,0.9898754,0.05426268,0.1252786,353.272,165.7888,356.3469,0.4761929,0.01087146,-0.8792732,0.1504237,0.0001567632,0.02858691,0.8532724,0.1466509,-2.619355,0.4990368,0.07948074,0.6625636,-0.9655952,-0.06327612,-0.2522343,-0.09046792,0.9910957,0.09769767,0.2438064,0.1171555,-0.9627218,moving,4.131921544639087,-1.0629257209334737,36.98672251700714,6.840480903856563,-0.32752059999999994,0.12481883,-0.755973,0.07204081036935381,-0.018502289718146436,0.997230073027856,5.039434861446031,4.186054659448283,33.455940509656884,33.79203727523234,32.05737305572885
05/15/2023 14:09:26.457744,191,True,True,True,True,Eyes,1.05898,0.0214379,-1.852061,0.1752427,0.09393497,-0.9800338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6861171,0.2539276,-2.08741,1.19078,0.02280716,-1.863878,-0.03906729,0.9901882,0.05079211,0.1241826,353.6679,165.91,356.2645,0.4782199,0.01078936,-0.8781734,0.1413983,0.0001473574,0.0268717,0.8556252,0.1445247,-2.619349,0.5047025,0.08221558,0.6606021,-0.9661047,-0.06475293,-0.249897,-0.08998292,0.9917878,0.09088451,0.2419597,0.1102904,-0.9639977,moving,3.9868055827508546,-0.6705778226737182,37.37996422045684,7.094298014029143,-0.3351548,0.12171754000000001,-0.7554710000000002,0.0695220091653527,-0.011675206252772845,0.9975121109215661,4.929977399036927,4.578097784614213,33.93670982779233,34.28405373584649,32.54739480058018
