,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/16/2023 17:13:01.729726,183,True,True,True,True,Eyes,1.617609,-0.3414278,-3.064125,-0.3849784,0.1980576,0.9014238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.296037,0.32682,3.225676,1.623846,-0.3423339,-3.072042,-0.001947422,-0.0520987,-0.001105699,0.9986394,359.7705,354.0274,359.8851,0.4644239,-0.09809708,-0.8801631,0,0,0,0.8491018,0.06729345,-1.229277,-0.5796,0.4008,1.915,0.994569,-0.002005473,0.1040599,0.002411305,0.99999,-0.003774335,-0.1040513,0.004004756,0.9945638,moving,-23.12627,12.39192,-16.83913,11.82109
1,05/16/2023 17:13:01.749945,184,True,True,True,True,Eyes,1.617712,-0.3414241,-3.064113,-0.3851865,0.1980791,0.9013302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.295229,0.3291949,3.225721,1.623893,-0.3424593,-3.071963,-0.001606767,-0.05223101,-0.001071326,0.9986333,359.8097,354.0122,359.887,0.4644421,-0.09809378,-0.8801538,0,0,0,0.8525829,0.06307046,-1.228703,-0.5756056,0.3980379,1.915,0.9945415,-0.001971877,0.1043227,0.00230757,0.9999925,-0.003097229,-0.1043158,0.003321055,0.9945387,moving,-23.13961,12.39447,-16.72959,11.74189
2,05/16/2023 17:13:01.770228,185,True,True,True,True,Eyes,1.617813,-0.3414162,-3.064102,-0.3853791,0.1980665,0.9012505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.295453,0.3327186,3.225385,1.623828,-0.3424756,-3.072117,-0.001094992,-0.05217716,-0.0009755794,0.9986369,359.8689,354.0183,359.8949,0.4644609,-0.0980906,-0.8801442,0,0,0,0.8563093,0.05842152,-1.227972,-0.5718875,0.3954668,1.915,0.9945531,-0.001834232,0.1042142,0.002062766,0.9999957,-0.002085192,-0.1042099,0.002288803,0.9945527,moving,-23.15178,12.39477,-16.62751,11.66813
3,05/16/2023 17:13:01.779639,186,True,True,True,True,Eyes,1.617929,-0.3414085,-3.06409,-0.3855669,0.1980626,0.9011711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.296124,0.3354073,3.224849,1.623855,-0.3423557,-3.072129,-0.0006169063,-0.0520876,-0.001045999,0.9986418,359.9232,354.0286,359.884,0.4644803,-0.0980874,-0.8801344,0,0,0,0.8604434,0.05422261,-1.227067,-0.5681192,0.3928609,1.915,0.9945716,-0.00202489,0.104035,0.002153423,0.999997,-0.00112317,-0.1040324,0.001341104,0.994573,moving,-23.16371,12.39559,-16.52394,11.59333
4,05/16/2023 17:13:01.799813,187,True,True,True,True,Eyes,1.618041,-0.3414015,-3.064077,-0.3857394,0.1980658,0.9010965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.297118,0.3339208,3.224569,1.623779,-0.3423795,-3.07213,-0.0008271636,-0.05192711,-0.001108848,0.99865,359.8987,354.047,359.878,0.4645005,-0.09808419,-0.8801241,0,0,0,0.8649627,0.0523195,-1.226571,-0.5641487,0.3901152,1.915,0.9946047,-0.002128798,0.1037159,0.002300607,0.9999961,-0.001536935,-0.1037122,0.001767253,0.9946058,moving,-23.17469,12.39678,-16.41469,11.51448
5,05/16/2023 17:13:01.819377,188,True,True,True,True,Eyes,1.618173,-0.3413892,-3.064063,-0.38589,0.1980649,0.9010323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.297932,0.3333968,3.224312,1.623821,-0.3423878,-3.072124,-0.0009708715,-0.05179351,-0.0009808809,0.9986569,359.8831,354.0623,359.8935,0.4645213,-0.09808099,-0.8801134,0,0,0,0.8691722,0.05005243,-1.226082,-0.5603556,0.3874922,1.915,0.994633,-0.001858557,0.1034498,0.002059696,0.9999962,-0.001837528,-0.103446,0.002040741,0.994633,moving,-23.18426,12.39758,-16.31021,11.43911
6,05/16/2023 17:13:01.829666,189,True,True,True,True,Eyes,1.618299,-0.3413778,-3.064047,-0.3860254,0.1980968,0.9009673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.298882,0.33248,3.224108,1.624021,-0.3422657,-3.07212,-0.00104446,-0.05168845,-0.001093563,0.9986621,359.874,354.0744,359.881,0.4645433,-0.09807761,-0.8801022,0,0,0,0.8735246,0.04803447,-1.225586,-0.5566571,0.3849348,1.915,0.9946542,-0.002076227,0.1032409,0.002292173,0.9999955,-0.001973077,-0.1032363,0.002199175,0.9946545,moving,-23.19303,12.40038,-16.20823,11.36558
7,05/16/2023 17:13:01.849810,190,True,True,True,True,Eyes,1.618414,-0.3413741,-3.064034,-0.3861796,0.1981299,0.900894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.299646,0.3296628,3.224041,1.624028,-0.3422818,-3.072063,-0.001486838,-0.0515708,-0.001108529,0.9986677,359.8233,354.088,359.8819,0.4645661,-0.09807412,-0.8800906,0,0,0,0.8778793,0.04699266,-1.225286,-0.5527487,0.3822321,1.915,0.9946784,-0.002060749,0.1030075,0.002367459,0.9999931,-0.002855378,-0.1030009,0.003084049,0.9946765,moving,-23.20301,12.40337,-16.10034,11.28784
8,05/16/2023 17:13:01.869728,191,True,True,True,True,Eyes,1.618523,-0.3413708,-3.064021,-0.3863282,0.1981557,0.9008245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.299314,0.329959,3.224133,1.623898,-0.3424628,-3.072099,-0.001561155,-0.05158061,-0.0009091902,0.9986672,359.816,354.0868,359.9052,0.4645893,-0.09807076,-0.8800787,0,0,0,0.8815621,0.0440414,-1.224979,-0.5487221,0.3794477,1.915,0.9946772,-0.001654906,0.1030266,0.001977008,0.9999934,-0.003024355,-0.1030209,0.003211942,0.994674,moving,-23.21259,12.40586,-15.98907,11.2077
9,05/16/2023 17:13:01.881900,192,True,True,True,True,Eyes,1.618615,-0.341366,-3.064013,-0.3864591,0.1981803,0.900763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.299316,0.3304992,3.224093,1.623898,-0.3424665,-3.072116,-0.001501388,-0.05157473,-0.0008546344,0.9986677,359.8231,354.0875,359.9111,0.4646128,-0.09806753,-0.8800667,0,0,0,0.8852609,0.04114561,-1.22455,-0.5449758,0.376857,1.915,0.9946786,-0.001552124,0.1030146,0.001861859,0.999994,-0.00291062,-0.1030095,0.00308693,0.9946756,moving,-23.22104,12.40817,-15.88544,11.1331
