,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/16/2023 17:08:15.945054,182,True,True,True,True,Eyes,1.565495,-0.3446527,-3.435951,-0.6015731,0.5449183,0.5841009,1.183328,0.8536369,0.3001643,-2.744768,0.2212877,0.05795923,-0.9734847,-0.1413664,0.1190278,1.177907,1.566094,-0.3501498,-3.445563,-0.2194061,-0.3157418,-0.08896985,0.9188322,332.653,322.4626,358.3907,0.4128232,-0.09086464,-0.9062671,0,0,0,0.850316,0.2992944,-2.730159,-0.134904,0.112183,1.189594,0.7847829,-0.02494538,0.6192685,0.302048,0.8878907,-0.3470117,-0.5411864,0.4593777,0.7043362,moving,-45.84425,43.01235,-6.469898,5.387269
1,05/16/2023 17:08:15.964956,183,True,True,True,True,Eyes,1.565511,-0.3446669,-3.435941,-0.6016456,0.5448813,0.5840608,1.184276,0.8529962,0.3006228,-2.744251,-0.07934948,0.2842847,-0.9554507,-0.1414002,0.1188612,1.178847,1.566094,-0.3500871,-3.445587,-0.2194453,-0.3158081,-0.08901486,0.9187957,332.6468,322.4543,358.3892,0.4128307,-0.09086837,-0.9062634,0,0,0,0.8541871,0.2963565,-2.729913,-0.1314784,0.1104575,1.18634,0.7846832,-0.02496774,0.619394,0.3021781,0.8878403,-0.3470275,-0.5412583,0.4594739,0.704218,moving,-45.84967,43.01237,-6.324105,5.319347
2,05/16/2023 17:08:15.985164,184,True,True,True,True,Eyes,1.565522,-0.3446814,-3.435937,-0.6016969,0.544835,0.5840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8967853,-1.359475,3.434352,1.566057,-0.3501233,-3.445585,-0.2196364,-0.3158225,-0.08904568,0.9187421,332.6243,322.4498,358.394,0.4128378,-0.0908721,-0.9062597,0,0,0,0.8582042,0.2933076,-2.729658,-0.1279641,0.1084632,1.182992,0.7846541,-0.02488785,0.6194341,0.3023522,0.8876615,-0.347333,-0.5412034,0.4598235,0.7040321,moving,-45.85259,43.01041,-6.173676,5.238547
3,05/16/2023 17:08:15.995390,185,True,True,True,True,Eyes,1.565533,-0.3446946,-3.435935,-0.6017395,0.5448058,0.5840344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8969719,-1.359019,3.434576,1.566085,-0.3501378,-3.445662,-0.2195749,-0.3158507,-0.08901445,0.9187502,332.6323,322.4464,358.396,0.4128446,-0.09087583,-0.9062563,0,0,0,0.8621435,0.2903179,-2.729408,-0.1245585,0.1070585,1.179729,0.7846295,-0.02485831,0.6194665,0.3022698,0.8877266,-0.3472383,-0.5412851,0.4596994,0.7040504,moving,-45.85543,43.0097,-6.027092,5.185296
4,05/16/2023 17:08:16.015095,186,True,True,True,True,Eyes,1.565549,-0.3447096,-3.43593,-0.6017486,0.5447829,0.5840464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896546,-1.360936,3.433934,1.566069,-0.3501269,-3.445677,-0.2198375,-0.3157864,-0.08898523,0.9187123,332.6042,322.4495,358.4084,0.4128509,-0.09087953,-0.906253,0,0,0,0.8662874,0.2871729,-2.729145,-0.1210597,0.104868,1.17627,0.7847212,-0.02466026,0.6193582,0.302347,0.8875062,-0.3477342,-0.5411089,0.4601355,0.7039009,moving,-45.85528,43.00792,-5.876095,5.094621
5,05/16/2023 17:08:16.035049,187,True,True,True,True,Eyes,1.565565,-0.3447251,-3.435927,-0.6017548,0.5447617,0.58406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960214,-1.361505,3.433915,1.566088,-0.350188,-3.44573,-0.2199233,-0.3157253,-0.08890627,0.9187204,332.5977,322.454,358.4193,0.4128569,-0.09088324,-0.9062499,0,0,0,0.8702417,0.2841717,-2.728894,-0.1177663,0.1032343,1.173006,0.7848265,-0.02448931,0.6192315,0.3022307,0.8874589,-0.3479561,-0.5410213,0.4602359,0.7039026,moving,-45.85491,43.00614,-5.733112,5.029545
6,05/16/2023 17:08:16.045496,188,True,True,True,True,Eyes,1.565577,-0.3447411,-3.43593,-0.6017312,0.544745,0.5840997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8955066,-1.361711,3.43399,1.566105,-0.350218,-3.445741,-0.2199536,-0.3156649,-0.08886486,0.9187379,332.596,322.4604,358.4235,0.4128627,-0.09088698,-0.9062469,0,0,0,0.8744394,0.2809858,-2.728627,-0.1143381,0.1015767,1.169479,0.7849174,-0.02442377,0.619119,0.3021502,0.887447,-0.3480563,-0.5409343,0.4602623,0.7039521,moving,-45.85184,43.00331,-5.58397,4.964046
7,05/16/2023 17:08:16.065044,189,True,True,True,True,Eyes,1.565589,-0.3447545,-3.435934,-0.6016977,0.5447308,0.5841474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8950996,-1.362238,3.43398,1.56614,-0.350238,-3.445817,-0.2200129,-0.3155966,-0.08893224,0.9187406,332.5869,322.4702,358.4159,0.4128681,-0.09089074,-0.906244,0,0,0,0.87845,0.2779419,-2.728373,-0.1111149,0.09978378,1.166169,0.7849796,-0.02454067,0.6190353,0.302282,0.8873708,-0.3481361,-0.5407704,0.460403,0.7039862,moving,-45.84791,43.00024,-5.442824,4.890626
8,05/16/2023 17:08:16.085120,190,True,True,True,True,Eyes,1.565605,-0.344769,-3.43594,-0.6016713,0.544715,0.5841894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8940731,-1.36225,3.434249,1.566142,-0.3501886,-3.445828,-0.2199875,-0.3154482,-0.08903371,0.9187879,332.5861,322.4929,358.398,0.4128732,-0.09089447,-0.9062413,0,0,0,0.8824252,0.2749249,-2.72812,-0.1081798,0.09813169,1.162758,0.7851309,-0.02481685,0.6188325,0.3023955,0.887357,-0.3480726,-0.5404872,0.4604147,0.7041959,moving,-45.84459,42.99735,-5.31534,4.824081
9,05/16/2023 17:08:16.095079,191,True,True,True,True,Eyes,1.565621,-0.3447816,-3.435948,-0.6016448,0.5446931,0.5842371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8937294,-1.36208,3.434554,1.566204,-0.3502259,-3.445942,-0.2199576,-0.3154035,-0.08902579,0.9188111,332.5898,322.4991,358.3963,0.4128781,-0.09089816,-0.9062387,0,0,0,0.8865069,0.271827,-2.727861,-0.1048287,0.09657523,1.159424,0.7851901,-0.02484492,0.6187562,0.3023466,0.8873861,-0.348041,-0.5404286,0.4603571,0.7042785,moving,-45.84099,42.99387,-5.166321,4.761511
10,05/16/2023 17:08:16.114917,192,True,True,True,True,Eyes,1.565637,-0.3447934,-3.435955,-0.6016043,0.5446754,0.5842953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928106,-1.361749,3.434953,1.566229,-0.3501919,-3.445963,-0.2199092,-0.3153068,-0.08890443,0.9188676,332.6,322.5097,358.4054,0.4128828,-0.09090178,-0.9062362,0,0,0,0.89039,0.26888,-2.727614,-0.1017319,0.09522864,1.156121,0.7853552,-0.02470506,0.6185522,0.3020605,0.8874719,-0.3480705,-0.5403486,0.4601992,0.7044432,moving,-45.83621,42.9901,-5.028744,4.708773
11,05/16/2023 17:08:16.134881,193,True,True,True,True,Eyes,1.565653,-0.344806,-3.435964,-0.6015514,0.5446887,0.5843374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8925031,-1.363345,3.434423,1.566223,-0.3501849,-3.445991,-0.2201184,-0.315245,-0.08896982,0.9188324,332.5743,322.5159,358.4045,0.4128872,-0.09090532,-0.9062339,0,0,0,0.8945006,0.2657602,-2.727354,-0.09833556,0.0930787,1.152695,0.78541,-0.02471428,0.6184823,0.3022791,0.8872645,-0.3484093,-0.5401468,0.4605984,0.7043371,moving,-45.83163,42.98874,-4.876057,4.616549
12,05/16/2023 17:08:16.145043,194,True,True,True,True,Eyes,1.565678,-0.3448262,-3.435959,-0.6015067,0.5447019,0.584371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8921745,-1.366602,3.433262,1.566239,-0.3502234,-3.446028,-0.2205582,-0.3151668,-0.08907063,0.918744,332.5214,322.521,358.4084,0.4128915,-0.0909088,-0.9062316,0,0,0,0.8985298,0.2627022,-2.727098,-0.09498054,0.09045839,1.149422,0.7854727,-0.02464098,0.6184056,0.3026914,0.886841,-0.3491288,-0.5398245,0.4614172,0.704048,moving,-45.82785,42.98779,-4.723808,4.499849
13,05/16/2023 17:08:16.165080,195,True,True,True,True,Eyes,1.565708,-0.3448428,-3.435958,-0.601488,0.5446688,0.5844212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8908155,-1.367911,3.432932,1.56621,-0.35044,-3.445858,-0.2208005,-0.3150497,-0.08870839,0.918761,332.5082,322.5229,358.4576,0.4128959,-0.09091245,-0.9062292,0,0,0,0.9025425,0.2596567,-2.726843,-0.09163183,0.08895975,1.146012,0.7857489,-0.02387729,0.6180845,0.3021299,0.8867559,-0.3498307,-0.539737,0.4616209,0.7039816,moving,-45.8245,42.9836,-4.57148,4.438712
14,05/16/2023 17:08:16.185289,196,True,True,True,True,Eyes,1.565734,-0.3448478,-3.435962,-0.60142,0.5446687,0.5844912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.890409,-1.364088,3.434741,1.566395,-0.3503607,-3.445963,-0.2202935,-0.3151029,-0.08823985,0.9189097,332.5826,322.5129,358.4934,0.4129005,-0.09091614,-0.9062267,0,0,0,0.9064272,0.2567084,-2.726596,-0.08824882,0.08880538,1.142762,0.7858478,-0.02333866,0.6179795,0.3009991,0.887369,-0.3492504,-0.5402248,0.4604689,0.7043619,moving,-45.81784,42.98017,-4.415854,4.443592
15,05/16/2023 17:08:16.195320,197,True,True,True,True,Eyes,1.565761,-0.3448553,-3.435967,-0.6013307,0.5447024,0.5845518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899392,-1.367569,3.433509,1.566448,-0.3500853,-3.445998,-0.2206962,-0.3149694,-0.08860295,0.9188237,332.524,322.5327,358.4631,0.4129052,-0.09091955,-0.9062243,0,0,0,0.9106392,0.2535116,-2.726329,-0.0850631,0.0856657,1.139194,0.7858875,-0.02379589,0.6179114,0.3018461,0.8868855,-0.3497473,-0.539694,0.4613762,0.7041749,moving,-45.81062,42.97897,-4.270325,4.300464
16,05/16/2023 17:08:16.215015,198,True,True,True,True,Eyes,1.565785,-0.3448685,-3.435971,-0.6012055,0.5447105,0.5846729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8892246,-1.370553,3.432538,1.566465,-0.3501581,-3.446017,-0.2210767,-0.31481,-0.08892681,0.9187557,332.4695,322.5554,358.4356,0.41291,-0.09092279,-0.9062218,0,0,0,0.9146343,0.2504795,-2.726075,-0.08209246,0.08302993,1.135928,0.7859734,-0.02420967,0.6177862,0.3025983,0.8864343,-0.3502408,-0.5391476,0.462221,0.7040395,moving,-45.79872,42.97348,-4.133529,4.180565
17,05/16/2023 17:08:16.235629,199,True,True,True,True,Eyes,1.565811,-0.3448879,-3.435974,-0.6010969,0.5446753,0.5848173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888841,-1.37116,3.432379,1.566411,-0.3503036,-3.446011,-0.2211572,-0.3147216,-0.08912025,0.9187478,332.4533,322.5707,358.4132,0.4129147,-0.09092601,-0.9062193,0,0,0,0.9186032,0.2474672,-2.725823,-0.07899022,0.08127156,1.132612,0.7860157,-0.02455213,0.6177187,0.302964,0.8862941,-0.3502792,-0.5388803,0.4624715,0.7040796,moving,-45.78648,42.96457,-3.989441,4.104273
18,05/16/2023 17:08:16.245267,200,True,True,True,True,Eyes,1.565815,-0.3449044,-3.435997,-0.6009187,0.5445413,0.5851251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8885002,-1.36615,3.434511,1.566477,-0.3504618,-3.44601,-0.2204819,-0.314721,-0.08907302,0.9189149,332.5306,322.5816,358.3905,0.4129195,-0.09092939,-0.9062168,0,0,0,0.9226397,0.2444037,-2.725567,-0.07589692,0.08130479,1.129185,0.7860334,-0.02492048,0.6176815,0.3024816,0.8869075,-0.3491419,-0.5391256,0.4612744,0.7046769,moving,-45.76291,42.9425,-3.845287,4.118363
19,05/16/2023 17:08:16.264762,201,True,True,True,True,Eyes,1.565822,-0.34492,-3.436022,-0.600733,0.5444149,0.5854335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867368,-1.361301,3.436967,1.566553,-0.350367,-3.446062,-0.2197868,-0.3145421,-0.08897217,0.9191524,332.6125,322.615,358.3676,0.4129237,-0.0909328,-0.9062145,0,0,0,0.9266009,0.2413973,-2.725315,-0.07321721,0.08120576,1.125719,0.7862945,-0.02529357,0.6173339,0.3018223,0.8875554,-0.3480642,-0.5391142,0.4600061,0.7055141,moving,-45.73898,42.92082,-3.721298,4.125986
20,05/16/2023 17:08:16.285137,202,True,True,True,True,Eyes,1.565794,-0.344941,-3.436072,-0.6004558,0.5442275,0.5858919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848505,-1.36167,3.437413,1.566622,-0.35036,-3.446137,-0.219811,-0.314296,-0.08898636,0.9192295,332.6097,322.6475,358.359,0.4129273,-0.09093622,-0.9062125,0,0,0,0.9304549,0.2384723,-2.72507,-0.07052466,0.07957116,1.122526,0.7865989,-0.02542632,0.6169406,0.3017692,0.8875291,-0.3481773,-0.5386999,0.4600495,0.7058023,moving,-45.70334,42.88861,-3.594983,4.054676
21,05/16/2023 17:08:16.295434,203,True,True,True,True,Eyes,1.565767,-0.3449607,-3.436121,-0.6001882,0.5440305,0.5863488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8832163,-1.362235,3.437626,1.566611,-0.3504739,-3.446147,-0.2198933,-0.3140889,-0.08892936,0.9192861,332.603,322.6721,358.3625,0.4129294,-0.09093976,-0.9062111,0,0,0,0.9345093,0.2353952,-2.724813,-0.06748849,0.07794958,1.119146,0.7868795,-0.02537096,0.6165849,0.3016351,0.887477,-0.3484262,-0.5383651,0.4601531,0.7059903,moving,-45.66825,42.85601,-3.450961,3.984272
22,05/16/2023 17:08:16.315073,204,True,True,True,True,Eyes,1.565717,-0.3449785,-3.436189,-0.5996293,0.5437475,0.5871826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8819449,-1.360638,3.438605,1.566638,-0.3504608,-3.446156,-0.2196679,-0.3139527,-0.08882487,0.9193965,332.6324,322.6914,358.3611,0.4129303,-0.09094339,-0.9062104,0,0,0,0.9385276,0.2323454,-2.724558,-0.06444699,0.07691467,1.115715,0.7870877,-0.02539991,0.616318,0.3012612,0.8877124,-0.3481501,-0.5382701,0.4596973,0.7063594,moving,-45.60087,42.80055,-3.305899,3.943592
23,05/16/2023 17:08:16.335055,205,True,True,True,True,Eyes,1.565671,-0.3449957,-3.436253,-0.599085,0.5434961,0.5879704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8810868,-1.360754,3.438809,1.56669,-0.3503972,-3.446168,-0.2196683,-0.3138505,-0.0887959,0.9194342,332.6336,322.7042,358.3612,0.4129292,-0.09094702,-0.9062105,0,0,0,0.942638,0.2292258,-2.724297,-0.06121674,0.07524008,1.112247,0.7872263,-0.02539793,0.616141,0.30117,0.8877222,-0.3482038,-0.5381184,0.4596784,0.7064874,moving,-45.53645,42.74905,-3.150313,3.869987
24,05/16/2023 17:08:16.345687,206,True,True,True,True,Eyes,1.565599,-0.3450164,-3.436337,-0.5982838,0.5431393,0.5891148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8807788,-1.363252,3.437889,1.566725,-0.3504043,-3.446143,-0.2200154,-0.313806,-0.08876786,0.9193691,332.596,322.7032,358.3775,0.4129266,-0.09095065,-0.9062114,0,0,0,0.94679,0.2260746,-2.724033,-0.0576922,0.07289374,1.108804,0.7872921,-0.02513655,0.6160675,0.3013051,0.8874271,-0.3488388,-0.5379465,0.4602623,0.7062381,moving,-45.44242,42.67477,-2.978471,3.761261
