Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 13:32:24.805228,0,True,True,True,True,Eyes,1.14659,-0.2858979,-3.02828,-0.2639502,0.1079952,0.9584714,2.017743,0.6140062,-0.06799118,-1.09433,0.229534,0.2929195,-0.9281768,-0.5758616,0.4038479,1.900789,1.150972,-0.2876727,-3.036267,0.04765249,0.01023108,0.0007476569,0.9988114,5.461473,1.180527,0.1420861,0.3525867,-0.08781645,-0.9316492,0,0,0,0.6105616,-0.07238697,-1.080402,-0.5796,0.4008,1.915,0.9997895,0.002468609,-0.02036658,-0.0005184633,0.9954574,0.09520698,0.02050909,-0.09517639,0.9952492,start,-15.39684,6.428657,-16.83913,11.82109
05/18/2023 13:32:24.815428,1,True,True,True,True,Eyes,1.146661,-0.2859304,-3.028217,-0.2642306,0.1078807,0.958407,2.017584,0.6135536,-0.06827204,-1.094551,0.1989863,0.2736681,-0.9410155,-0.5764317,0.4031658,1.900641,1.151037,-0.287575,-3.036269,0.0475968,0.01023505,0.0006829202,0.998814,5.45516,1.180614,0.1345977,0.3526004,-0.08782983,-0.9316428,0,0,0,0.6106814,-0.07199956,-1.080421,-0.5796001,0.4008,1.915,0.9997896,0.002338531,-0.02038081,-0.0003899094,0.9954682,0.09509469,0.02051083,-0.09506673,0.9952596,start,-15.41341,6.422323,-16.83913,11.82109
05/18/2023 13:32:24.835229,2,True,True,True,True,Eyes,1.146713,-0.2859532,-3.02816,-0.2645167,0.1079047,0.9583254,2.017261,0.613114,-0.06828116,-1.094968,0.1208897,0.166436,-0.9786136,-0.5774812,0.4018955,1.900196,1.15115,-0.28746,-3.03616,0.04738688,0.0103246,0.0004214999,0.9988232,5.431379,1.189433,0.1047779,0.3526153,-0.08784296,-0.9316359,0,0,0,0.6113012,-0.07077681,-1.080294,-0.5796,0.4008,1.915,0.9997864,0.001820508,-0.02058494,0.0001364932,0.9955086,0.09467093,0.02066484,-0.09465352,0.9952958,start,-15.43055,6.424285,-16.83913,11.82109
05/18/2023 13:32:24.847219,3,True,True,True,True,Eyes,1.146765,-0.2859709,-3.028103,-0.2647949,0.1079979,0.958238,2.016921,0.6126945,-0.06814763,-1.095412,0.07381464,0.003734657,-0.997265,-0.578182,0.3994522,1.9001,1.151152,-0.2872074,-3.036112,0.0469302,0.01032128,-5.857623E-05,0.9988449,5.379563,1.18636,0.04901712,0.3526306,-0.08785556,-0.9316289,0,0,0,0.6115853,-0.06820387,-1.080426,-0.5796,0.4008,1.915,0.999787,0.000851742,-0.02062421,0.001085776,0.9955951,0.09375077,0.02061321,-0.09375318,0.995382,start,-15.44735,6.430368,-16.83913,11.82109
05/18/2023 13:32:24.855317,4,True,True,True,True,Eyes,1.146799,-0.285994,-3.028041,-0.2650577,0.1081994,0.9581426,2.016956,0.6121897,-0.06776054,-1.09551,0.07583404,-0.2815682,-0.9565399,-0.5781704,0.3952784,1.901118,1.151141,-0.2871848,-3.036169,0.04589017,0.01010556,-0.0005728821,0.9988953,5.26087,1.158679,359.9875,0.3526463,-0.08786754,-0.9316218,0,0,0,0.6110514,-0.06353473,-1.081153,-0.5796,0.4008,1.915,0.9997951,-0.0002170067,-0.02024137,0.00207199,0.9957875,0.09166735,0.02013621,-0.09169052,0.995584,start,-15.46341,6.442901,-16.83913,11.82109
05/18/2023 13:32:24.875182,5,True,True,True,True,Eyes,1.146835,-0.2860227,-3.02798,-0.265316,0.1084275,0.9580454,2.018098,0.6114008,-0.06720543,-1.09455,0.04225374,-0.4963035,-0.8671202,-0.5787004,0.392225,1.902739,1.151212,-0.2873629,-3.036015,0.04497828,0.009960154,-0.0009127359,0.9989379,5.156657,1.140122,359.9466,0.352662,-0.08787916,-0.9316148,0,0,0,0.6107678,-0.05976631,-1.081553,-0.5796001,0.4008,1.915,0.9998,-0.0009275519,-0.01998126,0.002719515,0.9959522,0.08984284,0.01981705,-0.0898792,0.9957555,start,-15.47926,6.457016,-16.83913,11.82109
05/18/2023 13:32:24.895309,6,True,True,True,True,Eyes,1.146838,-0.2860551,-3.027917,-0.2655347,0.1086834,0.9579557,2.018621,0.6108245,-0.06666456,-1.094167,0.02095144,-0.5653271,-0.8246007,-0.5790289,0.3912435,1.903432,1.151265,-0.2875353,-3.035955,0.04459156,0.009844366,-0.001133986,0.9989563,5.112544,1.12566,359.9202,0.3526776,-0.08789061,-0.9316078,0,0,0,0.6105099,-0.05817601,-1.081786,-0.5796,0.4008,1.915,0.9998036,-0.001387654,-0.01976931,0.003143556,0.9960206,0.0890677,0.01956705,-0.08911235,0.9958294,start,-15.49278,6.472727,-16.83913,11.82109
05/18/2023 13:32:24.905409,7,True,True,True,True,Eyes,1.146843,-0.2860922,-3.027862,-0.265747,0.1088812,0.9578744,2.018504,0.6104317,-0.06631505,-1.094389,-0.005208362,-0.542493,-0.8400441,-0.5793519,0.3902236,1.903393,1.151267,-0.2876724,-3.035864,0.04429238,0.009779193,-0.00143375,0.9989699,5.078557,1.116635,359.8851,0.3526925,-0.08790205,-0.9316011,0,0,0,0.6104484,-0.05680713,-1.081889,-0.5796001,0.4008,1.915,0.9998046,-0.001998258,-0.01966524,0.003730832,0.9960723,0.08846544,0.01941122,-0.08852152,0.9958851,start,-15.50583,6.484955,-16.83914,11.82109
05/18/2023 13:32:24.925282,8,True,True,True,True,Eyes,1.146815,-0.2861233,-3.027811,-0.2658843,0.1090187,0.9578207,2.01774,0.6103299,-0.06615189,-1.095177,-0.0009606167,-0.4501335,-0.8929607,-0.5793362,0.3928639,1.902256,1.151291,-0.2878121,-3.035996,0.04496517,0.009720624,-0.001590878,0.9989401,5.155895,1.10908,359.8674,0.3527064,-0.08791362,-0.9315947,0,0,0,0.610344,-0.0593926,-1.081769,-0.5796,0.4008,1.915,0.9998059,-0.002304204,-0.01956371,0.004052563,0.9959512,0.08980409,0.01927757,-0.08986595,0.9957673,start,-15.51428,6.493434,-16.83913,11.82109
05/18/2023 13:32:24.950382,9,True,True,True,True,Eyes,1.146789,-0.2861522,-3.027769,-0.2660216,0.1091396,0.9577688,2.017414,0.6101127,-0.0659723,-1.095552,-0.04761795,-0.3499076,-0.9355732,-0.5800221,0.3943008,1.901497,1.15128,-0.2877037,-3.036058,0.04540281,0.009808296,-0.001832752,0.9989191,5.206376,1.11788,359.8406,0.3527187,-0.08792514,-0.931589,0,0,0,0.6108266,-0.06072643,-1.081526,-0.5796,0.4008,1.915,0.9998009,-0.002770894,-0.01976181,0.00455219,0.9958704,0.09067151,0.01942896,-0.09074342,0.9956847,start,-15.52271,6.500926,-16.83913,11.82109
05/18/2023 13:32:24.965346,10,True,True,True,True,Eyes,1.146748,-0.2861755,-3.027728,-0.2661327,0.1092338,0.9577273,2.016987,0.609962,-0.06585243,-1.096005,-0.03895396,-0.3057871,-0.9513027,-0.579892,0.3949276,1.901189,1.151287,-0.2876769,-3.036243,0.04553781,0.009740259,-0.001797298,0.9989136,5.221812,1.110237,359.8445,0.3527295,-0.08793652,-0.9315839,0,0,0,0.6105466,-0.06126216,-1.081726,-0.5796001,0.4008,1.915,0.9998038,-0.00270359,-0.01962304,0.004477791,0.9958462,0.09094165,0.01929566,-0.09101168,0.9956629,start,-15.52952,6.506764,-16.83913,11.82109
05/18/2023 13:32:24.975464,11,True,True,True,True,Eyes,1.146709,-0.2861974,-3.027694,-0.266248,0.1093243,0.9576848,2.017063,0.6096696,-0.06568339,-1.095983,-0.07587771,-0.2588696,-0.9629273,-0.5804409,0.3956096,1.900952,1.151236,-0.2875738,-3.036217,0.04572329,0.009808003,-0.001874172,0.9989043,5.243182,1.11761,359.8362,0.3527385,-0.08794761,-0.9315794,0,0,0,0.6108072,-0.06180082,-1.081539,-0.5796001,0.4008,1.915,0.9998006,-0.002847329,-0.0197659,0.004641145,0.9958117,0.09130961,0.01942312,-0.09138313,0.9956263,start,-15.53658,6.512396,-16.83913,11.82109
