Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 13:10:20.254697,181,True,True,True,True,Eyes,-0.1321999,0.1597425,-2.393158,0.9694942,-0.07117746,-0.2345524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.338619,-0.1702302,-0.6865959,-0.160215,0.1633677,-2.432524,0.04511515,0.8206791,-0.03794888,0.5683398,6.521106,110.6945,1.783088,-0.03936704,0.06920318,-0.996825,-0.4960062,-0.02632815,-0.7375242,0.7504601,0.1238928,-2.562945,-0.1977642,0.06895319,0.8966781,-0.3499087,0.0309144,-0.9362735,0.1171858,0.993049,-0.01100624,0.9294251,-0.1135692,-0.3510992,moving,-76.3996,16.88099,-12.43758,4.397305
05/18/2023 13:10:20.274703,182,True,True,True,True,Eyes,-0.1332438,0.1601186,-2.395621,0.9704682,-0.07088685,-0.2305787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.359685,-0.1779676,-0.6567259,-0.1651644,0.167677,-2.44452,0.05197923,0.8170869,-0.04502964,0.5723982,7.648296,110.1039,1.930835,-0.04565509,0.06813879,-0.9966301,-0.4662458,-0.02474846,-0.6932728,0.7530359,0.1214991,-2.56301,-0.2017137,0.08125498,0.9010956,-0.3393172,0.03339333,-0.9400791,0.1364928,0.990541,-0.01408063,0.9307167,-0.1330919,-0.3406655,moving,-76.63461,17.08901,-12.61786,5.152627
05/18/2023 13:10:20.289605,183,True,True,True,True,Eyes,-0.1344855,0.1605177,-2.398445,0.9715017,-0.07077553,-0.2262194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.38309,-0.1278444,-0.6305025,-0.1685314,0.1707304,-2.456714,0.05087601,0.8134481,-0.03074963,0.5785919,6.25187,109.3014,2.720814,-0.05031212,0.06736162,-0.9964588,-0.4382711,-0.02326356,-0.6516764,0.7556592,0.1190611,-2.563076,-0.2026122,0.05713567,0.9076316,-0.3252865,0.04718702,-0.9444376,0.1183529,0.9929322,0.008846434,0.93818,-0.1088993,-0.3285721,moving,-76.89194,17.37293,-12.58392,3.602033
05/18/2023 13:10:20.309306,184,True,True,True,True,Eyes,-0.1358471,0.1610449,-2.401701,0.9725841,-0.07117669,-0.2213912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.405106,-0.1173676,-0.595432,-0.174482,0.1717345,-2.468382,0.05357927,0.8092902,-0.03075049,0.5841516,6.451895,108.5211,2.93025,-0.05368529,0.06681474,-0.9963197,-0.4119748,-0.02186774,-0.6125758,0.7581392,0.1167564,-2.563139,-0.2036726,0.05861063,0.9148039,-0.3117925,0.05079645,-0.9487915,0.1226482,0.9923673,0.01282469,0.9422011,-0.112369,-0.3156427,moving,-77.17616,17.82246,-12.55166,3.665877
05/18/2023 13:10:20.324477,185,True,True,True,True,Eyes,-0.137311,0.1616487,-2.405343,0.973699,-0.07099582,-0.2164947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.42619,-0.1175126,-0.5659752,-0.1784786,0.1754286,-2.481513,0.05946781,0.8055683,-0.03551735,0.5884402,7.308387,107.9057,3.121498,-0.05605686,0.0664548,-0.9962131,-0.3872563,-0.02055568,-0.5758213,0.7606143,0.1144562,-2.563202,-0.2076092,0.06779899,0.9190148,-0.3004034,0.05401108,-0.9522818,0.1376104,0.9904041,0.01276321,0.9438333,-0.1272098,-0.3049533,moving,-77.46462,18.15604,-12.72968,4.21927
05/18/2023 13:10:20.343056,186,True,True,True,True,Eyes,-0.1389472,0.1622712,-2.409335,0.9747957,-0.07100199,-0.2114996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.443357,-0.108824,-0.5525882,-0.1824055,0.1777341,-2.494459,0.05529935,0.8039715,-0.02947154,0.5913574,6.476281,107.5042,3.118943,-0.05765555,0.06624461,-0.9961359,-0.3640209,-0.01932234,-0.541272,0.7632748,0.1119836,-2.563269,-0.2163827,0.05057752,0.9241158,-0.2944773,0.05406175,-0.9541283,0.1237746,0.9921468,0.01801478,0.9476093,-0.1127919,-0.2988561,moving,-77.75838,18.55729,-13.17845,3.132714
05/18/2023 13:10:20.359013,187,True,True,True,True,Eyes,-0.1406509,0.1628954,-2.413613,0.9758645,-0.07086876,-0.2065577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.457647,-0.1285301,-0.5403261,-0.1879643,0.1788146,-2.506232,0.05557739,0.802867,-0.03501144,0.5925285,7.012243,107.3132,2.757669,-0.05867064,0.06615148,-0.9960828,-0.3421797,-0.018163,-0.5087957,0.7658273,0.1096116,-2.563334,-0.2269195,0.05553551,0.929081,-0.2916425,0.04775196,-0.9553346,0.130733,0.9913707,0.009643303,0.9475513,-0.1220814,-0.2953686,moving,-78.04881,18.9368,-13.72526,3.420766
05/18/2023 13:10:20.374532,188,True,True,True,True,Eyes,-0.142452,0.1634177,-2.418151,0.976967,-0.07037462,-0.2014518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.470564,-0.1430312,-0.5310593,-0.1912898,0.1794354,-2.517415,0.05229149,0.8019191,-0.0360833,0.594045,6.892032,107.082,2.366718,-0.05925148,0.06614818,-0.9960487,-0.3216489,-0.01707322,-0.4782679,0.7683855,0.1072341,-2.563398,-0.2360844,0.04981251,0.9327846,-0.2887523,0.04099688,-0.9565257,0.1267373,0.9919271,0.004255227,0.9489782,-0.1199988,-0.2916171,moving,-78.34884,19.25621,-14.2031,3.056803
05/18/2023 13:10:20.385241,189,True,True,True,True,Eyes,-0.1443306,0.1638522,-2.422916,0.9780356,-0.07023718,-0.1962479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.484653,-0.1498271,-0.5154679,-0.1954346,0.1774206,-2.528237,0.04795649,0.8002488,-0.03497249,0.5967237,6.500213,106.6929,2.019691,-0.0595185,0.06620844,-0.9960284,-0.30235,-0.01604882,-0.4495718,0.7709528,0.1048482,-2.563463,-0.2425017,0.04240377,0.9379805,-0.2832423,0.03501641,-0.958409,0.1184921,0.9929542,0.001260163,0.9517004,-0.1132069,-0.2853958,moving,-78.65398,19.69231,-14.49562,2.588438
05/18/2023 13:10:20.409262,190,True,True,True,True,Eyes,-0.1462241,0.1642633,-2.427887,0.9791595,-0.06996389,-0.1906619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.498909,-0.1626873,-0.4936798,-0.1991537,0.1758172,-2.538534,0.04900684,0.7977862,-0.04015174,0.5996027,7.055706,106.2511,1.734782,-0.0595671,0.06631125,-0.9960186,-0.284209,-0.01508589,-0.4225975,0.7734911,0.1024893,-2.563527,-0.2467895,0.05028104,0.9426592,-0.27615,0.03004378,-0.960645,0.1263442,0.9919723,-0.005295746,0.9527741,-0.1228343,-0.2777291,moving,-78.98125,20.15075,-14.67085,3.053239
