Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/19/2023 16:21:23.441492,213,True,True,True,True,Eyes,1.487382,-0.3064051,-3.029214,0.3082545,-0.0226486,0.9510342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.527693,0.3524949,3.009611,1.480132,-0.3056893,-3.038358,0.01116928,0.007112183,-0.006899049,0.9998886,1.285494,0.8063047,359.2184,0.4381354,-0.09051511,-0.8943399,0,0,0,2.185216,-0.3570814,-1.026725,0.6767253,0.003199995,2.022,0.9998037,-0.01363768,-0.0143769,0.01395543,0.9996552,0.02223794,0.01406866,-0.02243421,0.9996493,static,17.95883,-1.364224,18.50442,0.09067557
05/19/2023 16:21:23.461503,214,True,True,True,True,Eyes,1.487328,-0.3063918,-3.029229,0.3084035,-0.02267644,0.9509853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.527255,0.3562936,3.009497,1.48019,-0.3057176,-3.038437,0.01177199,0.00703035,-0.006858356,0.9998826,1.354463,0.7965205,359.2234,0.438216,-0.09050594,-0.8943012,0,0,0,2.18493,-0.3594835,-1.026746,0.6767254,0.00319998,2.022,0.9998071,-0.01354958,-0.01422052,0.01388062,0.9996288,0.02344478,0.01389757,-0.02363765,0.999624,static,17.96782,-1.365971,18.50442,0.09067515
05/19/2023 16:21:23.481288,215,True,True,True,True,Eyes,1.487274,-0.3063774,-3.029239,0.3086341,-0.02265043,0.9509112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.525896,0.3576909,3.009979,1.48023,-0.3055997,-3.038388,0.01186056,0.006832316,-0.006537258,0.999885,1.364211,0.7741937,359.26,0.4382872,-0.09049733,-0.8942671,0,0,0,2.18419,-0.3592773,-1.026421,0.6767253,0.003199976,2.022,0.9998211,-0.01291094,-0.01381813,0.01323508,0.9996332,0.02362906,0.01350799,-0.02380772,0.9996253,static,17.98171,-1.364511,18.50442,0.09067506
05/19/2023 16:21:23.501745,216,True,True,True,True,Eyes,1.487223,-0.3063577,-3.029248,0.308844,-0.02264849,0.950843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.524492,0.3537209,3.011094,1.480336,-0.3055739,-3.038275,0.01124998,0.006576222,-0.006627143,0.9998931,1.294119,0.7451668,359.2489,0.4383499,-0.09048919,-0.8942372,0,0,0,2.183276,-0.3569098,-1.02589,0.6767254,0.003199965,2.022,0.9998257,-0.01310491,-0.01330015,0.01340083,0.9996591,0.02241039,0.01300193,-0.02258472,0.9996604,static,17.99435,-1.364492,18.50443,0.09067474
05/19/2023 16:21:23.515832,217,True,True,True,True,Eyes,1.487191,-0.3063436,-3.029253,0.3091404,-0.02264775,0.9507467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.524192,0.3514675,3.011494,1.480377,-0.3054168,-3.038254,0.0112965,0.006435913,-0.00742051,0.9998881,1.299922,0.7280198,359.1578,0.438405,-0.09048133,-0.8942111,0,0,0,2.182704,-0.3580328,-1.025689,0.6767253,0.003199987,2.022,0.9998071,-0.01469395,-0.01303804,0.01498476,0.9996347,0.02249495,0.01270273,-0.02268598,0.9996619,static,18.01222,-1.364586,18.50442,0.09067537
05/19/2023 16:21:23.531257,218,True,True,True,True,Eyes,1.48716,-0.3063341,-3.029259,0.3094356,-0.0226587,0.9506504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.525075,0.3498189,3.011193,1.480441,-0.3055253,-3.038167,0.01116411,0.006539559,-0.007734807,0.9998865,1.285071,0.7396044,359.1219,0.4384538,-0.09047388,-0.8941879,0,0,0,2.183171,-0.3580422,-1.02574,0.6767254,0.00319998,2.022,0.9997948,-0.01532185,-0.01325034,0.01561388,0.9996311,0.02222451,0.01290493,-0.02242684,0.9996652,static,18.03001,-1.365383,18.50442,0.09067517
05/19/2023 16:21:23.551227,219,True,True,True,True,Eyes,1.487143,-0.3063274,-3.029265,0.309781,-0.0226898,0.9505372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.525803,0.3518005,3.010611,1.480448,-0.3056257,-3.038171,0.0113803,0.006677739,-0.007540094,0.9998846,1.30982,0.7555105,359.1445,0.4384969,-0.0904669,-0.8941674,0,0,0,2.18374,-0.3587483,-1.025955,0.6767254,0.003199961,2.022,0.9997971,-0.01492646,-0.01352555,0.01523044,0.9996273,0.02265728,0.01318232,-0.02285868,0.9996518,static,18.05084,-1.36742,18.50442,0.09067462
05/19/2023 16:21:23.561875,220,True,True,True,True,Eyes,1.487129,-0.3063191,-3.029268,0.3101195,-0.02273379,0.9504257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.525937,0.3546379,3.010244,1.480515,-0.3056774,-3.038167,0.01172522,0.006711277,-0.007305702,0.9998821,1.349197,0.7593817,359.1717,0.4385353,-0.09046044,-0.8941493,0,0,0,2.183945,-0.3598684,-1.026029,0.6767253,0.003199983,2.022,0.9998031,-0.0144523,-0.01359229,0.01476706,0.9996183,0.02334962,0.01324965,-0.02354574,0.999635,static,18.07126,-1.37023,18.50442,0.09067526
05/19/2023 16:21:23.581058,221,True,True,True,True,Eyes,1.487125,-0.3063096,-3.029269,0.3105,-0.02280828,0.9502997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.526572,0.3556775,3.009762,1.480587,-0.3056248,-3.0381,0.01190959,0.006803446,-0.007309502,0.9998792,1.370404,0.7697912,359.1715,0.4385695,-0.09045438,-0.8941332,0,0,0,2.184382,-0.3605659,-1.026109,0.6767253,0.003200006,2.022,0.9998006,-0.01445519,-0.01377936,0.01477929,0.9996095,0.02371685,0.01343114,-0.02391577,0.9996238,static,18.09423,-1.374901,18.50442,0.0906759
05/19/2023 16:21:23.601099,222,True,True,True,True,Eyes,1.487122,-0.3063008,-3.02927,0.3108838,-0.0228739,0.9501726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.528208,0.3562255,3.008853,1.480703,-0.3055782,-3.038034,0.01214214,0.007026472,-0.007571269,0.999873,1.397445,0.7947993,359.142,0.4386001,-0.09044867,-0.8941187,0,0,0,2.185372,-0.3618218,-1.026386,0.6767254,0.003199968,2.022,0.9997866,-0.01496998,-0.01423502,0.01531125,0.9995905,0.0241748,0.01386729,-0.0243876,0.9996064,static,18.1174,-1.379039,18.50443,0.09067485
05/19/2023 16:21:23.614170,223,True,True,True,True,Eyes,1.487118,-0.3062915,-3.029272,0.3113136,-0.02292531,0.9500307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.529837,0.3547338,3.008234,1.480718,-0.3055828,-3.038059,0.01199757,0.00727413,-0.007771381,0.9998715,1.381255,0.8230298,359.1193,0.4386276,-0.09044326,-0.8941057,0,0,0,2.186376,-0.3615234,-1.026749,0.6767253,0.003199995,2.022,0.9997734,-0.01536622,-0.01473286,0.0157153,0.9995913,0.023879,0.01435991,-0.02410512,0.9996063,static,18.14335,-1.382343,18.50442,0.09067559
