Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/11/2023 12:17:45.378467,182,True,True,True,True,Eyes,1.390674,-0.2565927,-3.496105,-0.570613,0.4085751,0.7123672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9108088,-1.24694,3.451778,1.389792,-0.2607408,-3.507092,-0.2006754,-0.3057069,-0.01383543,0.9306349,337.5442,322.4337,6.021297,0.3685618,-0.06805657,-0.9271085,0,0,0,0.685912,0.2795679,-2.694885,-0.0530076,0.09559801,1.197962,0.8127037,0.0969442,0.5745558,0.1484471,0.919076,-0.3650517,-0.5634501,0.3819701,0.7325454,moving,-0.8504501658508227,1.762585565667199,-2.5335795028327186,4.562565325441753,-0.70388,0.5403087,0.8122069999999999,-0.014835588160167723,0.030754682022886976,0.9994167752256629,-0.6736834767664487,1.44470562406107,3.261881256973065,3.2669268464653882,3.6304631034168
05/11/2023 12:17:45.387379,183,True,True,True,True,Eyes,1.390731,-0.2565883,-3.496103,-0.5711542,0.4095353,0.7113816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9118867,-1.245922,3.451825,1.389905,-0.2607452,-3.507012,-0.2005304,-0.3058462,-0.01396284,0.9306184,337.5563,322.4217,6.003979,0.368581,-0.06805477,-0.927101,0,0,0,0.6901295,0.2763703,-2.694817,-0.04976851,0.09348401,1.194413,0.8125262,0.09667479,0.5748522,0.1486511,0.9191852,-0.3646936,-0.5636523,0.3817755,0.7324913,moving,-0.8912596874492481,1.839718572297563,-2.3860063628886947,4.4752879408332875,-0.6997755,0.5371155000000001,0.812195,-0.015546773361499233,0.0320997502916785,0.9993637810184774,-0.709084546939387,1.518989210489107,3.025581754491218,3.029932923366634,3.3987893373731386
05/11/2023 12:17:45.412716,184,True,True,True,True,Eyes,1.390787,-0.2565834,-3.496102,-0.5717056,0.4105443,0.7103564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9116616,-1.244572,3.452302,1.390065,-0.2607509,-3.50688,-0.2003418,-0.3058238,-0.01407983,0.9306648,337.5725,322.4312,5.981872,0.3685996,-0.068053,-0.9270937,0,0,0,0.6939647,0.2734626,-2.694754,-0.04727763,0.09172714,1.19115,0.8125471,0.0963314,0.5748804,0.1487458,0.9193298,-0.3642903,-0.5635973,0.3815141,0.7326699,moving,-0.952813593548533,1.9263987289269007,-2.272919079991461,4.403497525149684,-0.6961003000000001,0.5342135,0.8121260000000001,-0.016619573437922086,0.033611025656405724,0.9992968623426556,-0.7643287846794525,1.6027014589005855,2.803096703655976,2.8069016622577077,3.1812424119871783
05/11/2023 12:17:45.427206,185,True,True,True,True,Eyes,1.390843,-0.2565781,-3.496098,-0.5722101,0.4115046,0.7093938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9100733,-1.242824,3.453334,1.390206,-0.2607526,-3.506808,-0.2001,-0.3056255,-0.01411303,0.9307813,337.5966,322.4626,5.962615,0.3686176,-0.06805124,-0.9270867,0,0,0,0.6979797,0.2704186,-2.694689,-0.04498577,0.0900628,1.187738,0.8127877,0.09603907,0.5745892,0.1485836,0.9195216,-0.3638721,-0.563293,0.3811253,0.733106,moving,-1.0294367243100415,2.019716837691625,-2.169050180089906,4.33627812532748,-0.6922263000000001,0.5311712,0.812119,-0.01795493591200442,0.03523772735806435,0.9992176543119345,-0.8340061060633622,1.6929789183693287,2.578407850076193,2.581700026720304,2.961312779342801
05/11/2023 12:17:45.437610,186,True,True,True,True,Eyes,1.39089,-0.2565735,-3.496102,-0.5726956,0.4125001,0.7084233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9072396,-1.241778,3.45439,1.390273,-0.2607339,-3.506717,-0.1999537,-0.305259,-0.01415677,0.9309325,337.6087,322.5135,5.94205,0.3686351,-0.06804949,-0.9270798,0,0,0,0.7019925,0.2673763,-2.694624,-0.04303235,0.088193,1.18427,0.813233,0.09571736,0.5740125,0.1484333,0.9196361,-0.3636438,-0.5626897,0.3809298,0.7336709,moving,-1.1242829681772297,2.1053093716823237,-2.08101848229302,4.258975108235389,-0.6882805000000001,0.5281102,0.812093,-0.01960794249900011,0.036729252464165446,0.9991329467826787,-0.9221187240013574,1.7761491533426401,2.353803005356921,2.3566117518108625,2.739976892613798
05/11/2023 12:17:45.457700,187,True,True,True,True,Eyes,1.390941,-0.2565701,-3.496103,-0.573132,0.4134426,0.7075202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904557,-1.241471,3.455217,1.390417,-0.2607443,-3.506672,-0.1999041,-0.3049098,-0.01427529,0.9310557,337.6075,322.5617,5.917548,0.368652,-0.06804775,-0.9270732,0,0,0,0.7058806,0.2644284,-2.694561,-0.0411818,0.08610663,1.181021,0.8136524,0.09532326,0.5734835,0.1484876,0.9196691,-0.3635383,-0.5620687,0.3809491,0.7341367,moving,-1.2138325884465697,2.1734760292504913,-1.9970751682591548,4.169978825208786,-0.6845364,0.5251726999999999,0.8121109999999998,-0.021168556337273103,0.03791671556812118,0.9990566156279241,-1.0060986520775717,1.8425957987493766,2.1422944881243673,2.1446427098938328,2.529574313491254
05/11/2023 12:17:45.477224,188,True,True,True,True,Eyes,1.390984,-0.2565647,-3.496112,-0.573541,0.4144119,0.7066211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901109,-1.239839,3.456704,1.39055,-0.2607639,-3.506618,-0.199678,-0.3044634,-0.01432934,0.9312496,337.6276,322.6248,5.890382,0.3686683,-0.06804606,-0.9270669,0,0,0,0.7098626,0.2614094,-2.694496,-0.03948522,0.08444658,1.177647,0.8141934,0.09490088,0.5727852,0.1482777,0.9198467,-0.3631746,-0.5613403,0.3806256,0.7348615,moving,-1.3134014222749553,2.265825281360107,-1.9203456272034536,4.101538927060886,-0.6806873999999999,0.5221733,0.812122,-0.022903258909231783,0.039525431420808665,0.998955985772224,-1.0984431369999115,1.932290276112528,1.9315322548296527,1.93344921239435,2.319733478881584
05/11/2023 12:17:45.488281,189,True,True,True,True,Eyes,1.391026,-0.2565625,-3.496117,-0.5739046,0.4153573,0.7057703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8987336,-1.239418,3.457504,1.390655,-0.2607178,-3.50661,-0.1996066,-0.3041521,-0.01441371,0.9313651,337.6303,322.6678,5.869826,0.3686839,-0.06804436,-0.9270608,0,0,0,0.7139732,0.2582929,-2.694429,-0.03730172,0.08224702,1.174203,0.8145674,0.09457271,0.5723075,0.1482704,0.9198989,-0.3630453,-0.5607992,0.3805812,0.7352973,moving,-1.3927216878883923,2.337117801394163,-1.819542791845699,4.006737255912296,-0.6766818,0.5190106999999999,0.8121809999999998,-0.024284978623343112,0.04076706111898523,0.9988734551821492,-1.1721500417929254,2.001569969056193,1.7218640159791196,1.7233123273767763,2.1070864294325373
05/11/2023 12:17:45.507308,190,True,True,True,True,Eyes,1.391056,-0.2565617,-3.496133,-0.5742439,0.4163324,0.7049193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8960259,-1.240392,3.457779,1.390671,-0.2607922,-3.506521,-0.1997424,-0.3037865,-0.01458678,0.9314526,337.6066,322.715,5.846636,0.3686988,-0.06804273,-0.927055,0,0,0,0.7179459,0.2552809,-2.694365,-0.0353142,0.07974637,1.170846,0.8150019,0.09418435,0.5717528,0.1485319,0.9197803,-0.3632387,-0.5600984,0.3809637,0.7356333,moving,-1.4772922301736096,2.3842348530071114,-1.7275896245782798,3.896400268123219,-0.6727251,0.5160731,0.8121560000000003,-0.02575845278371336,0.04158693531459723,0.9988027695249893,-1.2525359087777916,2.0478365130753575,1.5317168693000955,1.532740365593285,1.9086288244109961
05/11/2023 12:17:45.527274,191,True,True,True,True,Eyes,1.391086,-0.2565594,-3.496147,-0.5745535,0.4172657,0.7041149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894292,-1.239128,3.458728,1.390755,-0.2608206,-3.506532,-0.1995595,-0.3035422,-0.01474782,0.931569,337.6192,322.7535,5.814206,0.3687128,-0.06804119,-0.9270495,0,0,0,0.7218525,0.2523191,-2.694302,-0.03315145,0.07790822,1.167602,0.8152892,0.09367225,0.5714272,0.1486267,0.919917,-0.3628537,-0.559655,0.38076,0.7360763,moving,-1.5480773705305542,2.463379780725162,-1.626348709856481,3.817401140853007,-0.6689025,0.5131397,0.81223,-0.02699081514790369,0.04296518860508505,0.998712005348154,-1.317344513081666,2.1244891566376563,1.3556407337325136,1.356281772436072,1.7208819192275815
05/11/2023 12:17:45.537218,192,True,True,True,True,Eyes,1.391086,-0.256558,-3.496184,-0.5748525,0.4182104,0.7033098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8926134,-1.238687,3.459307,1.390772,-0.2607813,-3.506516,-0.19949,-0.3033167,-0.01480703,0.9316564,337.6233,322.785,5.798777,0.368726,-0.06803971,-0.9270444,0,0,0,0.7259222,0.2492336,-2.694235,-0.03069687,0.07575789,1.164156,0.8155594,0.09342721,0.5710816,0.1486074,0.919969,-0.3627299,-0.5592662,0.3806947,0.7364054,moving,-1.6122003995725624,2.5344077930572535,-1.5104450260694322,3.723294537287467,-0.6648497999999999,0.5100149,0.812281,-0.02810699425941965,0.04420186723757813,0.9986271586567546,-1.3760951212546266,2.193289403588186,1.19293320536866,1.1932333579996324,1.5358924461269747
05/11/2023 12:17:45.557524,193,True,True,True,True,Eyes,1.39109,-0.2565614,-3.496219,-0.5751474,0.4191212,0.7025261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8922497,-1.240731,3.458735,1.39078,-0.2607638,-3.50658,-0.1997534,-0.3032481,-0.01499604,0.9316192,337.5868,322.7918,5.786679,0.3687375,-0.06803828,-0.9270399,0,0,0,0.7299629,0.2461701,-2.69417,-0.02783453,0.07274863,1.160864,0.8156314,0.09320851,0.5710145,0.1490909,0.9197474,-0.3630932,-0.5590325,0.3812833,0.7362783,moving,-1.6571621080476575,2.560405900160604,-1.373542097147391,3.5859030846443054,-0.6608170999999999,0.5069338999999999,0.8124099999999999,-0.02889005692659441,0.04465399549778584,0.9985847077210186,-1.4187729657158932,2.218792814498654,1.0639254014933193,1.0639947302346313,1.367858297561987
05/11/2023 12:17:45.577156,194,True,True,True,True,Eyes,1.391078,-0.2565655,-3.496261,-0.57547,0.4200154,0.7017274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8924677,-1.241752,3.458357,1.390851,-0.2608863,-3.506587,-0.1999234,-0.3033184,-0.01474357,0.931564,337.5779,322.7739,5.824633,0.3687477,-0.06803701,-0.927036,0,0,0,0.7340957,0.2430368,-2.694103,-0.02440888,0.0703589,1.157519,0.8155611,0.09381175,0.5710161,0.1487501,0.9196265,-0.3635389,-0.5592258,0.3814269,0.7360572,moving,-1.6767959047412815,2.6119010377458305,-1.2080307683950464,3.478400089169612,-0.6567553,0.5039231,0.812484,-0.029231059108663027,0.0455510125197493,0.9985342515355853,-1.4349084166386903,2.2682720494593163,0.9851581456985189,0.9851707259008549,1.231212142470033
05/11/2023 12:17:45.597492,195,True,True,True,True,Eyes,1.391071,-0.2565665,-3.496294,-0.575778,0.4208491,0.7009748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8933791,-1.24285,3.457668,1.39092,-0.2608806,-3.506502,-0.2000789,-0.3034599,-0.01470937,0.9314849,337.5629,322.7517,5.838784,0.3687561,-0.06803592,-0.9270326,0,0,0,0.7381517,0.2399617,-2.694037,-0.02106959,0.06778601,1.154127,0.8153915,0.09402871,0.5712225,0.1488349,0.9195041,-0.3638135,-0.5594504,0.3816684,0.7357611,moving,-1.6922715792715457,2.652171456897075,-1.0458680019538835,3.3613246621744204,-0.6527683,0.5008423,0.812465,-0.029499810877811727,0.046252455669677256,0.9984940720868343,-1.4476465060810093,2.3069677993503084,0.9593892364845862,0.9595498180523009,1.1283148322001861
