Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/15/2023 09:32:10.008767,241,True,True,True,True,Eyes,2.119858,0.1007928,-3.359952,-0.8465933,-0.03574116,0.5310389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.202274,0.3236548,3.825601,1.978459,0.0992869,-3.501611,0.05632553,-0.3982011,-0.03315122,0.9149668,4.397199,312.7284,353.9248,0.551091,0.0259741,-0.8340406,0.0,0.0,0.0,0.802432,0.1497525,-2.597499,0.0560053,0.06785972,1.573522,0.6806737,-0.1055223,0.7249472,0.01580675,0.9914568,0.1294737,-0.7324163,-0.07667028,0.6765265,moving,-10.809519062030732,1.1630624217834717,2.038429292643538,2.4694080067412463,-1.176027,0.05046560000000001,0.904112,-0.18750722451937174,0.01993785532874787,0.9820608342226959,-10.301135155226575,2.088698204099413,12.909478695717114,12.914190478373623,12.345436027818849
05/15/2023 09:32:10.028704,242,True,True,True,True,Eyes,2.113307,0.1006851,-3.365576,-0.8427123,-0.03803637,0.5370188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.162242,0.3267419,3.836207,1.9702,0.09859872,-3.50466,0.05675966,-0.3924916,-0.03273654,0.9174187,4.499311,313.4385,353.976,0.5493353,0.02591348,-0.8351998,0.0,0.0,0.0,0.8050758,0.1473558,-2.597471,0.05436334,0.06534451,1.572831,0.6897573,-0.1046216,0.716442,0.01551085,0.9914133,0.1298424,-0.7238744,-0.0784471,0.6854573,moving,-11.103349277394315,1.1063436568076581,1.9795835967294506,2.3790304055769114,-1.1651242,0.04875708000000001,0.9071889999999998,-0.19254475693586165,0.018946849162551817,0.9811052497315609,-10.59408525358916,2.0371729459178503,13.140322618162124,13.144689579800705,12.578315263984962
05/15/2023 09:32:10.048860,243,True,True,True,True,Eyes,2.106682,0.1006134,-3.371089,-0.8387005,-0.04033426,0.5430973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12177,0.3503827,3.844499,1.961807,0.09894276,-3.507539,0.05979658,-0.3868063,-0.03141448,0.9196839,4.915431,314.1206,354.0059,0.5475733,0.02585539,-0.8363578,0.0,0.0,0.0,0.8076589,0.1450142,-2.597444,0.05544281,0.06737186,1.571651,0.6987879,-0.1040422,0.7077221,0.01152338,0.990875,0.1342905,-0.7152361,-0.08568526,0.6936104,moving,-11.394845235898673,1.362061323522006,2.020373654952008,2.454591648304104,-1.1541481,0.046071440000000005,0.9100950000000001,-0.19751550734940065,0.02330193750123916,0.9800228071644479,-10.8559780882814,2.2886102034631866,13.454160281140144,13.459632996482686,12.877421483181386
05/15/2023 09:32:10.058799,244,True,True,True,True,Eyes,2.099961,0.1005663,-3.376529,-0.8346604,-0.04254595,0.5491191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086618,0.3544083,3.852559,1.953299,0.09975475,-3.510445,0.0604936,-0.3816493,-0.0308802,0.9218085,5.04604,314.7567,354.0588,0.5458052,0.02580057,-0.8375145,0.0,0.0,0.0,0.8101731,0.142735,-2.597417,0.05451065,0.0681905,1.570723,0.7067804,-0.1031059,0.699879,0.01075658,0.9907739,0.1350978,-0.7073513,-0.08795621,0.7013686,moving,-11.611326867276038,1.3485608862856773,1.9876052218451807,2.485846367597283,-1.1431258999999998,0.04298025,0.9130279999999997,-0.20121807281844,0.02305328689150559,0.9792751198254266,-11.069206357634716,2.278080869046018,13.640865532378912,13.64640510282957,13.058464501021112
05/15/2023 09:32:10.078675,245,True,True,True,True,Eyes,2.093174,0.1005375,-3.38188,-0.8305808,-0.04479791,0.5550933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.060095,0.3553702,3.858508,1.944686,0.100285,-3.513732,0.06072957,-0.3774651,-0.03041174,0.9235298,5.118299,315.2754,354.121,0.544031,0.02574939,-0.8386697,0.0,0.0,0.0,0.8128099,0.1403446,-2.597389,0.04507005,0.04855862,1.569975,0.7131904,-0.1020189,0.6935067,0.0103257,0.9907742,0.1351299,-0.7008942,-0.0892124,0.7076641,moving,-11.705455557143384,1.2902252420381344,1.6443667040791938,1.771567895913963,-1.1318761,0.040059600000000015,0.9163429999999999,-0.20283120149351241,0.022048734112375845,0.9789653961191057,-11.166751865552687,2.2226233492434364,13.354721550986206,13.35849711444645,12.819056518603272
05/15/2023 09:32:10.098591,246,True,True,True,True,Eyes,2.086293,0.1005331,-3.387169,-0.8265153,-0.04707549,0.5609424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.040817,0.3650195,3.86159,1.936271,0.1007232,-3.516977,0.06198522,-0.3742002,-0.0297563,0.9247953,5.300409,315.6696,354.1536,0.5422509,0.02570198,-0.8398231,0.0,0.0,0.0,0.8153929,0.138003,-2.597362,0.04079604,0.06200663,1.569595,0.7181776,-0.1014267,0.6884284,0.008647203,0.9905448,0.1369169,-0.6958061,-0.09237768,0.7122641,moving,-11.694598762498604,1.347314407218625,1.4888648150320944,2.262285344500711,-1.1208781,0.03727979999999999,0.9196149999999998,-0.20264124870420613,0.023025084398246166,0.9789823230389012,-11.150863380673865,2.2778579327706168,13.210489916451142,13.215176265042755,12.63973778868967
05/15/2023 09:32:10.108603,247,True,True,True,True,Eyes,2.07936,0.1005645,-3.392371,-0.8224059,-0.04939225,0.566753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022117,0.3708678,3.86469,1.927854,0.1012745,-3.520116,0.06265558,-0.370971,-0.02809562,0.9261023,5.463155,316.0694,354.3198,0.5404642,0.02565864,-0.8409753,0.0,0.0,0.0,0.8179519,0.1356833,-2.597335,0.03763986,0.0790204,1.567861,0.7231822,-0.09852565,0.6835936,0.005552037,0.9905698,0.1368963,-0.690635,-0.09520563,0.7169096,moving,-11.683959106628638,1.4098115039784316,1.3752436906422931,2.8852734221246954,-1.1099021,0.0344088,0.9227809999999996,-0.2024543506471534,0.024093876064231655,0.9789952720846578,-11.134689521398693,2.338339513837614,13.136106506305,13.142289205924087,12.5218834713377
05/15/2023 09:32:10.128727,248,True,True,True,True,Eyes,2.07237,0.1006022,-3.397489,-0.8182938,-0.05159284,0.5724801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00402,0.3750707,3.86783,1.919612,0.1021963,-3.523278,0.06302954,-0.367789,-0.02537095,0.9274238,5.638284,316.4709,354.6133,0.5386711,0.02561991,-0.8421261,0.0,0.0,0.0,0.8205829,0.1332982,-2.597307,0.03333962,0.05528409,1.567584,0.7281751,-0.09342239,0.6789943,0.0006960968,0.9907672,0.1355725,-0.6853908,-0.09824788,0.721517,moving,-11.677258538187985,1.5170257237862654,1.2183918535533877,2.0198169808265676,-1.0990291,0.031101900000000002,0.9259710000000001,-0.20233058005625126,0.02592644633708671,0.9789740471065344,-11.118255041585682,2.4422328642250517,12.900591310339072,12.90544838718034,12.34387669226697
05/15/2023 09:32:10.149027,249,True,True,True,True,Eyes,2.065339,0.1006294,-3.402524,-0.8141476,-0.05392689,0.5781484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847946,0.3664051,3.87225,1.911335,0.1023929,-3.526287,0.06167284,-0.3644229,-0.02246438,0.9289176,5.63581,316.9128,355.0028,0.5368727,0.02558556,-0.8432749,0.0,0.0,0.0,0.8231217,0.1309966,-2.59728,0.02370262,0.04553815,1.566726,0.7333826,-0.08668511,0.6742669,-0.00321488,0.9913836,0.1309511,-0.6798086,-0.09820491,0.7267848,moving,-11.691585954244141,1.4549382448506674,0.8667479144361903,1.664879130716719,-1.0882133,0.028603699999999996,0.9290069999999999,-0.2025808411739627,0.024864270668826863,0.9789498287995914,-11.138002341152012,2.382192175908717,12.556034921828621,12.560088563891648,12.026161761087685
05/15/2023 09:32:10.158514,250,True,True,True,True,Eyes,2.05825,0.1006872,-3.407497,-0.8099697,-0.05636334,0.583757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9688997,0.3785326,3.873917,1.90328,0.1022191,-3.529357,0.06270144,-0.3615145,-0.0182583,0.9300766,5.936893,317.2812,355.4272,0.5350689,0.02555491,-0.8444216,0.0,0.0,0.0,0.825698,0.1286611,-2.597253,0.01577568,0.0563661,1.565626,0.7379477,-0.07929821,0.6701828,-0.01137172,0.9914703,0.1298356,-0.6747621,-0.103433,0.7307516,moving,-11.660241429585753,1.703864796510822,0.5773085616231713,2.061887950372288,-1.077582,0.026442000000000007,0.9321040000000003,-0.20202203113852302,0.029120588222561836,0.9789479385234351,-11.084385854337093,2.6232215323709944,12.237331113135529,12.242786054082561,11.67519644552152
