,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
301,05/15/2023 09:18:25.345476,543,True,True,True,True,Eyes,2.09653,0.06241747,-3.384326,-0.4695309,-0.5452521,0.6944357,1.12667,1.567523,-0.5519017,-2.601926,-0.5395398,-0.04892159,-0.8405377,0.0080598,-0.1154456,1.145207,1.945419,0.06852537,-3.494762,0.2281327,-0.1961632,0.04362553,0.9526659,26.8582,336.6319,359.5901,0.5443429,0.01553705,-0.8387186,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04440612,-0.08580916,1.179342,0.9192337,-0.006381371,0.3936608,-0.1726236,0.8921046,0.4175531,-0.3538512,-0.451784,0.818951,static,-34.06392,-38.13804,2.156357,-4.161519
302,05/15/2023 09:18:25.355014,544,True,True,True,True,Eyes,2.089599,0.06252199,-3.388869,-0.4626867,-0.5465537,0.6979972,1.127324,1.568001,-0.5536208,-2.602001,-0.5078537,-0.1635452,-0.8457764,0.005740881,-0.1092795,1.147211,1.939074,0.06880796,-3.498078,0.2316787,-0.1910142,0.04268233,0.9528993,27.24773,337.218,359.5383,0.5425752,0.01555131,-0.8398629,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04216123,-0.09004876,1.176809,0.9233837,-0.007163897,0.3838116,-0.1698517,0.8890064,0.425227,-0.3442572,-0.4578387,0.8196772,static,-33.53951,-38.06206,2.051843,-4.375712
303,05/15/2023 09:18:25.375189,545,True,True,True,True,Eyes,2.082668,0.06263783,-3.393351,-0.4557968,-0.5478073,0.7015386,1.128557,1.568275,-0.5555939,-2.601624,-0.4894831,-0.2950407,-0.8205835,0.003277183,-0.1062567,1.149426,1.932488,0.0691621,-3.501353,0.2341197,-0.1854637,0.04055381,0.9534918,27.48427,337.8355,359.386,0.5408072,0.01556668,-0.8410023,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04242754,-0.09257087,1.174351,0.9279172,-0.009505958,0.372665,-0.1641769,0.8870867,0.43142,-0.3346873,-0.461505,0.8215823,static,-33.01219,-37.98505,2.069111,-4.507149
304,05/15/2023 09:18:25.395297,546,True,True,True,True,Eyes,2.07575,0.06274542,-3.397774,-0.4487897,-0.5490315,0.7050902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5310336,1.772107,3.545657,1.925874,0.06953831,-3.504314,0.2359607,-0.1795718,0.03821732,0.9542621,27.64955,338.4977,359.2364,0.5390394,0.01558335,-0.8421361,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04400176,-0.08914724,1.172677,0.9325868,-0.01180507,0.3607526,-0.1576824,0.885724,0.4366111,-0.3246815,-0.4640621,0.8241531,static,-32.47675,-37.90676,2.148871,-4.347279
305,05/15/2023 09:18:25.405283,547,True,True,True,True,Eyes,2.068854,0.06285083,-3.402139,-0.4417781,-0.5501241,0.7086576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5711793,1.770527,3.539683,1.919223,0.06945822,-3.507439,0.2362303,-0.1737258,0.03734954,0.9553114,27.66648,339.2158,359.3066,0.5372724,0.01560099,-0.8432643,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.042752,-0.08812764,1.170699,0.9368487,-0.01071772,0.3495707,-0.1534395,0.8856005,0.4383698,-0.3142783,-0.4643241,0.8280292,static,-31.93947,-37.82185,2.091419,-4.304983
306,05/15/2023 09:18:25.425394,548,True,True,True,True,Eyes,2.06196,0.06298082,-3.406451,-0.4346749,-0.5513483,0.7120905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6052514,1.778659,3.52947,1.912522,0.06952736,-3.510632,0.2374728,-0.1683551,0.03770853,0.9559505,27.82167,339.8976,359.4905,0.5355068,0.01561945,-0.8443862,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.03817624,-0.08365369,1.169502,0.9404693,-0.007864524,0.3397878,-0.1520545,0.8843695,0.4413276,-0.3039688,-0.4667213,0.8305265,static,-31.40076,-37.74944,1.869651,-4.09136
307,05/15/2023 09:18:25.445132,549,True,True,True,True,Eyes,2.055082,0.063125,-3.410703,-0.4277879,-0.5524552,0.7153954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.632615,1.79536,3.515533,1.90563,0.0703018,-3.513705,0.2399134,-0.1637399,0.03836579,0.9561166,28.12095,340.4795,359.662,0.5337432,0.01563929,-0.8455017,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.03274947,-0.07500112,1.168825,0.9434346,-0.005202477,0.3315179,-0.1519311,0.8819392,0.4462062,-0.2947,-0.4713343,0.8312616,static,-30.87833,-37.67667,1.604959,-3.67152
308,05/15/2023 09:18:25.454977,550,True,True,True,True,Eyes,2.048213,0.06328103,-3.414908,-0.4209565,-0.5536193,0.7185411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6503854,1.806839,3.50568,1.898728,0.07079974,-3.516714,0.2413953,-0.1602596,0.03938518,0.9562918,28.31459,340.9395,359.8669,0.5319821,0.01566073,-0.8466104,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.02888,-0.07262626,1.16764,0.9455313,-0.002044384,0.3255246,-0.1526993,0.8803542,0.449065,-0.287495,-0.4743124,0.8320903,static,-30.36386,-37.61342,1.416845,-3.559167
309,05/15/2023 09:18:25.475331,551,True,True,True,True,Eyes,2.041374,0.06346692,-3.419037,-0.4144208,-0.5546095,0.7215703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6579118,1.819444,3.497266,1.892041,0.07128391,-3.519828,0.2428812,-0.1580501,0.04064813,0.9562304,28.51245,341.2455,0.06280199,0.5302237,0.01568391,-0.8477125,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.0259707,-0.07125288,1.166383,0.9467357,0.0009631802,0.3220099,-0.1545128,0.8787129,0.451652,-0.2825193,-0.4773497,0.8320578,static,-29.87012,-37.54641,1.275538,-3.495784
310,05/15/2023 09:18:25.495293,552,True,True,True,True,Eyes,2.034531,0.0636614,-3.423087,-0.4079996,-0.5554922,0.7245446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6689854,1.832279,3.487362,1.885274,0.07217678,-3.52236,0.2449363,-0.155682,0.04067835,0.9560934,28.75268,341.5287,0.09935604,0.528469,0.01570943,-0.848807,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.02047431,-0.06818953,1.16495,0.9482167,0.001520292,0.3176202,-0.1540489,0.876703,0.4556981,-0.2777658,-0.4810297,0.8315387,static,-29.38438,-37.47657,1.006885,-3.349945
