Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/15/2023 13:27:38.238107,183,True,True,True,True,Eyes,1.240862,-0.2577861,-3.102744,-0.2593291,0.1365929,0.956081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.351257,0.425192,3.046978,1.241661,-0.2584884,-3.111627,0.02904975,0.01725854,-0.004743468,0.9994178,3.338187,1.964458,359.5134,0.3703648,-0.07691156,-0.9256966,0,0,0,0.7321687,0.03502211,-1.157639,-0.5796,0.4008,1.915,0.9993593,-0.008478697,-0.03477258,0.01048412,0.9982672,0.05790194,0.03422139,-0.0582294,0.9977165,moving,-15.17587,8.130683,-16.83913,11.82109
05/15/2023 13:27:38.247439,184,True,True,True,True,Eyes,1.240829,-0.2577714,-3.102741,-0.2593457,0.136596,0.956076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.350113,0.4252018,3.047497,1.241629,-0.2585923,-3.111643,0.02900369,0.01708395,-0.004678124,0.9994225,3.332695,1.944659,359.5202,0.3703513,-0.07691184,-0.9257019,0,0,0,0.7352068,0.03236263,-1.158146,-0.5757748,0.3981549,1.915,0.9993725,-0.008359847,-0.03441953,0.01034184,0.9982738,0.05781404,0.0338768,-0.05813372,0.9977338,moving,-15.17687,8.130907,-16.73423,11.74525
05/15/2023 13:27:38.267900,185,True,True,True,True,Eyes,1.240796,-0.257761,-3.102739,-0.2593661,0.1366054,0.9560691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.349179,0.4253724,3.047937,1.241673,-0.2584928,-3.111684,0.02906074,0.01691962,-0.004716548,0.9994234,3.339231,1.925652,359.5154,0.3703383,-0.0769117,-0.9257072,0,0,0,0.7385809,0.02951337,-1.158615,-0.5718015,0.3954073,1.915,0.999383,-0.008444263,-0.03409385,0.01041105,0.9982665,0.05792836,0.03354558,-0.05824758,0.9977384,moving,-15.17811,8.131517,-16.62514,11.66643
05/15/2023 13:27:38.287704,186,True,True,True,True,Eyes,1.240763,-0.257749,-3.102739,-0.2593695,0.1366274,0.9560651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.348822,0.4249732,3.048188,1.241667,-0.2585848,-3.111716,0.02897235,0.01686411,-0.004699427,0.999427,3.329039,1.919372,359.517,0.3703259,-0.07691128,-0.9257122,0,0,0,0.742076,0.02712423,-1.159031,-0.5680442,0.392809,1.915,0.9993871,-0.008416282,-0.03398119,0.01037065,0.998277,0.057753,0.03343657,-0.05807,0.9977524,moving,-15.17837,8.132842,-16.52188,11.59185
05/15/2023 13:27:38.297555,187,True,True,True,True,Eyes,1.24073,-0.2577363,-3.102739,-0.2593701,0.136658,0.9560605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.348754,0.4256276,3.048177,1.241671,-0.2585356,-3.111767,0.02905979,0.01685884,-0.00463655,0.9994248,3.338938,1.918945,359.5243,0.3703138,-0.07691058,-0.9257171,0,0,0,0.7458757,0.02404924,-1.159327,-0.5641543,0.3901191,1.915,0.9993886,-0.008287936,-0.03396776,0.01024759,0.9982681,0.05792981,0.03342881,-0.05824247,0.9977427,moving,-15.17847,8.134677,-16.41484,11.51459
05/15/2023 13:27:38.317669,188,True,True,True,True,Eyes,1.240748,-0.2577263,-3.10274,-0.2594005,0.1366742,0.95605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.348982,0.4248894,3.048158,1.24166,-0.2585089,-3.111753,0.02891204,0.01690703,-0.004558783,0.9994286,3.321875,1.924787,359.5331,0.3703021,-0.07690959,-0.9257218,0,0,0,0.7498857,0.02183108,-1.159639,-0.5602385,0.3874114,1.915,0.9993867,-0.008134724,-0.03405834,0.01008999,0.9982867,0.05763688,0.03353112,-0.05794518,0.9977565,moving,-15.18032,8.135715,-16.30698,11.43679
05/15/2023 13:27:38.338075,189,True,True,True,True,Eyes,1.240768,-0.2577174,-3.102743,-0.2594258,0.136677,0.9560426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.349385,0.4255343,3.047913,1.241673,-0.2585336,-3.111768,0.02898309,0.01697836,-0.004485344,0.9994257,3.329911,1.933193,359.5419,0.370292,-0.0769084,-0.9257259,0,0,0,0.7538313,0.01884323,-1.159823,-0.556506,0.3848303,1.915,0.9993832,-0.007981365,-0.03419722,0.009949706,0.9982798,0.05778058,0.03367722,-0.0580852,0.9977434,moving,-15.18185,8.135946,-16.20406,11.36258
05/15/2023 13:27:38.347363,190,True,True,True,True,Eyes,1.240779,-0.2577075,-3.102745,-0.2594202,0.1366813,0.9560436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.349772,0.4265604,3.047665,1.241745,-0.2585487,-3.111804,0.02915042,0.01702884,-0.004490367,0.9994199,3.349123,1.938911,359.5418,0.3702834,-0.07690705,-0.9257295,0,0,0,0.7578496,0.01554298,-1.159999,-0.5527294,0.3822186,1.915,0.9993797,-0.007982727,-0.03429972,0.009968319,0.9982602,0.05811408,0.03377614,-0.05841994,0.9977205,moving,-15.18152,8.136188,-16.09981,11.28745
05/15/2023 13:27:38.367556,191,True,True,True,True,Eyes,1.240787,-0.2576987,-3.10275,-0.2594132,0.1366885,0.9560445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.350262,0.4268208,3.047408,1.241756,-0.2585173,-3.111799,0.02921638,0.01710246,-0.004530993,0.9994165,3.356797,1.947199,359.5375,0.370276,-0.07690551,-0.9257326,0,0,0,0.7620029,0.01266149,-1.160174,-0.5488705,0.3795502,1.915,0.999374,-0.008057355,-0.03444971,0.01005604,0.9982517,0.05824368,0.03392019,-0.05855365,0.9977078,moving,-15.18112,8.136604,-15.99317,11.21065
05/15/2023 13:27:38.387628,192,True,True,True,True,Eyes,1.240816,-0.257689,-3.102755,-0.2593973,0.1367016,0.9560469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.350308,0.4265357,3.047474,1.241706,-0.258537,-3.111863,0.02919186,0.01711109,-0.004591713,0.9994168,3.354109,1.947995,359.5306,0.3702694,-0.07690385,-0.9257353,0,0,0,0.7660406,0.009973943,-1.160543,-0.5448257,0.3767533,1.915,0.9993722,-0.00817906,-0.03447031,0.01017708,0.9982535,0.05819254,0.03393415,-0.05850682,0.9977101,moving,-15.18019,8.137352,-15.88128,11.13011
