Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
0,05/15/2023 15:24:41.503943,181,True,True,True,True,Eyes,1.323927,-0.2801099,-3.03273,-0.2766786,0.1251693,0.9527758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332489,0.4294992,3.018989,1.321135,-0.28119,-3.041353,0.02698215,0.001197933,-0.005753803,0.9996188,3.09304,0.1196046,359.3437,0.3982164,-0.08447627,-0.9133921,0,0,0,0.7502033,0.02230099,-1.105963,-0.5796,0.4008,1.915,0.9999309,-0.01143857,-0.002705452,0.01156786,0.9984777,0.05392994,0.002084452,-0.05395751,0.9985411,moving,-16.55728722137375,10.39382037236952,-16.839131587459715,11.821088380307142,-0.5709316999999999,0.30349099,1.93539,-0.28066893310949914,0.17316130546909514,0.9440552095621867,-17.099964047679812,10.525466356952863,1.3839347984435055,1.4548299602278707,1.3216164344109462
1,05/15/2023 15:24:41.513560,182,True,True,True,True,Eyes,1.32387,-0.2801197,-3.032722,-0.2767227,0.1251215,0.9527692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332595,0.4290969,3.018992,1.321132,-0.2811718,-3.041349,0.02692747,0.001214249,-0.005773325,0.9996201,3.086785,0.1214516,359.3415,0.3982607,-0.08446328,-0.9133741,0,0,0,0.754399,0.01963586,-1.106139,-0.5754451,0.3979268,1.915,0.9999303,-0.01147687,-0.002738498,0.01160766,0.9984832,0.05382046,0.002116654,-0.0538485,0.9985468,moving,-16.561627001551503,10.38416945245769,-16.72518280833644,11.738706640981514,-0.5667329999999999,0.30080766000000003,1.9352099999999999,-0.2807485952573957,0.17299807380343435,0.9440613770552635,-17.10410409463591,10.516192375382989,1.3028349160902304,1.3643758635460739,1.2798915855660373
2,05/15/2023 15:24:41.533720,183,True,True,True,True,Eyes,1.323806,-0.2801282,-3.032713,-0.276767,0.1250426,0.9527667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332733,0.4296244,3.018836,1.321148,-0.2812265,-3.041316,0.02697115,0.001243114,-0.005692777,0.9996193,3.0918,0.1249836,359.3508,0.3982992,-0.08445195,-0.9133584,0,0,0,0.7581993,0.01668012,-1.106201,-0.5716849,0.3953266,1.915,0.9999321,-0.01131416,-0.002792362,0.01144828,0.9984803,0.0539076,0.002178199,-0.0539359,0.998542,moving,-16.56631254141627,10.387283444807231,-16.621941177108425,11.66411001916122,-0.5629487,0.29790662,1.9351150000000001,-0.2808234280943407,0.17304543712681963,0.9440304484790628,-17.108895324586353,10.519328909747319,1.2255441979957558,1.2780378108982187,1.244045067598789
3,05/15/2023 15:24:41.553596,184,True,True,True,True,Eyes,1.323745,-0.2801372,-3.032705,-0.2768113,0.1249594,0.9527647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332685,0.43043,3.018728,1.321142,-0.2811747,-3.04131,0.02710764,0.001237091,-0.005680625,0.9996156,3.107442,0.1242427,359.3522,0.3983323,-0.0844421,-0.913345,0,0,0,0.7619251,0.01352581,-1.106274,-0.5678878,0.3927009,1.915,0.9999323,-0.01128981,-0.002781209,0.01142395,0.9984658,0.05418039,0.002165256,-0.0542085,0.9985273,moving,-16.56867089899166,10.398372952865351,-16.5175735719067,11.588741121027457,-0.5592169,0.29470050999999997,1.9350360000000002,-0.2808531924736834,0.1732265692598045,0.9439883267297102,-17.111532965350186,10.530159287341156,1.1483014670095788,1.191464356415598,1.2138299961981522
4,05/15/2023 15:24:41.563661,185,True,True,True,True,Eyes,1.323694,-0.280149,-3.032697,-0.2768781,0.1248758,0.9527563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332563,0.4310891,3.018687,1.32114,-0.2811915,-3.041307,0.0271915,0.001222441,-0.005630121,0.9996136,3.117039,0.1226659,359.3579,0.3983606,-0.08443359,-0.9133335,0,0,0,0.7655841,0.01047361,-1.106393,-0.5641039,0.3900843,1.915,0.9999336,-0.01118941,-0.002750121,0.01132237,0.9984578,0.05434823,0.002137755,-0.05437576,0.9985183,moving,-16.570438980185017,10.404661730591386,-16.41345649503665,11.513592959518025,-0.5555559,0.29166511,1.9349140000000002,-0.280877200670033,0.1733289202215892,0.943962445457193,-17.113462344644063,10.536311316262385,1.0857831153122022,1.1199874870426472,1.2021179641487096
5,05/15/2023 15:24:41.583509,186,True,True,True,True,Eyes,1.323647,-0.2801574,-3.032689,-0.2769379,0.1247877,0.9527505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332478,0.4325669,3.018527,1.321081,-0.2812814,-3.041338,0.02737983,0.001227698,-0.005536631,0.9996091,3.138619,0.1234429,359.3687,0.3983848,-0.08442634,-0.9133236,0,0,0,0.7693077,0.006842762,-1.106469,-0.5602437,0.387415,1.915,0.9999356,-0.0110017,-0.002757619,0.01113616,0.9984394,0.05472466,0.002151252,-0.05475184,0.9984977,moving,-16.574026430017312,10.424159598349625,-16.307124982443714,11.436889869665622,-0.5517732999999999,0.288124162,1.9348690000000002,-0.28092028735528096,0.17364786745156,0.9438910403535471,-17.11753704873628,10.555340330078744,1.0224830244186127,1.0473103576097462,1.1974545118451996
6,05/15/2023 15:24:41.603783,187,True,True,True,True,Eyes,1.323593,-0.2801649,-3.032686,-0.2770029,0.1246919,0.9527441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.332856,0.4330295,3.018268,1.321122,-0.2812057,-3.041302,0.02750334,0.001274091,-0.005612163,0.9996052,3.152816,0.1284494,359.3602,0.3984056,-0.08442014,-0.9133152,0,0,0,0.773402,0.003816575,-1.106467,-0.5563878,0.3847485,1.915,0.9999338,-0.01114981,-0.002855883,0.01128998,0.9984242,0.05497066,0.00223847,-0.05499926,0.9984838,moving,-16.58496411280002,10.430379064423866,-16.200796521271315,11.36022573431114,-0.5477199999999999,0.285022275,1.9348349999999999,-0.28109576732780883,0.1737410153708122,0.9438216069719634,-17.128696526293854,10.561642233120557,0.9897050359685069,1.0060812928791685,1.2242279312671476
7,05/15/2023 15:24:41.613961,188,True,True,True,True,Eyes,1.323543,-0.2801722,-3.03268,-0.2770573,0.1246099,0.9527391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333048,0.433504,3.018196,1.32109,-0.2811695,-3.0414,0.0275983,0.001307844,-0.005636763,0.9996024,3.163726,0.1321834,359.3575,0.3984229,-0.08441485,-0.9133081,0,0,0,0.7775184,0.0006788075,-1.10664,-0.5523518,0.3819576,1.915,0.999933,-0.01119685,-0.002925778,0.01134123,0.9984131,0.0551599,0.002303517,-0.05518939,0.9984732,moving,-16.592845557002725,10.435759244071246,-16.08937876576747,11.279940825211002,-0.5435716,0.2818483075,1.9347599999999998,-0.28122148806655467,0.17382298558888157,0.9437691516788999,-17.13675912579325,10.567056290978135,0.9738951200970684,0.982914722553458,1.2669688148159546
8,05/15/2023 15:24:41.633557,189,True,True,True,True,Eyes,1.323471,-0.2801843,-3.032678,-0.2771018,0.124538,0.9527355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.333681,0.4326295,3.018011,1.321107,-0.2811734,-3.041362,0.0274874,0.001401532,-0.005710536,0.9996049,3.151084,0.142769,359.3493,0.3984373,-0.08441036,-0.9133024,0,0,0,0.781668,-0.001451999,-1.106712,-0.5486017,0.3793644,1.915,0.9999309,-0.01133951,-0.003115891,0.01149361,0.9984237,0.05493706,0.00248802,-0.05496908,0.9984849,moving,-16.606540476023234,10.416765856949649,-15.985741402772852,11.205302838174559,-0.539439,0.27972140100000004,1.93465,-0.2814634592701263,0.1734972817244256,0.9437568904635449,-17.150095891097305,10.548926826843676,0.9993721935959269,1.0035846053561337,1.3366191838859476
9,05/15/2023 15:24:41.653530,190,True,True,True,True,Eyes,1.323401,-0.2801905,-3.032677,-0.2771455,0.1244719,0.9527314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.334246,0.4327933,3.017786,1.32107,-0.2812544,-3.041417,0.02746922,0.001509536,-0.005634895,0.9996057,3.149059,0.1554095,359.3583,0.3984485,-0.08440676,-0.9132979,0,0,0,0.785968,-0.004358053,-1.106829,-0.5445996,0.3765969,1.915,0.9999319,-0.01118241,-0.003327454,0.01134828,0.9984274,0.05489975,0.00270831,-0.05493378,0.9984863,moving,-16.6200278096001,10.413756031145976,-15.875021209883517,11.12560560477172,-0.535102,0.27689634700000004,1.934588,-0.2816887026565995,0.17343575232739175,0.9437009681123004,-17.163603165333523,10.546321993977287,1.0299399664756386,1.030419647081914,1.412803226796427
