Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/17/2023 14:28:28.765561,181,True,True,True,True,Eyes,1.351364,-0.2867517,-3.058729,-0.3064083,0.06249186,0.9498466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.252707,0.6973225,3.044937,1.355269,-0.2868863,-3.067266,0.07134546,-0.01838677,-0.01026809,0.9972293,8.158847,357.792,358.6627,0.4027532,-0.08545078,-0.9113107,0,0,0,0.7103077,-0.1486335,-1.136279,-0.5796,0.4008,1.915,0.999113,-0.0231029,0.03520649,0.01785565,0.9896088,0.1426732,-0.03813681,-0.141918,0.9891434,moving,-16.220245653687144,11.50965949330827,-16.839131587459715,11.821088380307142,-0.6449613000000001,0.13825279999999998,1.930987,-0.27413949050353964,0.19188899415219618,0.9423513124501008,-15.06104632596134,11.994434716042225,0.6622493895958421,0.6928259165756598,1.7865150850945875
05/17/2023 14:28:28.785689,182,True,True,True,True,Eyes,1.351366,-0.2867499,-3.058721,-0.3065185,0.06257342,0.9498057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.253356,0.6965238,3.044861,1.355343,-0.2869061,-3.067239,0.07125891,-0.01830876,-0.01037151,0.9972359,8.148783,357.8003,358.6516,0.4027423,-0.08544958,-0.9113157,0,0,0,0.7145035,-0.1508984,-1.136405,-0.575788,0.3981641,1.915,0.9991145,-0.023295,0.03503818,0.01807635,0.9896292,0.1425037,-0.03799443,-0.1417441,0.9891739,moving,-16.237106948108647,11.501255945936236,-16.734592065573423,11.745512488117303,-0.6408395,0.1360077,1.9308339999999997,-0.27442524658898765,0.19173453196128665,0.9422996045703278,-15.078234193322544,11.9864265059398,0.530174542871602,0.5542135874346584,1.6737864155712459
05/17/2023 14:28:28.805894,183,True,True,True,True,Eyes,1.351352,-0.28675,-3.058721,-0.3066211,0.06264964,0.9497676,2.020597,0.7317942,-0.1601603,-1.139623,0.8654571,-0.4552237,-0.2091774,-0.558908,0.3885297,1.912373,1.355323,-0.286871,-3.067228,0.07122306,-0.0181889,-0.01048577,0.9972395,8.144576,357.8133,358.6394,0.4027326,-0.08544847,-0.9113201,0,0,0,0.7188097,-0.1533305,-1.136485,-0.5719325,0.3954978,1.915,0.9991184,-0.02350459,0.03478373,0.01832271,0.9896347,0.1424343,-0.03777104,-0.1416714,0.9891928,moving,-16.258854921180305,11.498074880880369,-16.628742811914897,11.669022778226417,-0.6365133000000001,0.13354049999999998,1.930743,-0.2747868966028891,0.191661635638772,0.9422090793697133,-15.099811957986972,11.98374671476718,0.390399091117589,0.4074803496110218,1.5609870955022298
05/17/2023 14:28:28.815866,184,True,True,True,True,Eyes,1.351342,-0.286754,-3.058716,-0.3067353,0.06272452,0.9497258,2.013535,0.73372,-0.1604561,-1.14641,0.7297829,-0.2476874,-0.6372343,-0.5572176,0.3878853,1.905649,1.355167,-0.2869131,-3.067414,0.07145004,-0.01818785,-0.01078598,0.9972201,8.169989,357.8105,358.6042,0.4027236,-0.08544748,-0.9113242,0,0,0,0.7227612,-0.1567367,-1.136841,-0.5679239,0.3927259,1.915,0.9991058,-0.02411105,0.03473326,0.01891295,0.9895571,0.1428952,-0.03781589,-0.1421105,0.9891282,moving,-16.2720379254996,11.518093409460588,-16.518566353677365,11.589458920892712,-0.6324058,0.13017639999999997,1.9305729999999999,-0.274986279513709,0.19197944288389612,0.9420862192231442,-15.111196827759915,12.004044344219238,0.24808983423279574,0.2566501551173658,1.4671639498419873
05/17/2023 14:28:28.843732,185,True,True,True,True,Eyes,1.351336,-0.2867554,-3.058711,-0.3068779,0.06280828,0.9496742,2.010395,0.7343898,-0.160486,-1.14949,0.5710853,-0.06870955,-0.8180102,-0.5559545,0.3874734,1.902682,1.355258,-0.2870145,-3.067284,0.07137435,-0.01836866,-0.01059083,0.9972243,8.161474,357.7914,358.6255,0.4027152,-0.08544673,-0.911328,0,0,0,0.7258232,-0.1594553,-1.137219,-0.5641068,0.3900863,1.915,0.9991009,-0.02374498,0.03512352,0.01850077,0.9895871,0.1427415,-0.03814718,-0.1419634,0.9891366,moving,-16.257089682854073,11.520591950460346,-16.413536333680273,11.513650414438047,-0.6294348000000001,0.1275592,1.930065,-0.27473745630677215,0.19203473212575473,0.9421475486621416,-15.096341474884701,12.006197987809125,0.15430113398596948,0.15660057304200417,1.4062735893385845
05/17/2023 14:28:28.856062,186,True,True,True,True,Eyes,1.351329,-0.2867548,-3.058709,-0.3070228,0.06287913,0.9496226,2.008322,0.7347281,-0.1604733,-1.151561,0.348608,0.08439721,-0.9334611,-0.5555349,0.386766,1.900755,1.355233,-0.2869394,-3.0673,0.0712949,-0.01840777,-0.01064424,0.9972286,8.152178,357.7866,358.6192,0.4027076,-0.08544612,-0.9113314,0,0,0,0.7294934,-0.1617405,-1.137544,-0.5602413,0.3874132,1.915,0.9990957,-0.02385424,0.03519576,0.01860472,0.9896075,0.1425865,-0.03823128,-0.1418027,0.9891564,moving,-16.2618653935215,11.513724738224118,-16.307058837000582,11.43683813210446,-0.6257396,0.1251989,1.9297559999999998,-0.27482241641673655,0.19191694787090502,0.942146693299371,-15.101556217567925,11.999447810576864,0.0884400585534642,0.08918518674138863,1.3303256051695838
05/17/2023 14:28:28.865767,187,True,True,True,True,Eyes,1.351359,-0.2867576,-3.058702,-0.3071718,0.06298868,0.9495672,2.008352,0.7344504,-0.1602541,-1.151637,0.3301843,0.09901478,-0.9387088,-0.5553956,0.3874275,1.900749,1.35522,-0.28689,-3.067367,0.07141959,-0.0185139,-0.01063222,0.9972178,8.166378,357.7742,358.6194,0.4027006,-0.08544556,-0.9113346,0,0,0,0.7331362,-0.1651031,-1.137977,-0.5561092,0.3845559,1.915,0.9990884,-0.0238498,0.03540609,0.01856078,0.9895724,0.1428355,-0.03844349,-0.1420481,0.9891129,moving,-16.260046336263425,11.534563280255973,-16.193109527480075,11.354686721151879,-0.6220838000000001,0.12178689999999998,1.92939,-0.27477358485145315,0.19226239489581437,0.9420905500088778,-15.098162577974684,12.020221217932905,0.18187854773410822,0.1919273635655625,1.2813449920441944
05/17/2023 14:28:28.885952,188,True,True,True,True,Eyes,1.351388,-0.2867632,-3.058698,-0.3073227,0.06308286,0.9495121,2.008752,0.7340531,-0.1600454,-1.151364,-0.1782271,0.4405199,-0.8798734,-0.5557929,0.3866706,1.901113,1.355221,-0.2869163,-3.067272,0.0711366,-0.01850292,-0.01057597,0.9972389,8.134018,357.7764,358.6266,0.4026952,-0.08544512,-0.911337,0,0,0,0.7367265,-0.1666529,-1.138167,-0.552498,0.3820585,1.915,0.9990916,-0.02372601,0.03539899,0.01846107,0.9896554,0.1422717,-0.03840834,-0.141489,0.9891945,moving,-16.268076278475302,11.509748905370476,-16.09341694879489,11.282844166568589,-0.6184945000000001,0.12026340000000002,1.929105,-0.27492846275719246,0.19184552638526195,0.9421303262178795,-15.107955387677361,11.995618593949432,0.27043713157664595,0.2863418270793904,1.2162162113572919
05/17/2023 14:28:28.905537,189,True,True,True,True,Eyes,1.351437,-0.2867706,-3.058692,-0.3074752,0.0631539,0.949458,2.015276,0.7317899,-0.1594981,-1.145272,-0.5558106,0.7012531,-0.4464511,-0.5574402,0.3886886,1.907201,1.355204,-0.2869892,-3.067337,0.07123112,-0.01858389,-0.01040625,0.9972324,8.145142,357.7683,358.6454,0.402691,-0.08544488,-0.9113389,0,0,0,0.7401336,-0.1700252,-1.13857,-0.5486193,0.3793764,1.915,0.9990928,-0.02340241,0.0355824,0.0181074,0.9896357,0.1424547,-0.0385474,-0.1416812,0.9891615,moving,-16.266884251444875,11.530357266943408,-15.986228046009598,11.205648313446863,-0.6150704000000001,0.11696400000000001,1.9287670000000001,-0.2748901692723922,0.19218657052084198,0.9420719847299797,-15.105194564625652,12.016176429601972,0.4057040732322066,0.4291897134486677,1.1971532159241212
05/17/2023 14:28:28.916072,190,True,True,True,True,Eyes,1.351482,-0.2867774,-3.058688,-0.3076211,0.06321777,0.9494065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25251,0.697607,3.044972,1.355225,-0.2869971,-3.067294,0.07145728,-0.01844423,-0.01046818,0.9972182,8.171168,357.7836,358.6388,0.4026885,-0.08544484,-0.91134,0,0,0,0.7445664,-0.1736251,-1.138548,-0.5447103,0.3766734,1.915,0.9991004,-0.02351408,0.03528978,0.01824218,0.9895686,0.1429031,-0.03828189,-0.1421308,0.9891073,moving,-16.294874912483333,11.558229750794073,-15.878085424563414,11.127809205268978,-0.6106585999999999,0.113372,1.928746,-0.2753265352866979,0.1926198180211503,0.941856058282663,-15.130497362842732,12.044658016378479,0.5670235456484963,0.5991454942254585,1.1830045022992062
