Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 11:17:54.930245,0,True,True,True,True,Eyes,0.319681,0.07981484,-3.115912,0.950226,0.07722888,-0.3018381,0,0,0,0,0,0,0,-2.922215,-0.3060548,-1.355445,0.3512057,0.08529885,-3.215527,0.05580735,0.8119793,-0.07060436,0.5767065,10.31312,109.2799,0.5353667,0.09850118,0.02485104,-0.9948218,0.02909308,0.007773643,-0.1545748,2.389018,0.1314406,-3.31038,-0.5795999,0.4008001,1.915001,-0.3285905,0.009192836,-0.9444279,0.1720648,0.9838011,-0.05028961,0.928667,-0.1790275,-0.3248495,start,-72.37762,-14.35191,-16.83912,11.82108
05/18/2023 11:17:54.950325,1,True,True,True,True,Eyes,0.3217248,0.07999772,-3.12026,0.953539,0.07613315,-0.2914911,0,0,0,0,0,0,0,-2.944405,-0.3019057,-1.324145,0.3556152,0.08492572,-3.221855,0.05629974,0.8082207,-0.07063702,0.5819107,10.35249,108.5394,0.5123408,0.0988538,0.02491326,-0.9947852,0.02734749,0.007307225,-0.1453003,2.394502,0.1299548,-3.290536,-0.5796004,0.4008001,1.915001,-0.3164206,0.008796335,-0.9485783,0.1732141,0.9836815,-0.04865777,0.932671,-0.1797035,-0.3127807,start,-73.00192,-14.6378,-16.83914,11.82109
05/18/2023 11:17:54.960810,2,True,True,True,True,Eyes,0.3238785,0.08014051,-3.124669,0.9567518,0.07516676,-0.2810263,0,0,0,0,0,0,0,-2.965092,-0.2990063,-1.294422,0.3607438,0.0849172,-3.227903,0.05553475,0.8046182,-0.07007275,0.5870225,10.25119,107.8106,0.4134015,0.09922154,0.02497139,-0.9947469,0.02570664,0.006868791,-0.1365823,2.400222,0.134393,-3.271325,-0.5796003,0.4008,1.915,-0.304641,0.007099984,-0.9524408,0.1716371,0.9840114,-0.04756332,0.9368749,-0.1779639,-0.3009889,start,-73.63092,-14.9745,-16.83914,11.82109
05/18/2023 11:17:54.981109,3,True,True,True,True,Eyes,0.3261705,0.08025216,-3.129089,0.9598452,0.07439086,-0.2704869,0,0,0,0,0,0,0,-2.986413,-0.2935449,-1.262479,0.3655766,0.08407418,-3.233879,0.05493887,0.8007948,-0.06932919,0.5923706,10.14415,107.0475,0.3406427,0.099606,0.02502452,-0.9947069,0.02416424,0.006456664,-0.1283873,2.405337,0.1379299,-3.250626,-0.5796,0.4008,1.915,-0.2921576,0.00585238,-0.9563523,0.1701267,0.9843504,-0.04594858,0.9411168,-0.1761252,-0.2885812,start,-74.26202,-15.37762,-16.83913,11.82109
05/18/2023 11:17:55.000046,4,True,True,True,True,Eyes,0.3285857,0.08032396,-3.133565,0.9628423,0.07366481,-0.2598233,0,0,0,0,0,0,0,-3.007171,-0.2858322,-1.231198,0.370915,0.08341053,-3.239767,0.05522902,0.7969511,-0.06864692,0.5975837,10.10336,106.3029,0.3483239,0.1000097,0.02507213,-0.994665,0.02271439,0.006069264,-0.1206841,2.410685,0.1385813,-3.229941,-0.5796005,0.4008,1.915,-0.2796869,0.005985095,-0.9600726,0.1700742,0.9844747,-0.04340854,0.9449074,-0.1754244,-0.2763625,start,-74.89842,-15.82904,-16.83914,11.82109
05/18/2023 11:17:55.010541,5,True,True,True,True,Eyes,0.331131,0.08035621,-3.138076,0.9657254,0.07304212,-0.2490768,0,0,0,0,0,0,0,-3.028116,-0.2744986,-1.199317,0.3763451,0.08252794,-3.245728,0.05591063,0.793002,-0.0676023,0.6028697,10.05719,105.5498,0.4168603,0.1004341,0.02511346,-0.9946209,0.02135153,0.005705108,-0.113443,2.415777,0.138588,-3.208589,-0.5796003,0.4008001,1.915001,-0.2668445,0.007163708,-0.963713,0.1701852,0.9846078,-0.03980388,0.9485943,-0.1746311,-0.2639563,start,-75.53764,-16.34385,-16.83913,11.82109
05/18/2023 11:17:55.030150,6,True,True,True,True,Eyes,0.3338012,0.08034485,-3.142642,0.9684913,0.07242775,-0.2382833,0,0,0,0,0,0,0,-3.047456,-0.2639338,-1.169912,0.381974,0.08160115,-3.25158,0.05644108,0.789291,-0.06657396,0.6077847,10.00304,104.8463,0.475431,0.1008807,0.02514781,-0.9945753,0.02007043,0.005362801,-0.1066364,2.420748,0.1389221,-3.188973,-0.5795999,0.4008001,1.915001,-0.2548245,0.008171598,-0.9669529,0.1700221,0.9847646,-0.03648438,0.9519229,-0.1737005,-0.2523315,start,-76.17774,-16.90699,-16.83912,11.82109
05/18/2023 11:17:55.050051,7,True,True,True,True,Eyes,0.3366038,0.0802928,-3.147265,0.9711307,0.07185376,-0.2274695,0,0,0,0,0,0,0,-3.065487,-0.2543721,-1.143056,0.3877015,0.08055285,-3.257558,0.05731432,0.7858106,-0.06591452,0.6122681,10.00744,104.1995,0.5446802,0.1013509,0.0251745,-0.9945274,0.01886621,0.005041033,-0.1002383,2.425641,0.1370297,-3.171447,-0.5796,0.4008,1.915001,-0.243686,0.009361682,-0.9698091,0.1707911,0.9847407,-0.03340921,0.9546978,-0.1737761,-0.2415664,start,-76.81718,-17.53044,-16.83913,11.82108
05/18/2023 11:17:55.061325,8,True,True,True,True,Eyes,0.3395455,0.08019924,-3.151932,0.9736322,0.07128133,-0.2167014,0,0,0,0,0,0,0,-3.081091,-0.247912,-1.1205,0.3938258,0.07952927,-3.263232,0.05801,0.7827503,-0.06562671,0.6161411,10.03347,103.6348,0.578611,0.1018459,0.02519295,-0.9944769,0,0,0,2.430839,0.1347781,-3.156803,-0.5796,0.4008,1.915,-0.2340098,0.00994404,-0.9721833,0.1716853,0.984656,-0.03125396,0.9569553,-0.1742233,-0.2321264,start,-77.4522,-18.208,-16.83913,11.82109
05/18/2023 11:17:55.080365,9,True,True,True,True,Eyes,0.3426288,0.08005959,-3.156646,0.9760005,0.07071097,-0.2059686,0,0,0,0,0,0,0,-3.095698,-0.2414881,-1.100555,0.4001564,0.07844715,-3.269037,0.05865537,0.7799307,-0.06528494,0.619682,10.05135,103.1174,0.6157913,0.1023679,0.02520267,-0.9944234,0,0,0,2.436136,0.1327128,-3.14396,-0.5795999,0.4008,1.915,-0.2251075,0.01058241,-0.9742764,0.172406,0.9845949,-0.02914009,0.9589592,-0.1745308,-0.2234642,start,-78.08353,-18.94783,-16.83913,11.82109
