Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 11:15:10.797344,181,True,True,True,True,Eyes,1.131842,-0.2907972,-3.031052,-0.3021838,0.147053,0.9418389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.073103,0.4874139,3.038674,1.138503,-0.2914412,-3.039989,0.03348386,-0.01119767,-0.003476089,0.9993706,3.83295,358.7013,359.558,0.3485781,-0.08952126,-0.9329944,0,0,0,0.518241,-0.01510131,-1.115746,-0.5796,0.4008001,1.915,0.999725,-0.007697683,0.02214846,0.006197919,0.9977335,0.0670034,-0.02261403,-0.06684771,0.9975069,moving,-17.78856,8.874167,-16.83913,11.82109
05/18/2023 11:15:10.807415,182,True,True,True,True,Eyes,1.131726,-0.2907895,-3.031051,-0.3024289,0.1468844,0.9417865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.072551,0.4863052,3.038991,1.138506,-0.2914568,-3.039931,0.03327757,-0.01128079,-0.003421369,0.9993767,3.809336,358.6921,359.5642,0.348562,-0.0895208,-0.9330005,0,0,0,0.5218309,-0.01714046,-1.116001,-0.575644,0.3980644,1.915,0.9997221,-0.007589267,0.0223198,0.006087678,0.9977618,0.06659085,-0.02277522,-0.06643647,0.9975307,moving,-17.803,8.864638,-16.73064,11.74265
05/18/2023 11:15:10.827515,183,True,True,True,True,Eyes,1.131616,-0.2907769,-3.031048,-0.3026697,0.1467477,0.9417304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.071062,0.4851784,3.039737,1.138512,-0.2914382,-3.039971,0.03303871,-0.01150634,-0.003278998,0.9993824,3.782042,358.6668,359.58,0.3485444,-0.08952028,-0.9330072,0,0,0,0.5246583,-0.01900086,-1.116543,-0.5718518,0.3954421,1.915,0.9997137,-0.007314255,0.02278179,0.005793638,0.9977953,0.06611206,-0.02321513,-0.06596114,0.9975521,moving,-17.81727,8.857039,-16.62653,11.66742
05/18/2023 11:15:10.847141,184,True,True,True,True,Eyes,1.131477,-0.2907754,-3.031041,-0.3028884,0.1466581,0.9416741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07057,0.4830064,3.040203,1.138534,-0.2913137,-3.039922,0.03274682,-0.01160536,-0.003408172,0.9993905,3.748363,358.6552,359.5652,0.3485257,-0.08951952,-0.9330142,0,0,0,0.528312,-0.02033648,-1.116856,-0.5679163,0.3927207,1.915,0.9997073,-0.007572267,0.02297336,0.006052112,0.9978321,0.06553284,-0.02341979,-0.06537464,0.997586,moving,-17.83033,8.852237,-16.51836,11.58931
05/18/2023 11:15:10.867571,185,True,True,True,True,Eyes,1.131343,-0.290777,-3.031039,-0.3030984,0.1464903,0.9416326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.070738,0.4805328,3.040455,1.138567,-0.2915963,-3.039801,0.03233163,-0.01159509,-0.003512736,0.9994038,3.700628,358.6562,359.5538,0.3485051,-0.08951896,-0.933022,0,0,0,0.532454,-0.02169175,-1.117029,-0.5639063,0.3899476,1.915,0.9997064,-0.00777106,0.02294922,0.006271506,0.9978846,0.06470617,-0.02340351,-0.06454325,0.9976404,moving,-17.84264,8.842656,-16.40801,11.50966
05/18/2023 11:15:10.881970,186,True,True,True,True,Eyes,1.131207,-0.290766,-3.031029,-0.3033357,0.1463284,0.9415814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.070855,0.4871804,3.039479,1.138579,-0.291652,-3.039915,0.03337767,-0.01156844,-0.003399409,0.99937,3.820715,358.6591,359.5655,0.348483,-0.08951863,-0.9330303,0,0,0,0.5363563,-0.02864255,-1.116651,-0.5600041,0.3872491,1.914999,0.9997092,-0.00756679,0.02289538,0.006022279,0.9977488,0.06679194,-0.02334924,-0.06663462,0.9975042,moving,-17.85663,8.833508,-16.30053,11.43212
05/18/2023 11:15:10.897447,187,True,True,True,True,Eyes,1.131078,-0.2907525,-3.031019,-0.3035572,0.1462495,0.9415222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.070098,0.4880665,3.039385,1.138647,-0.2913353,-3.039702,0.03349566,-0.01167629,-0.003176769,0.9993657,3.834497,358.6475,359.5905,0.3484595,-0.08951815,-0.9330391,0,0,0,0.5396485,-0.0316838,-1.116605,-0.5562029,0.3846206,1.915,0.9997072,-0.007131719,0.02312495,0.005567298,0.9977359,0.067023,-0.02355058,-0.06687463,0.9974834,moving,-17.8699,8.829366,-16.1957,11.35655
05/18/2023 11:15:10.917432,188,True,True,True,True,Eyes,1.130968,-0.2907435,-3.031013,-0.3037522,0.1461354,0.941477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.070442,0.4817449,3.040281,1.138706,-0.2912865,-3.039693,0.03261674,-0.0116794,-0.003605948,0.9993932,3.73315,358.646,359.5424,0.348435,-0.08951746,-0.9330484,0,0,0,0.5441232,-0.03064296,-1.117127,-0.5520535,0.3817511,1.915,0.9997012,-0.007969408,0.02310939,0.006445632,0.9978463,0.06527813,-0.02357984,-0.06510966,0.9975995,moving,-17.88145,8.823003,-16.08114,11.274
05/18/2023 11:15:10.927743,189,True,True,True,True,Eyes,1.130859,-0.2907336,-3.031007,-0.3039404,0.1460215,0.941434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.07152,0.4846811,3.039531,1.138723,-0.2913831,-3.039773,0.03325135,-0.01156545,-0.004057623,0.9993719,3.80535,358.657,359.4901,0.34841,-0.08951668,-0.9330577,0,0,0,0.5483941,-0.03516722,-1.116808,-0.5484938,0.3792897,1.915,0.9996995,-0.008879281,0.02284653,0.007341014,0.9977558,0.06655477,-0.02338622,-0.06636705,0.9975212,moving,-17.89259,8.816628,-15.98276,11.20315
05/18/2023 11:15:10.947567,190,True,True,True,True,Eyes,1.130777,-0.2907264,-3.031002,-0.3041422,0.1459212,0.9413843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.071411,0.4850344,3.039481,1.138657,-0.2913508,-3.03977,0.03327509,-0.01155881,-0.003948201,0.9993717,3.808222,358.6581,359.5027,0.3483846,-0.08951581,-0.9330673,0,0,0,0.5521227,-0.03804839,-1.116879,-0.5446333,0.3766201,1.915,0.9997016,-0.008660682,0.02284033,0.0071222,0.9977543,0.06659964,-0.02336584,-0.0664171,0.9975184,moving,-17.90459,8.81113,-15.87596,11.12627
