Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 11:31:42.634165,183,True,True,True,True,Eyes,0.1454713,0.07066258,-3.020352,0.716334,0.02787797,-0.6972004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.328643,-0.5961382,-2.648175,0.1292767,0.07125959,-3.018561,0.02070245,0.9645758,-0.09372503,0.2457247,11.01022,151.3815,359.6426,0.02880486,0.02558575,-0.9992571,0.1889021,-0.007121757,-0.5321851,1.573211,0.102489,-4.460047,-0.5795997,0.4008001,1.915,-0.8783816,-0.006122955,-0.4779209,0.08599928,0.9815741,-0.1706356,0.4701596,-0.190984,-0.8616699,moving,-45.77552,-2.289786,-16.83912,11.82109
05/18/2023 11:31:42.644053,184,True,True,True,True,Eyes,0.1458295,0.0706058,-3.021024,0.7175437,0.027909,-0.6959541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.377479,-0.5864709,-2.635665,0.1336692,0.07063751,-3.027419,0.02195847,0.9624492,-0.09248945,0.2542738,10.90609,150.3752,359.7218,0.03084029,0.02535102,-0.9992023,0.1775679,-0.006694451,-0.500254,1.599285,0.1018573,-4.444405,-0.5755312,0.3979861,1.914999,-0.8697253,-0.004767462,-0.493513,0.08930312,0.981927,-0.1668659,0.4853894,-0.1891997,-0.8535811,moving,-45.87506,-2.296432,-16.72755,11.74041
05/18/2023 11:31:42.664042,185,True,True,True,True,Eyes,0.1463502,0.0705192,-3.022016,0.7193893,0.02782807,-0.6940495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.427024,-0.5789219,-2.621488,0.1380721,0.0698299,-3.036413,0.02336031,0.9601635,-0.09171634,0.2629232,10.85997,149.3533,359.8034,0.03257697,0.02515005,-0.9991522,0.1669139,-0.006292784,-0.4702387,1.625774,0.09934799,-4.428023,-0.5719075,0.3954799,1.914999,-0.8606516,-0.003369253,-0.5091835,0.09308814,0.9820849,-0.1638414,0.5006133,-0.1884093,-0.8449192,moving,-46.02707,-2.296057,-16.62806,11.66851
05/18/2023 11:31:42.684067,186,True,True,True,True,Eyes,0.1470258,0.070423,-3.023321,0.7216489,0.02776319,-0.6917023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.476293,-0.5757188,-2.605469,0.1424769,0.06905487,-3.045372,0.02469518,0.9577306,-0.09170073,0.2715388,10.89797,148.3276,359.8542,0.03415525,0.02496551,-0.9991043,0.156899,-0.005915217,-0.4420244,1.651444,0.09405753,-4.411525,-0.5679139,0.3927189,1.915,-0.8513139,-0.002497949,-0.5246511,0.09710327,0.9819623,-0.1622378,0.5155928,-0.1890606,-0.8357155,moving,-46.21382,-2.298475,-16.51829,11.58926
05/18/2023 11:31:42.699746,187,True,True,True,True,Eyes,0.1478247,0.07031307,-3.024955,0.7242792,0.02769546,-0.6889504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.524868,-0.5695786,-2.589678,0.1468667,0.06873468,-3.054468,0.02583676,0.9553115,-0.09107933,0.2800309,10.86458,147.3159,359.904,0.03559626,0.02479512,-0.9990582,0.1474851,-0.005560304,-0.4155029,1.67635,0.09170337,-4.395188,-0.5639637,0.389987,1.915002,-0.8418306,-0.001645739,-0.5397398,0.1003743,0.982074,-0.159548,0.530327,-0.1884884,-0.8265748,moving,-46.43202,-2.302022,-16.40958,11.51079
05/18/2023 11:31:42.714160,188,True,True,True,True,Eyes,0.148767,0.07018292,-3.026882,0.727239,0.02768328,-0.6858258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.571648,-0.5581824,-2.575466,0.151279,0.06831539,-3.06384,0.0271544,0.9529971,-0.08962294,0.2881441,10.74682,146.3546,0.006268861,0.03691659,0.02463685,-0.9990143,0.138636,-0.005226686,-0.3905728,1.699904,0.09161901,-4.379897,-0.5599985,0.3872453,1.915002,-0.8324714,0.000107496,-0.5540683,0.1034048,0.9824607,-0.155172,0.5443337,-0.1864696,-0.8178816,moving,-46.6787,-2.311482,-16.30035,11.432
05/18/2023 11:31:42.734368,189,True,True,True,True,Eyes,0.1498503,0.07003129,-3.029099,0.7303796,0.02763288,-0.6824824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.615957,-0.5473357,-2.561563,0.155662,0.06770381,-3.073057,0.02835607,0.95073,-0.08827726,0.2958304,10.63973,145.4409,0.09839217,0.03813244,0.02448861,-0.9989722,0.1303178,-0.004913085,-0.3671384,1.722291,0.09137213,-4.365363,-0.5564566,0.3847957,1.915002,-0.8233609,0.001687755,-0.567516,0.1061481,0.9828061,-0.1510785,0.5575033,-0.1846329,-0.8093833,moving,-46.94164,-2.31857,-16.20268,11.36157
05/18/2023 11:31:42.743935,190,True,True,True,True,Eyes,0.1510712,0.06986143,-3.031573,0.7337947,0.02755495,-0.6788123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.657772,-0.5409661,-2.547641,0.1601645,0.06707342,-3.082397,0.02922454,0.9484716,-0.08760875,0.3031047,10.5973,144.5678,0.1357005,0.03925876,0.02434844,-0.998932,0.1224988,-0.0046183,-0.3451101,1.742952,0.0891611,-4.352347,-0.5525144,0.3820699,1.915002,-0.8145471,0.002328027,-0.5800931,0.1085465,0.9829413,-0.1484726,0.5698517,-0.183905,-0.8009046,moving,-47.22898,-2.324525,-16.09386,11.28316
05/18/2023 11:31:42.764209,191,True,True,True,True,Eyes,0.1524112,0.06974962,-3.034314,0.7373207,0.02719238,-0.6749954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.699081,-0.5403772,-2.531545,0.1646926,0.06646977,-3.091288,0.02985716,0.9460741,-0.08788525,0.3103684,10.65095,143.6854,0.1131355,0.04030816,0.0242148,-0.9988936,0.1151488,-0.004341202,-0.3244035,1.76344,0.08439167,-4.338697,-0.5487491,0.3794657,1.915,-0.8055602,0.001940577,-0.5925109,0.1110478,0.9827694,-0.1477585,0.5820148,-0.1848253,-0.7918955,moving,-47.52681,-2.306929,-15.98982,11.20822
05/18/2023 11:31:42.784235,192,True,True,True,True,Eyes,0.1538906,0.06970908,-3.037322,0.7410821,0.02688402,-0.6708759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.739583,-0.5528862,-2.512779,0.1692012,0.06782866,-3.100429,0.03120486,0.9434771,-0.09025928,0.3173809,10.95995,142.8235,0.09273405,0.04129232,0.02408869,-0.9988564,0.1082399,-0.00408073,-0.3049393,1.782981,0.07270679,-4.325816,-0.5447491,0.3767003,1.915,-0.7965914,0.001588986,-0.6045163,0.1161753,0.9817591,-0.1505075,0.5932502,-0.1901228,-0.7822454,moving,-47.84655,-2.294787,-15.87916,11.12858
