Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 17:32:58.461924,0,True,True,True,True,Eyes,1.6499,0.1620328,-3.290767,-0.8677604,0.01329231,0.4968051,0,0,0,0,0,0,0,2.180954,0.2430306,2.984961,1.924226,0.1663402,-3.161534,0.05524909,-0.5545659,-0.001221292,0.830303,5.18618,292.3563,356.3554,0.4345833,0.04423526,-0.8995443,0,0,0,0.5912247,0.205195,-2.663405,-0.05687854,0.163975,1.412945,0.3849105,-0.06330659,0.9207804,-0.05925043,0.9938921,0.09310153,-0.9210503,-0.09039239,0.3788085,start,-60.20826,1.532616,-2.305215,6.619673
05/18/2023 17:32:58.482284,1,True,True,True,True,Eyes,1.924078,0.1661048,-3.150488,-0.9518859,0.02454776,0.305468,0,0,0,0,0,0,0,2.188468,0.248795,2.975543,1.929603,0.1661115,-3.155026,0.05599035,-0.556751,-0.002381219,0.828787,5.17262,292.0438,356.1834,0.435905,0.04420952,-0.8989058,0,0,0,0.5912247,0.205195,-2.663405,-0.05767077,0.163927,1.415725,0.3800454,-0.06629242,0.9225892,-0.05839832,0.9937189,0.09545964,-0.9231225,-0.09015665,0.3737869,start,-72.20814,4.594482,-2.332703,6.604875
05/18/2023 17:32:58.492218,2,True,True,True,True,Eyes,1.924267,0.1661097,-3.150221,-0.9519421,0.02452003,0.305295,0,0,0,0,0,0,0,2.195019,0.2519499,2.966644,1.934429,0.1658013,-3.148501,0.05630863,-0.5587869,-0.005005859,0.8273823,5.024581,291.7524,355.9006,0.4532611,0.04443387,-0.8902693,0.8225337,0.01221608,0.4208393,0.5912247,0.205195,-2.663405,-0.05885425,0.160456,1.4184,0.3754643,-0.07121257,0.9240971,-0.05464553,0.9936085,0.09877196,-0.9252245,-0.08758312,0.3691731,start,-72.21857,4.591904,-2.376034,6.454127
05/18/2023 17:32:58.512240,3,True,True,True,True,Eyes,1.924267,0.1661097,-3.150221,-0.9519421,0.02452003,0.305295,0,0,0,0,0,0,0,2.200718,0.2665055,2.957117,1.939154,0.1659016,-3.141797,0.0582659,-0.5607337,-0.006778943,0.8259158,5.085551,291.4572,355.5928,0.4668482,0.04459478,-0.883212,0.7731816,0.01148311,0.395589,0.5912247,0.205195,-2.663405,-0.06044763,0.1616874,1.420394,0.3710634,-0.07654099,0.9254476,-0.05414565,0.9931183,0.1038478,-0.9270276,-0.08864309,0.3643655,start,-72.21857,4.591904,-2.436863,6.494185
05/18/2023 17:32:58.532476,4,True,True,True,True,Eyes,1.924267,0.1661097,-3.150221,-0.9519421,0.02452003,0.305295,0,0,0,0,0,0,0,2.206993,0.2553197,2.948268,1.942807,0.1651522,-3.134727,0.05660298,-0.5627161,-0.009198855,0.824659,4.761234,291.1949,355.4604,0.4774748,0.04470995,-0.8775068,0.7267907,0.01079412,0.3718536,0.5912247,0.205195,-2.663405,-0.06161398,0.1542534,1.422299,0.3665322,-0.07887463,0.9270562,-0.04853097,0.993423,0.103709,-0.9291388,-0.08300361,0.3602936,start,-72.21857,4.591904,-2.480503,6.189743
05/18/2023 17:32:58.542027,5,True,True,True,True,Eyes,1.924895,0.1659835,-3.149087,-0.951949,0.02418979,0.3052997,0,0,0,0,0,0,0,2.208135,0.2526133,2.942264,1.94679,0.1637654,-3.127265,0.05608962,-0.5640587,-0.009804374,0.8237692,4.66613,291.0125,355.4291,0.4857726,0.04479196,-0.8729364,0.6831833,0.01014648,0.3495424,0.5912247,0.205195,-2.663405,-0.06545746,0.1530345,1.423634,0.3634835,-0.07942876,0.9282084,-0.04712259,0.9935157,0.1034703,-0.930408,-0.08134933,0.3573836,start,-72.21842,4.530249,-2.632556,6.135486
05/18/2023 17:32:58.562410,6,True,True,True,True,Eyes,1.925634,0.1658422,-3.14767,-0.9519588,0.02370715,0.3053068,0,0,0,0,0,0,0,2.201871,0.2570789,2.940602,1.950486,0.1626249,-3.119395,0.05673933,-0.5643949,-0.007140522,0.8235218,4.898567,290.9642,355.6364,0.4922613,0.04484715,-0.8692911,0.6421922,0.009537688,0.3285699,0.5912247,0.205195,-2.663405,-0.07287633,0.1596507,1.423563,0.3628149,-0.07580752,0.9287726,-0.05228602,0.9934593,0.1015123,-0.9303932,-0.085392,0.3564782,start,-72.21822,4.440122,-2.93058,6.398909
05/18/2023 17:32:58.582054,7,True,True,True,True,Eyes,1.926471,0.1656905,-3.145963,-0.951865,0.02296513,0.3056561,0,0,0,0,0,0,0,2.191817,0.255092,2.941832,1.953887,0.1621937,-3.111194,0.05664041,-0.5641973,-0.003643199,0.823687,5.11741,291.0004,355.9749,0.4973296,0.04488199,-0.8663996,0.6036607,0.008965426,0.3088557,0.5912247,0.205195,-2.663405,-0.08210126,0.1652606,1.423082,0.3633364,-0.06991444,0.9290311,-0.05791102,0.9935572,0.0974189,-0.9298565,-0.08919697,0.3569466,start,-72.19751,4.296782,-3.301882,6.624013
05/18/2023 17:32:58.602357,8,True,True,True,True,Eyes,1.927387,0.1654873,-3.143993,-0.9517692,0.02231188,0.3060026,0,0,0,0,0,0,0,2.181006,0.2530088,2.943456,1.95697,0.1618678,-3.10303,0.05643788,-0.5638924,-0.002551263,0.8239136,5.17066,291.0475,356.0934,0.501285,0.04490133,-0.8641162,0.567441,0.008427501,0.2903243,0.5912247,0.205195,-2.663405,-0.09175062,0.1663885,1.422781,0.3640378,-0.06785382,0.9289092,-0.05944574,0.9936165,0.09587715,-0.9294852,-0.0901226,0.3576803,start,-72.17693,4.170286,-3.689713,6.670211
05/18/2023 17:32:58.611971,9,True,True,True,True,Eyes,1.928353,0.1652487,-3.141803,-0.9516569,0.02150964,0.3064088,0,0,0,0,0,0,0,2.171554,0.2491356,2.94379,1.95975,0.1604171,-3.094715,0.05578533,-0.5638031,-0.002921668,0.8240181,5.085472,291.066,356.1017,0.5043703,0.04490764,-0.8623186,0.5333946,0.00792185,0.2729048,0.5912247,0.205195,-2.663405,-0.1008786,0.1650685,1.422487,0.3642353,-0.06771889,0.9288418,-0.05808885,0.9937589,0.09523072,-0.9294938,-0.08864173,0.3580283,start,-72.15279,4.015528,-4.056456,6.619121
