Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/18/2023 19:04:50.645853,220,True,True,True,True,Eyes,0.1302124,-0.003032506,-2.298768,-0.1247529,0.0410965,-0.9913363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370828,-0.2865779,-2.065301,0.139204,-0.001380965,-2.28174,-0.02352975,0.9811003,-0.07081626,-0.1785326,8.473811,200.5371,358.7901,0.1492269,0.0009071681,-0.9888023,0.0,0.0,0.0,-0.8041411,0.1581888,-3.708598,-0.5796007,0.4008001,1.915002,-0.9351451,-0.02088406,0.3536493,-0.07145609,0.9888628,-0.1305541,-0.3469841,-0.1473573,-0.9262226,moving,-13.805973895929148,10.609986554335725,-16.839134182337464,11.821079248293893,-0.9433451,0.159569765,-1.4268579999999997,-0.23478156114624768,0.17897609113185417,0.9554292466829989,-11.785912863687566,11.214666433880181,3.148147764316486,3.2660077826611853,5.089477595661757
05/18/2023 19:04:50.665397,221,True,True,True,True,Eyes,0.1300897,-0.003085592,-2.299168,-0.123989,0.04097766,-0.9914371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.907432,-0.2889882,-2.088921,0.1361403,-0.002926782,-2.291723,-0.02192259,0.9823941,-0.07068674,-0.1715367,8.418676,199.729,358.9097,0.1380233,0.0006068006,-0.9904284,-0.3819269,-0.01667911,-0.5312698,-0.7968239,0.166252,-3.721662,-0.5756481,0.398067,1.915,-0.9401892,-0.0188225,0.3401325,-0.06732398,0.9890455,-0.1313634,-0.333934,-0.1464055,-0.9311572,moving,-13.006273930490407,10.583816955069171,-16.73075328861497,11.742727666723361,-0.9329642,0.169178782,-1.4299389999999996,-0.22141815230095246,0.17911473948605505,0.9585884810109916,-11.019657663388925,11.14724847390668,3.7775091298652175,3.9006179672819514,5.7420561395334415
05/18/2023 19:04:50.685819,222,True,True,True,True,Eyes,0.1298516,-0.003221097,-2.299964,-0.1227199,0.04085945,-0.9915999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876952,-0.2954904,-2.111759,0.1332855,-0.004226625,-2.301761,-0.02069124,0.9835848,-0.07153025,-0.164366,8.482887,198.9001,359.0042,0.1285408,0.0003586015,-0.9917039,-0.3590113,-0.01567836,-0.4993936,-0.7851595,0.1992878,-3.734772,-0.5717274,0.395356,1.914999,-0.9451113,-0.0171889,0.3262959,-0.06421747,0.9889106,-0.1339103,-0.3203757,-0.147514,-0.9357345,moving,-12.22633505450566,10.668848180000161,-16.623116898666407,11.664959619025467,-0.918445,0.203514425,-1.433011,-0.20827335235294916,0.18107251193667218,0.9611633504825966,-10.261027725107452,11.188662366022053,4.384647394525855,4.5082068036081315,6.379893237784992
05/18/2023 19:04:50.697519,223,True,True,True,True,Eyes,0.1294954,-0.003380126,-2.30112,-0.120778,0.04065058,-0.9918469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8482708,-0.2973451,-2.134085,0.1301818,-0.006337583,-2.311993,-0.0203586,0.9846672,-0.07173657,-0.1577018,8.493341,198.123,358.9881,0.1204942,0.0001494144,-0.9927138,-0.3374706,-0.01473766,-0.46943,-0.7752597,0.2003403,-3.747411,-0.5679178,0.3927218,1.914999,-0.9494314,-0.01746693,0.3134884,-0.06271886,0.9888787,-0.1348521,-0.3076466,-0.1476945,-0.9399681,moving,-11.554501551151033,10.670084293395186,-16.51840675473999,11.589347090120333,-0.9054415,0.206677883,-1.4354179999999999,-0.19697222353959828,0.1815262170909977,0.9634574425684016,-9.614915918691075,11.154533759891944,4.9211197337325165,5.048306543749146,6.917170545501652
05/18/2023 19:04:50.716227,224,True,True,True,True,Eyes,0.1290324,-0.003591813,-2.302651,-0.1183974,0.04050612,-0.9921397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8198096,-0.3036311,-2.154695,0.1271767,-0.007018745,-2.321803,-0.02054408,0.9856181,-0.07274372,-0.15114,8.604044,197.3556,358.9274,0.1136431,-2.939753e-05,-0.9935214,-0.3172224,-0.0138534,-0.4412642,-0.775439,0.1523319,-3.760403,-0.5640905,0.3900749,1.915,-0.9534694,-0.01850826,0.3009215,-0.0624862,0.9885726,-0.137185,-0.2949437,-0.1496051,-0.9437302,moving,-10.931744219076474,10.767437015505235,-16.41308758459088,11.513322921079517,-0.9026157,0.15935064499999999,-1.4386,-0.1864176109210908,0.18354811185972095,0.9651727510510791,-9.00615966030078,11.216156555688915,5.405178776704487,5.53185962175498,7.4128866930736175
05/18/2023 19:04:50.735465,225,True,True,True,True,Eyes,0.1284492,-0.003871453,-2.304529,-0.1154573,0.0403212,-0.9924937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914644,-0.3029538,-2.176386,0.1240594,-0.008510023,-2.33225,-0.01965855,0.9866361,-0.07215028,-0.1447661,8.514745,196.6173,358.9628,0.1077854,-0.0001862674,-0.9941738,-0.298189,-0.0130222,-0.4147884,-0.7610794,0.1896329,-3.775757,-0.5601649,0.3873603,1.915001,-0.9573127,-0.01790185,0.2884996,-0.0596815,0.9888158,-0.1366803,-0.2828262,-0.1480639,-0.9476742,moving,-10.342940660140528,10.680120888468576,-16.30494512166954,11.435311800103266,-0.8851388,0.198142923,-1.4435069999999999,-0.17652714638012224,0.18241527768093627,0.967244935314679,-8.44894195172786,11.100555583789873,5.8766261473389285,6.009643126867641,7.8631321704836035
05/18/2023 19:04:50.745792,226,True,True,True,True,Eyes,0.1277626,-0.004213724,-2.306749,-0.1121005,0.0400444,-0.9928897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7607414,-0.3046249,-2.197811,0.1208572,-0.01041886,-2.342473,-0.01761854,0.9876508,-0.07195272,-0.1380527,8.4527,195.8504,359.1348,0.1025829,-0.0003354641,-0.994724,-0.2802977,-0.01224086,-0.3899011,-0.7479063,0.1905211,-3.789166,-0.5563277,0.3847066,1.915001,-0.9612622,-0.01493539,0.2752312,-0.05466847,0.9890248,-0.1372637,-0.2701604,-0.1469929,-0.9515287,moving,-9.725981004492752,10.636968511150918,-16.19913030695474,11.359014966652346,-0.8687635,0.20093996,-1.4466929999999998,-0.16611419479716802,0.18202099228948537,0.9691617331955176,-7.860133595036006,11.026284314246684,6.375023167324856,6.5132950935656435,8.345632141931596
05/18/2023 19:04:50.765451,227,True,True,True,True,Eyes,0.1269485,-0.00458109,-2.30929,-0.1082215,0.03971721,-0.993333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306803,-0.3126473,-2.217703,0.1175922,-0.01226164,-2.352843,-0.01571344,0.9884781,-0.07318483,-0.1315607,8.558419,195.1112,359.3158,0.09786338,-0.000484396,-0.9951994,-0.2634798,-0.01150641,-0.366507,-0.7489918,0.1476636,-3.800761,-0.5524554,0.3820293,1.915,-0.9648899,-0.01180829,0.2623896,-0.05032127,0.9887941,-0.1405487,-0.2577897,-0.1488177,-0.9546717,moving,-9.173189444687422,10.756464824083741,-16.092240313237358,11.282003958851316,-0.866584,0.15992524,-1.447918,-0.15668751002102507,0.18432959671393945,0.9702945030763194,-7.316386014664434,11.113051038704588,6.8016253854889746,6.938980926890769,8.77748049038031
05/18/2023 19:04:50.785854,228,True,True,True,True,Eyes,0.1260315,-0.004868255,-2.312159,-0.1039744,0.03936326,-0.9938008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6998969,-0.3179832,-2.237593,0.1142078,-0.01324357,-2.363169,-0.01356207,0.9893227,-0.07362501,-0.125045,8.573006,194.3708,359.512,0.09357292,-0.00063412,-0.9956118,-0.247671,-0.01081603,-0.3445166,-0.7382429,0.171276,-3.813966,-0.5483963,0.3792223,1.915001,-0.9683599,-0.008421632,0.2494168,-0.0452474,0.9887908,-0.142286,-0.2454228,-0.1490695,-0.9578865,moving,-8.633262937442678,10.782265871874182,-15.980053961303554,11.201206071118001,-0.8524507,0.18451957000000002,-1.4507970000000001,-0.1475173788039913,0.1850305597699791,0.9715979040095934,-6.794593284300005,11.109670534125874,7.219310874740925,7.358726060863061,9.185916753558729
05/18/2023 19:04:50.805754,229,True,True,True,True,Eyes,0.1250615,-0.004721132,-2.315387,-0.09939432,0.03859269,-0.9942994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6695777,-0.3256801,-2.256787,0.1107264,-0.01162335,-2.373834,-0.0111755,0.9901015,-0.07400409,-0.1187335,8.58039,193.6568,359.736,0.08966406,-0.000781019,-0.9959714,-0.2328108,-0.01016707,-0.3238456,-0.726949,0.1847208,-3.825786,-0.5448301,0.3767557,1.915002,-0.9715549,-0.004556218,0.2367705,-0.03970328,0.988797,-0.1438893,-0.2334623,-0.149197,-0.9608515,moving,-8.13328280515892,10.777273847610415,-15.881385675678427,11.130168504943173,-0.8376754,0.19634415,-1.451952,-0.1390295311558629,0.18517565298931382,0.972820996081304,-6.314360077129651,11.07854118753433,7.6134783037546665,7.756135167164547,9.567164897878076
