Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
05/18/2023 19:10:27.001659,181,True,True,True,True,Eyes,1.305227,0.0143871,-1.838192,-0.633578,0.1398347,-0.7609371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115938,0.1169629,-0.5955241,1.200765,0.0196525,-1.844803,-0.02417805,0.9355536,0.01951361,-0.3518158,358.8827,221.2506,356.6187,0.5975202,0.005725095,-0.8018331,-0.2271873,0.001849447,0.02271939,0.7325814,0.1601698,-2.550958,-0.1207329,0.1172016,0.8421896,-0.7512822,-0.0589701,0.6573412,-0.03150933,0.9980693,0.05352449,-0.6592284,0.01949961,-0.7516897,moving,39.78173,-10.41286,-8.158112,7.922565
05/18/2023 19:10:27.021117,182,True,True,True,True,Eyes,1.299936,0.01462928,-1.838688,-0.62968,0.1400463,-0.764127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104312,0.1209509,-0.6200817,1.191247,0.01996112,-1.846019,-0.02552385,0.9369634,0.01942906,-0.3479522,358.9316,220.7789,356.4821,0.5956767,0.005790871,-0.8032032,-0.2135561,0.001738481,0.02135623,0.7352422,0.157814,-2.551026,-0.1224554,0.1150235,0.8341186,-0.7565559,-0.0613506,0.6510453,-0.03430905,0.9979421,0.05417079,-0.6530288,0.01864647,-0.7571038,moving,39.49028,-10.38569,-8.351829,7.851471
05/18/2023 19:10:27.031732,183,True,True,True,True,Eyes,1.294477,0.01486841,-1.839222,-0.6256719,0.1402212,-0.7673804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092636,0.1223149,-0.6436713,1.181926,0.02017328,-1.8469,-0.02625659,0.9383367,0.01916148,-0.3441918,358.9752,220.3192,356.4181,0.5938504,0.005861571,-0.8045538,-0.2007427,0.001634172,0.02007486,0.7377293,0.1556122,-2.55109,-0.1242752,0.1131308,0.8266168,-0.7616854,-0.06246549,0.6449292,-0.0360846,0.9978868,0.05403444,-0.6469417,0.01788523,-0.7623299,moving,39.19156,-10.35525,-8.549927,7.793087
05/18/2023 19:10:27.051808,184,True,True,True,True,Eyes,1.288858,0.01509732,-1.839783,-0.6213675,0.1405833,-0.7708039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.081004,0.1196645,-0.6679447,1.172393,0.02034128,-1.848277,-0.02605521,0.9397457,0.01860007,-0.340372,359.0132,219.8508,356.4659,0.5920333,0.005936618,-0.8058913,-0.1886982,0.001536121,0.01887037,0.7403217,0.153317,-2.551157,-0.1257938,0.1113524,0.8186481,-0.7669361,-0.06163244,0.638757,-0.03630867,0.9979503,0.0526956,-0.6406956,0.01722174,-0.767602,moving,38.8733,-10.3363,-8.735766,7.745827
05/18/2023 19:10:27.071634,185,True,True,True,True,Eyes,1.283077,0.01530872,-1.840371,-0.61694,0.1409528,-0.774285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.068812,0.1161956,-0.6921725,1.162813,0.02028474,-1.849335,-0.02465973,0.9411848,0.01918635,-0.3364449,358.8814,219.3741,356.5981,0.5902187,0.006015167,-0.8072207,-0.1773763,0.001443954,0.01773814,0.7429178,0.1510185,-2.551224,-0.1272833,0.1075526,0.8113465,-0.7723938,-0.05932901,0.6323674,-0.03350842,0.9980476,0.05270907,-0.6342599,0.01952251,-0.7728738,moving,38.54737,-10.31729,-8.91584,7.551141
05/18/2023 19:10:27.081662,186,True,True,True,True,Eyes,1.277143,0.01549975,-1.840984,-0.6122904,0.1414103,-0.777884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05625,0.1109653,-0.716902,1.15308,0.02005598,-1.850521,-0.02325678,0.9426494,0.01903404,-0.3324292,358.8298,218.8839,356.7603,0.5883998,0.006096143,-0.8085468,-0.1667337,0.001357317,0.01667386,0.7455248,0.1487104,-2.551291,-0.1288036,0.1051515,0.8037939,-0.7778999,-0.05650092,0.625843,-0.03119103,0.9981937,0.05134732,-0.6276137,0.02042238,-0.778257,moving,38.2071,-10.30319,-9.103938,7.453048
05/18/2023 19:10:27.101424,187,True,True,True,True,Eyes,1.271054,0.01566431,-1.841626,-0.6075039,0.1419033,-0.7815385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042958,0.1049666,-0.742398,1.143358,0.0197169,-1.851538,-0.02186114,0.944184,0.01853079,-0.3281698,358.8171,218.3634,356.9358,0.5865718,0.006178422,-0.8098735,-0.1567297,0.001275878,0.01567342,0.7481328,0.1464015,-2.551358,-0.1301662,0.1034552,0.7964635,-0.7836533,-0.05344436,0.618895,-0.02911938,0.9983574,0.04934128,-0.6205154,0.02064462,-0.7839224,moving,37.85856,-10.29103,-9.281803,7.400893
05/18/2023 19:10:27.111656,188,True,True,True,True,Eyes,1.264836,0.01578904,-1.842301,-0.6024733,0.142484,-0.7853179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029118,0.1017933,-0.7683315,1.133513,0.01922245,-1.85278,-0.02058388,0.9457178,0.01882696,-0.3237897,358.7233,217.8325,357.0688,0.5847296,0.006260726,-0.8112038,-0.1473259,0.001199325,0.01473302,0.7507679,0.1440685,-2.551426,-0.1315444,0.1006953,0.7891409,-0.7894731,-0.05112503,0.6116523,-0.02674112,0.9984437,0.04893967,-0.6132024,0.02228029,-0.7896115,moving,37.49438,-10.28358,-9.463802,7.27171
05/18/2023 19:10:27.131642,189,True,True,True,True,Eyes,1.258469,0.01587193,-1.842996,-0.5973167,0.1430062,-0.7891526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01465,0.09987617,-0.7941477,1.123703,0.01831938,-1.853758,-0.01989498,0.9472482,0.01870272,-0.3193356,358.6978,217.2923,357.1542,0.5828688,0.006341321,-0.8125412,-0.1384863,0.001127366,0.01384904,0.7533553,0.1417778,-2.551493,-0.1332029,0.09922127,0.7820781,-0.7952579,-0.04963586,0.6042361,-0.02574608,0.9985089,0.04813859,-0.6057243,0.02272588,-0.7953499,moving,37.12241,-10.27138,-9.665815,7.230416
05/18/2023 19:10:27.151382,190,True,True,True,True,Eyes,1.251989,0.01590286,-1.843721,-0.5919374,0.1435542,-0.7930967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999578,0.09826566,-0.8204417,1.113711,0.01740281,-1.854841,-0.01972322,0.9487911,0.01806953,-0.3147696,358.7467,216.738,357.2021,0.580986,0.006418526,-0.8138879,-0.1301772,0.001059724,0.01301809,0.755935,0.1394938,-2.551559,-0.1350111,0.09869651,0.7748266,-0.8010624,-0.04880191,0.5965885,-0.02605096,0.998569,0.04670497,-0.5980141,0.02187188,-0.8011874,moving,36.73627,-10.25972,-9.884368,7.259176
