Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,globalTargetVector.x,globalTargetVector.y,globalTargetVector.z,localEyeGazeX,localEyeGazeY,localEyeGazeZ,CalibratedGazeAngleX,CalibratedGazeAngleY,cosineError,euclideanError,recalibratedEuclideanError
05/19/2023 11:20:50.940583,181,True,True,True,True,Eyes,1.10546,-0.278594,-3.424419,-0.5154075,0.4434211,0.7333027,1.149493,0.5130023,0.2311155,-2.581492,-0.6780012,-0.42764,-0.5978616,-0.1866632,0.0523389,1.142348,1.114873,-0.2831029,-3.427584,-0.1895279,-0.2219058,-0.08033695,0.9530913,336.6136,334.6799,355.6873,0.3063074,-0.07716611,-0.9487996,0,0,0,0.5231709,0.2375293,-2.572526,-0.174004,0.05770183,1.148342,0.8886075,-0.06902221,0.4534452,0.2372516,0.9152503,-0.3256203,-0.3925408,0.3969292,0.8296739,moving,-8.989016522543421,2.5985391612727566,-8.616271907318874,2.8765760418340047,-0.5917021,0.5206322,0.8550580000000001,-0.156088378937226,0.04478182047334628,0.9867274290930559,-8.374668640252317,2.461566750242667,0.4643631022815734,0.4650194137142296,0.4802133388030553
05/19/2023 11:20:50.950213,182,True,True,True,True,Eyes,1.105482,-0.2786048,-3.424349,-0.5151018,0.4433774,0.7335438,1.14815,0.5140682,0.230459,-2.58213,-0.606705,-0.4712475,-0.6401833,-0.1862078,0.05143142,1.141012,1.114827,-0.2829489,-3.427547,-0.1897517,-0.2217898,-0.08051484,0.9530588,336.584,334.6973,355.6689,0.3063056,-0.0771685,-0.9487999,0,0,0,0.5272838,0.2344327,-2.572561,-0.170401,0.05508852,1.145347,0.8886533,-0.06930073,0.4533132,0.2376408,0.9150233,-0.3259744,-0.3922019,0.3974039,0.8296071,moving,-8.980640937595863,2.5632523173014037,-8.46220832632716,2.7536712670894503,-0.5875432,0.5173816,0.8549860000000002,-0.15594834302297958,0.04417510103565098,0.986776856472281,-8.364480399032617,2.428220372665372,0.5522862190703264,0.5522967941834079,0.3398073460870438
05/19/2023 11:20:50.970405,183,True,True,True,True,Eyes,1.105503,-0.2786164,-3.424278,-0.5148178,0.4433457,0.7337624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5432972,-1.125632,3.392349,1.114753,-0.2830041,-3.42746,-0.1900974,-0.2217495,-0.08050168,0.9530005,336.545,334.6999,355.6784,0.3063051,-0.07717108,-0.9487999,0,0,0,0.5312178,0.2314709,-2.572595,-0.1666714,0.05267283,1.142558,0.8886933,-0.0691283,0.453261,0.2377442,0.9147649,-0.3266233,-0.3920484,0.3980281,0.8293803,moving,-8.958811938057124,2.523802627431938,-8.299519477764932,2.6395120338154174,-0.5835352000000001,0.514475,0.8548649999999998,-0.15557701803335522,0.043498249763840785,0.986865609030136,-8.341492152326136,2.3909339806120213,0.6692761960075393,0.6693692664917844,0.2520967154570071
05/19/2023 11:20:50.990276,184,True,True,True,True,Eyes,1.105541,-0.2786258,-3.424199,-0.5145805,0.4433481,0.7339274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443565,-1.12671,3.391735,1.114722,-0.283036,-3.427383,-0.1902782,-0.2218979,-0.08042041,0.9529365,336.5258,334.6782,355.6967,0.3063058,-0.07717384,-0.9487995,0,0,0,0.5352222,0.2284559,-2.57263,-0.1624983,0.05061501,1.139771,0.8885878,-0.06882644,0.4535137,0.2377158,0.9146535,-0.326956,-0.3923047,0.3983365,0.829111,moving,-8.920434358823377,2.5076237319650163,-8.114035259960355,2.5427233618675826,-0.5794998,0.5114919,0.8547529999999997,-0.1549178122203523,0.04322411488638081,0.9869813597904311,-8.304686348450984,2.375627912910214,0.8066241250781834,0.8071626172379334,0.2535127740468442
05/19/2023 11:20:51.010257,185,True,True,True,True,Eyes,1.105576,-0.2786395,-3.424122,-0.5143715,0.4433624,0.7340652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460064,-1.127579,3.391137,1.114664,-0.2829396,-3.427366,-0.1904092,-0.2221126,-0.08040573,0.9528617,336.5102,334.6501,355.7075,0.3063079,-0.07717673,-0.9487985,0,0,0,0.539345,0.2253519,-2.572665,-0.1580543,0.04842815,1.136899,0.8884018,-0.0686465,0.4539052,0.2378156,0.9145586,-0.3271489,-0.3926652,0.3985854,0.8288206,moving,-8.879143879286142,2.4947177089278467,-7.914661114434536,2.439136810073906,-0.5753190000000001,0.5082915,0.8547009999999999,-0.15420794159004944,0.043006625768012174,0.9871019787679792,-8.265392475463234,2.3634129362044205,0.9648493919006412,0.9660829364051563,0.35881275434806403
05/19/2023 11:20:51.020669,186,True,True,True,True,Eyes,1.105622,-0.2786542,-3.424036,-0.5141601,0.4433798,0.7342027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5483595,-1.128572,3.390395,1.114615,-0.2830581,-3.427341,-0.1905935,-0.2224253,-0.08038644,0.9527535,336.4883,334.6092,355.7227,0.3063114,-0.07717983,-0.9487972,0,0,0,0.5433909,0.2223058,-2.572701,-0.1534713,0.04636291,1.134195,0.88813,-0.06839128,0.4544752,0.2379626,0.9144242,-0.3274174,-0.3931907,0.3989373,0.8284022,moving,-8.825598956239723,2.4763161255634465,-7.70605823725136,2.340797633712767,-0.5712240999999999,0.5053639,0.8546400000000003,-0.15328742949672916,0.042695783686799216,0.9872587777178766,-8.214323683573017,2.3459992583066103,1.1257982127791963,1.1277130322499882,0.5082920625220978
05/19/2023 11:20:51.040121,187,True,True,True,True,Eyes,1.105664,-0.2786674,-3.423951,-0.5139693,0.4433845,0.7343335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5493264,-1.127869,3.390336,1.114563,-0.2830575,-3.427222,-0.1905048,-0.2225573,-0.0804325,0.9527365,336.4966,334.5943,355.7184,0.3063163,-0.07718319,-0.9487953,0,0,0,0.5474207,0.2192718,-2.572735,-0.1494587,0.04476765,1.131278,0.8879977,-0.06846549,0.4547226,0.2380584,0.9144771,-0.3272,-0.3934315,0.3988034,0.8283523,moving,-8.799812366269334,2.484296492174526,-7.526041774460116,2.2661624617518723,-0.5671423,0.5023293,0.8544869999999998,-0.15284217388495203,0.042836283525433005,0.9873217652320041,-8.190872874905592,2.353527254551538,1.2896520162066052,1.2923134201061435,0.6705467911641003
05/19/2023 11:20:51.050175,188,True,True,True,True,Eyes,1.105706,-0.2786815,-3.423868,-0.5137842,0.4434022,0.7344524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550068,-1.126867,3.39048,1.11451,-0.2830303,-3.427174,-0.1903799,-0.2226797,-0.08030313,0.9527438,336.5137,334.5767,355.7337,0.3063225,-0.07718671,-0.9487931,0,0,0,0.5515178,0.2161871,-2.572771,-0.1452996,0.04331699,1.128359,0.8879303,-0.06822909,0.4548896,0.2378041,0.9146137,-0.3270029,-0.3937372,0.3985304,0.8283384,moving,-8.772129660651965,2.5048584961090037,-7.337639206017018,2.1984692518256153,-0.5629921999999999,0.49921740000000003,0.854403,-0.15236278693026784,0.04319384278165095,0.9873803300171804,-8.16651194637477,2.372942623835145,1.4633707289965128,1.466846015589681,0.8470365855431192
05/19/2023 11:20:51.070219,189,True,True,True,True,Eyes,1.105748,-0.2786939,-3.423788,-0.5136105,0.443404,0.7345727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5503354,-1.126776,3.390433,1.114537,-0.2830637,-3.427129,-0.1903829,-0.2227343,-0.08021866,0.9527376,336.5153,334.5678,355.7453,0.3063298,-0.07719041,-0.9487904,0,0,0,0.5555285,0.2131675,-2.572805,-0.1414323,0.04162231,1.125553,0.8879088,-0.06804504,0.4549592,0.2376642,0.9146386,-0.327035,-0.3938701,0.3985048,0.8282875,moving,-8.751694180899634,2.508365691661977,-7.162011731096314,2.117800353592059,-0.5590085000000001,0.4962312,0.8543240000000001,-0.15201018781265627,0.04325665542541948,0.9874318554078085,-8.14773630338898,2.376246566401635,1.6327456479649962,1.63695802466476,1.0190423825028927
05/19/2023 11:20:51.090000,190,True,True,True,True,Eyes,1.105794,-0.2787092,-3.423705,-0.5134365,0.4434076,0.7346922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5510274,-1.124761,3.391006,1.114572,-0.2830306,-3.427136,-0.190075,-0.222819,-0.08043751,0.9527607,336.5444,334.5643,355.7133,0.306338,-0.07719421,-0.9487875,0,0,0,0.5595322,0.2101531,-2.57284,-0.1377169,0.04028127,1.122734,0.887763,-0.0685708,0.4551647,0.23798,0.9148026,-0.326346,-0.394008,0.398038,0.8284464,moving,-8.740168010297916,2.532789118648429,-6.993087102782123,2.0547674254411805,-0.5550397999999999,0.4931837,0.8542960000000002,-0.15180875644763442,0.04367893280079646,0.9874442871909567,-8.138669975035345,2.3993184581722473,1.8062950979133063,1.811296893549738,1.1962756920359061
