id,taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
03,calibration,A,0.7823517851676843,4.506340923241976,0.7669341070909953
04,calibration,A,1.2108419170955116,6.4954470079386475,1.1964737139486439
32,calibration,A,1.1914673725633929,4.973395684048943,1.1769573963620998
34,calibration,A,2.131417826727056,7.466295846465834,2.103405049139752
05,calibration,A,1.1833381772449407,10.359204092461734,1.1628082934352124
02,calibration,A,0.9815685714882275,7.792783406216111,0.9672267775228731
18,calibration,A,1.0911945276602606,7.362831142357274,1.062383698771895
27,calibration,A,5.834301570162047,5.599667049000709,5.72128927529446
29,calibration,A,1.5989473513459835,7.118860040178638,1.5701437115356844
10,calibration,A,1.7034924928436905,6.6057379285750235,1.681673377617704
19,calibration,A,1.051567181624997,5.453811189828492,1.0334935192450814
43,calibration,A,0.8613814365721041,6.721203340111075,0.847470174718769
07,calibration,A,1.9277344869596809,4.820114256443844,1.8853237982091207
36,calibration,A,1.7619789295934163,8.208045936962993,1.7318597045255915
09,calibration,A,0.7263974602054348,8.004285798993523,0.7143791276160635
53,calibration,A,1.1119663845959564,6.013504773036927,1.1000895927054448
37,calibration,A,1.162127571299192,6.150947468448054,1.1443047938484354
08,calibration,A,0.7685779938915789,2.5906872287025626,0.7539826130618963
01,calibration,A,4.6574420115555615,8.38490801201831,4.581310536154271
06,calibration,A,1.2312128526952282,9.524673843372662,1.2090930215222013
39,calibration,A,1.3518756851293812,9.679823144300933,1.338776148902733
52,calibration,A,1.574936658108299,8.050896397904054,1.5490714035109634
46,calibration,A,1.133599545192689,7.3918197349385695,1.1150339939275966
41,calibration,A,1.7398040814674778,9.696630452885781,1.711277330907639
49,calibration,A,0.841663653349967,7.39338965507614,0.8269143418409509
47,calibration,A,1.6020892778547149,3.8571072950046035,1.5729304178540235
25,calibration,A,2.7145275108397104,5.107808644580058,2.682954026534248
50,calibration,B,0.691850708666932,5.775860203155162,0.6764874241583861
35,calibration,B,0.8337237755149627,7.469726570393652,0.8205137267350773
51,calibration,B,1.5340460100361424,5.131074802040229,1.494739891086945
33,calibration,B,1.2491975271858604,4.363805369120425,1.2229823198258913
20,calibration,B,2.5357262927768263,6.0845870699316285,2.480028786000859
11,calibration,B,1.4329804698766995,6.77996844681193,1.4039621549732166
16,calibration,B,0.9387267123799559,7.050664550917202,0.9194285545052785
42,calibration,B,0.6011591865486788,4.299590778051668,0.5882429262899515
45,calibration,B,0.9274857358032137,6.051042257022565,0.9093793791502798
28,calibration,B,1.6595186168867933,5.893743241106529,1.6233984083589876
17,calibration,B,3.178311658693248,6.038097700464323,3.121178273559261
26,calibration,B,1.2977354828419478,7.1439858448169895,1.2768408750736924
21,calibration,B,0.9340825824467006,7.182664007738101,0.9154806505862643
44,calibration,B,0.6003411796825263,5.807653303186062,0.5917712137070932
38,calibration,B,1.6563155906929836,5.294808045121023,1.6327564598043756
31,calibration,B,1.3490145197465053,6.824834671211155,1.3305090649482625
54,calibration,B,0.5736509133314261,5.925710464920064,0.5615988746766046
30,calibration,B,1.1148515568442672,2.4345526776400637,1.0951630682338847
48,calibration,B,1.1239834621419758,3.808026182396267,1.1079858396965205
24,calibration,B,1.0244323032899374,4.74935876342306,1.0049187332488752
23,calibration,B,1.9517634084276918,5.840814771434902,1.904892614276705
15,calibration,B,1.9808371823907986,5.90818409638971,1.9441717122474267
12,calibration,B,0.8952657282487874,6.145556101164919,0.8771183240497074
40,calibration,B,0.5331830907057405,8.26913526502127,0.525263938568746
13,calibration,B,1.4408875245032544,5.3011944941964835,1.4156026577450633
14,calibration,B,0.7656638775145471,2.771506887063677,0.7543273956106139
22,calibration,B,1.3707703274096046,7.100387446424357,1.3422940038420375
03,ssHeadConstrained,A,2.43924546774381,4.672188130606568,2.404300010316258
04,ssHeadConstrained,A,2.7233262248341386,5.744443222779374,2.6863774182439446
32,ssHeadConstrained,A,2.6592221721715608,4.506868348813693,2.623775742158492
34,ssHeadConstrained,A,2.8524799146555666,6.476995427072287,2.812640017364965
05,ssHeadConstrained,A,2.535818352404513,9.093761855920585,2.5014643788351956
02,ssHeadConstrained,A,2.7435703453607405,7.022778099001118,2.708313839355464
18,ssHeadConstrained,A,2.6987158213050533,6.650348883160539,2.6541956347055895
27,ssHeadConstrained,A,3.8378243784465607,3.32739049658492,3.767155581244306
29,ssHeadConstrained,A,2.3884340812188567,5.660746587424035,2.3544823114844435
10,ssHeadConstrained,A,2.3417373220479236,5.109512311250088,2.3097495929197716
19,ssHeadConstrained,A,2.3983320508901156,5.074076537505719,2.3647751457058552
43,ssHeadConstrained,A,2.5576828144212653,6.123546605726496,2.5235148514970023
07,ssHeadConstrained,A,2.529013346378682,4.036857044243813,2.4920942433599604
36,ssHeadConstrained,A,2.292793216682662,7.405053857143482,2.2612736692918536
09,ssHeadConstrained,A,2.094803015953217,7.00859773007698,2.0640134665566903
53,ssHeadConstrained,A,2.4346231209512417,4.930910800735319,2.403544415134664
37,ssHeadConstrained,A,2.448373877659061,5.466153086649401,2.417204012341052
08,ssHeadConstrained,A,2.274952374358798,2.561469495000294,2.24327832250342
01,ssHeadConstrained,A,2.9150463762790477,5.767349879791566,2.8715247926894416
06,ssHeadConstrained,A,2.6904887238050224,8.452439311025719,2.6541125217709265
39,ssHeadConstrained,A,2.4617657236755157,9.275622279109447,2.4316227216208604
52,ssHeadConstrained,A,2.6584004649584254,7.061675787713723,2.6210326246031164
46,ssHeadConstrained,A,2.6401917035308595,6.5475426070298,2.6064848124053817
41,ssHeadConstrained,A,2.3862148078014194,8.211288941680289,2.3546380835809897
49,ssHeadConstrained,A,2.7479148617201647,6.4251407227993065,2.7110448033772836
47,ssHeadConstrained,A,2.5520633374114294,3.20154572599555,2.516246353264948
25,ssHeadConstrained,A,2.4696096067177216,3.753502751636261,2.436523055001393
50,ssHeadConstrained,B,2.5792673347494386,5.237736045643025,2.5435808319231694
35,ssHeadConstrained,B,2.362513551557051,6.700443055338429,2.329125768837516
51,ssHeadConstrained,B,2.499146953838526,4.683876378414467,2.46135509214814
