id,taskname,hololens,euclideanError,recalibratedEuclideanError,cosineError
03,calibration,A,0.8501025587065001,1.0578331429570265,0.8330002720647403
04,calibration,A,1.10461645754295,1.2864882630301102,1.089578788909997
32,calibration,A,1.181530573248304,1.186761179704827,1.1644373826199108
34,calibration,A,2.415887704368891,1.891695712253931,2.3839273973340123
05,calibration,A,1.1831973056717486,1.0879557892054859,1.16323662109752
02,calibration,A,0.8643253578438729,1.0383480139521915,0.8513675613135934
18,calibration,A,0.9761744766170881,0.9416711791635474,0.9494402671252571
27,calibration,A,4.905691842306408,2.9108684057834435,4.799459349205915
29,calibration,A,1.2959616149482376,1.691099984364137,1.2716884496370322
10,calibration,A,1.768361590778917,1.8044257478317187,1.7475614826363517
19,calibration,A,1.0334634114656995,1.3682485245540994,1.0161269732728715
43,calibration,A,0.8120244398518048,1.014653639349585,0.7972297026486268
07,calibration,A,1.0634781510010096,1.2448092626661809,1.042193588518119
36,calibration,A,1.0800044098269335,0.9347667589844363,1.063687798214623
09,calibration,A,0.7949045971880194,1.190710843210474,0.7861780021918898
53,calibration,A,1.1601757048729615,0.9451123445906231,1.1451004801005875
37,calibration,A,1.1020762276501779,1.2833408735429324,1.081826889418595
08,calibration,A,0.7523381606537844,1.2286565491573274,0.7357298087657543
01,calibration,A,3.8324443410430415,4.487302784665759,3.7665548574056316
06,calibration,A,1.1811855696307965,1.2321320432283291,1.159460124958268
39,calibration,A,1.4195647789941748,1.0723094179083958,1.4046902086425073
52,calibration,A,1.478077638443284,1.3235245000374187,1.4583505247688036
46,calibration,A,1.0980143840970606,1.228954131623723,1.0808492607903455
41,calibration,A,1.6616126647908362,1.6683797265258835,1.635904420005488
49,calibration,A,0.8138533138587136,0.969681935839762,0.7983235012062361
47,calibration,A,1.0030356011399564,1.4876192833217552,0.9850382144481784
25,calibration,A,1.0912523399594214,1.0154948993637052,1.078259137664618
50,calibration,B,0.7071304085312503,1.1132129127998338,0.6884310242126532
35,calibration,B,0.8390343329856621,0.8718325918322789,0.8255006764941145
51,calibration,B,1.7650666665837635,1.981676188627772,1.7110779423294231
33,calibration,B,1.3733754936433649,1.3694362513363905,1.3442852848516353
20,calibration,B,1.2106170510795604,2.310174937915822,1.1865808662153048
11,calibration,B,1.5035547525463167,1.7458436270633584,1.4718644699248367
16,calibration,B,0.7436708933309415,1.244894203386372,0.7263956345313368
42,calibration,B,0.7504204335457014,0.9663018610629679,0.7334619294241604
45,calibration,B,0.6929417428261393,1.138259551300533,0.6799899299749508
28,calibration,B,1.671820747025784,2.0814768306747893,1.6307599713039986
17,calibration,B,0.8203200990654239,0.9038621723111965,0.80432444639285
26,calibration,B,0.8785834182886882,0.8875039641527643,0.8651382159905072
21,calibration,B,1.0489408214963938,1.3417343169456302,1.0304724361835014
44,calibration,B,0.6511675902607159,1.2364597447020667,0.6437337167401499
38,calibration,B,1.2896989897883364,3.5144119856856473,1.2744231543915923
31,calibration,B,1.6815879592509402,1.7376073699842165,1.6611515011457072
54,calibration,B,0.579496703733693,0.9282927795960814,0.5654533862100294
30,calibration,B,1.276011296581252,1.746864296197991,1.2504931656321154
48,calibration,B,0.8414910021836342,1.091952692365288,0.8317260878458617
24,calibration,B,1.031709994283914,1.571938581737578,1.0119815519497875
23,calibration,B,0.9722821849073398,1.0252900510578018,0.9550408722664723
15,calibration,B,1.1604743010172867,1.2820135604670473,1.1383326778631682
12,calibration,B,0.8592489690374986,1.2087015794472236,0.8363229849849814
40,calibration,B,0.4855958298977629,0.8532341435227063,0.47665583714474136
13,calibration,B,1.3149971856940903,1.5161501248550662,1.2930771133717103
14,calibration,B,0.7238531821472732,1.2222884229820719,0.7106574337147892
22,calibration,B,1.0571690159602471,1.4542612414155764,1.0374317092318819
03,ssHeadConstrained,A,2.4751102146550905,2.3664961798293827,2.439118960038199
04,ssHeadConstrained,A,2.7152649884721614,2.4508273767918984,2.6787221853696805
32,ssHeadConstrained,A,2.654683532031555,2.3775841529652864,2.6196632178411368
34,ssHeadConstrained,A,2.923903240678957,2.495407769006941,2.8837215390840503
05,ssHeadConstrained,A,2.631808163910482,2.3751451452806775,2.5953433634869194
02,ssHeadConstrained,A,2.5728355066945725,2.360955457933194,2.5397168788987043
18,ssHeadConstrained,A,2.5045451386729662,2.244854115570134,2.4665046352821434
27,ssHeadConstrained,A,3.9212679472284444,2.0843703686829,3.8463532361023494
29,ssHeadConstrained,A,2.366118272673167,2.105385130735263,2.331697640844664
10,ssHeadConstrained,A,2.3343982154901894,2.1332385827924223,2.3036554650000163
19,ssHeadConstrained,A,2.5198471191344076,2.529269851527736,2.4863638157432733
43,ssHeadConstrained,A,2.5732139780067866,2.3492303108062296,2.538923120159982
07,ssHeadConstrained,A,2.5042698302683193,2.421164968535429,2.467253507128087
36,ssHeadConstrained,A,2.310965252649492,2.18379484517464,2.278881661235699
09,ssHeadConstrained,A,2.063175796543398,2.0323251120565224,2.033279813765927
53,ssHeadConstrained,A,2.4242066769243853,2.1591052868949645,2.3935609427949274
37,ssHeadConstrained,A,2.428659766229814,2.1767611301047425,2.3981186707060576
